No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	4 BHK Independent House	Diglipur East	Diglipur / Andaman & Nicobar Islands	Independent House / 4 BHK	2400	₹32,500/month	Fully-Furnished	4	Bachelors	Rent
2	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	2 BHK Apartment	Port Blair Sector 3	Port Blair / Andaman & Nicobar Islands	Apartment / 2 BHK	876	₹17,000/month	Unfurnished	1	Family	Rent
3	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	2 BHK Apartment	Port Blair West	Port Blair / Andaman & Nicobar Islands	Apartment / 2 BHK	780	₹63 L	Unfurnished	2	Family	Sale
4	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	3 BHK Apartment	Diglipur Sector 2	Diglipur / Andaman & Nicobar Islands	Apartment / 3 BHK	1497	₹74.41 L	Fully-Furnished	3	Family	Sale
5	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	3 BHK Apartment	Diglipur South	Diglipur / Andaman & Nicobar Islands	Apartment / 3 BHK	1400	₹82.81 L	Semi-Furnished	2	Any	Sale
6	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	3 BHK Builder Floor	Port Blair Heights	Port Blair / Andaman & Nicobar Islands	Builder Floor / 3 BHK	1184	₹80.69 L	Semi-Furnished	3	Family	Sale
7	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	2 BHK Apartment	Diglipur North	Diglipur / Andaman & Nicobar Islands	Apartment / 2 BHK	905	₹12,600/month	Semi-Furnished	1	Any	Rent
8	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	1 BHK Studio	Port Blair Sector 2	Port Blair / Andaman & Nicobar Islands	Studio / 1 BHK	369	₹9,800/month	Fully-Furnished	1	Family	Rent
9	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	5 BHK Apartment	Port Blair Colony	Port Blair / Andaman & Nicobar Islands	Apartment / 5 BHK	2683	₹1.13 Cr	Fully-Furnished	6	Any	Sale
10	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	4 BHK Builder Floor	Diglipur East	Diglipur / Andaman & Nicobar Islands	Builder Floor / 4 BHK	1483	₹29,900/month	Semi-Furnished	3	Family	Rent
11	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	3 BHK Independent House	Port Blair Residential Area	Port Blair / Andaman & Nicobar Islands	Independent House / 3 BHK	1177	₹75.41 L	Semi-Furnished	4	Family	Sale
12	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	4 BHK Independent House	Port Blair West	Port Blair / Andaman & Nicobar Islands	Independent House / 4 BHK	1553	₹22,800/month	Fully-Furnished	4	Family	Rent
13	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	1 BHK Studio	Port Blair North	Port Blair / Andaman & Nicobar Islands	Studio / 1 BHK	303	₹26.09 L	Fully-Furnished	2	Family	Sale
14	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	3 BHK Apartment	Diglipur Residential Area	Diglipur / Andaman & Nicobar Islands	Apartment / 3 BHK	1385	₹78.73 L	Fully-Furnished	2	Any	Sale
15	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	5 BHK Apartment	Diglipur Town Centre	Diglipur / Andaman & Nicobar Islands	Apartment / 5 BHK	2294	₹36,900/month	Unfurnished	5	Any	Rent
16	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	3 BHK Builder Floor	Diglipur Sector 2	Diglipur / Andaman & Nicobar Islands	Builder Floor / 3 BHK	1036	₹18,500/month	Fully-Furnished	2	Family	Rent
17	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	3 BHK Apartment	Diglipur South	Diglipur / Andaman & Nicobar Islands	Apartment / 3 BHK	1262	₹76.01 L	Semi-Furnished	4	Any	Sale
18	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	3 BHK Builder Floor	Diglipur Nagar	Diglipur / Andaman & Nicobar Islands	Builder Floor / 3 BHK	1261	₹22,600/month	Semi-Furnished	3	Family	Rent
19	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	2 BHK Builder Floor	Port Blair Sector 1	Port Blair / Andaman & Nicobar Islands	Builder Floor / 2 BHK	862	₹16,300/month	Semi-Furnished	3	Bachelors	Rent
20	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	5 BHK Villa	Diglipur Colony	Diglipur / Andaman & Nicobar Islands	Villa / 5 BHK	3195	₹1.17 Cr	Semi-Furnished	6	Any	Sale
21	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	2 BHK Builder Floor	Diglipur Central	Diglipur / Andaman & Nicobar Islands	Builder Floor / 2 BHK	1019	₹64.85 L	Unfurnished	2	Any	Sale
22	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	4 BHK Apartment	Port Blair North	Port Blair / Andaman & Nicobar Islands	Apartment / 4 BHK	1733	₹23,900/month	Fully-Furnished	4	Family	Rent
23	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	3 BHK Apartment	Diglipur Residential Area	Diglipur / Andaman & Nicobar Islands	Apartment / 3 BHK	1407	₹67.55 L	Unfurnished	3	Bachelors	Sale
24	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	1 BHK Builder Floor	Port Blair Heights	Port Blair / Andaman & Nicobar Islands	Builder Floor / 1 BHK	494	₹11,600/month	Semi-Furnished	1	Any	Rent
25	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	4 BHK Apartment	Port Blair South	Port Blair / Andaman & Nicobar Islands	Apartment / 4 BHK	1435	₹21,800/month	Fully-Furnished	4	Any	Rent
26	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	2 BHK Villa	Port Blair Sector 1	Port Blair / Andaman & Nicobar Islands	Villa / 2 BHK	848	₹56.72 L	Unfurnished	3	Family	Sale
27	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	2 BHK Independent House	Diglipur Sector 3	Diglipur / Andaman & Nicobar Islands	Independent House / 2 BHK	976	₹53.98 L	Semi-Furnished	2	Any	Sale
28	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	1 BHK Studio	Port Blair Extension	Port Blair / Andaman & Nicobar Islands	Studio / 1 BHK	442	₹7,800/month	Unfurnished	1	Bachelors	Rent
29	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	2 BHK Apartment	Port Blair Town Centre	Port Blair / Andaman & Nicobar Islands	Apartment / 2 BHK	810	₹48.29 L	Unfurnished	2	Family	Sale
30	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	3 BHK Apartment	Diglipur Sector 3	Diglipur / Andaman & Nicobar Islands	Apartment / 3 BHK	1264	₹16,600/month	Semi-Furnished	3	Any	Rent
31	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	2 BHK Apartment	Diglipur Residential Area	Diglipur / Andaman & Nicobar Islands	Apartment / 2 BHK	813	₹56.95 L	Fully-Furnished	2	Bachelors	Sale
32	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	3 BHK Apartment	Port Blair North	Port Blair / Andaman & Nicobar Islands	Apartment / 3 BHK	1094	₹23,400/month	Unfurnished	3	Family	Rent
33	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	3 BHK Builder Floor	Diglipur Main Road	Diglipur / Andaman & Nicobar Islands	Builder Floor / 3 BHK	1429	₹73.35 L	Unfurnished	2	Bachelors	Sale
34	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	2 BHK Builder Floor	Diglipur Nagar	Diglipur / Andaman & Nicobar Islands	Builder Floor / 2 BHK	704	₹49.08 L	Unfurnished	2	Bachelors	Sale
35	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	2 BHK Apartment	Diglipur Sector 3	Diglipur / Andaman & Nicobar Islands	Apartment / 2 BHK	790	₹58.64 L	Semi-Furnished	3	Any	Sale
36	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	3 BHK Villa	Diglipur Sector 2	Diglipur / Andaman & Nicobar Islands	Villa / 3 BHK	1606	₹85.99 L	Unfurnished	4	Any	Sale
37	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	1 BHK Builder Floor	Diglipur Extension	Diglipur / Andaman & Nicobar Islands	Builder Floor / 1 BHK	459	₹8,500/month	Semi-Furnished	1	Any	Rent
38	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	3 BHK Independent House	Port Blair Sector 1	Port Blair / Andaman & Nicobar Islands	Independent House / 3 BHK	1263	₹19,400/month	Fully-Furnished	3	Bachelors	Rent
39	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	1 BHK Studio	Diglipur Sector 3	Diglipur / Andaman & Nicobar Islands	Studio / 1 BHK	367	₹9,700/month	Semi-Furnished	2	Family	Rent
40	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	3 BHK Apartment	Port Blair Heights	Port Blair / Andaman & Nicobar Islands	Apartment / 3 BHK	1364	₹64.08 L	Fully-Furnished	3	Bachelors	Sale
41	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	5 BHK Apartment	Port Blair Nagar	Port Blair / Andaman & Nicobar Islands	Apartment / 5 BHK	2437	₹1.40 Cr	Semi-Furnished	5	Any	Sale
42	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	2 BHK Apartment	Port Blair West	Port Blair / Andaman & Nicobar Islands	Apartment / 2 BHK	890	₹59.05 L	Semi-Furnished	1	Family	Sale
43	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	2 BHK Apartment	Port Blair Central	Port Blair / Andaman & Nicobar Islands	Apartment / 2 BHK	933	₹51.75 L	Fully-Furnished	2	Bachelors	Sale
44	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	2 BHK Independent House	Port Blair West	Port Blair / Andaman & Nicobar Islands	Independent House / 2 BHK	808	₹15,300/month	Semi-Furnished	2	Any	Rent
45	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	1 BHK Apartment	Diglipur South	Diglipur / Andaman & Nicobar Islands	Apartment / 1 BHK	494	₹28.69 L	Fully-Furnished	1	Bachelors	Sale
46	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	2 BHK Independent House	Diglipur North	Diglipur / Andaman & Nicobar Islands	Independent House / 2 BHK	1002	₹58.41 L	Fully-Furnished	3	Family	Sale
47	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	2 BHK Builder Floor	Port Blair Central	Port Blair / Andaman & Nicobar Islands	Builder Floor / 2 BHK	795	₹46.66 L	Fully-Furnished	1	Any	Sale
48	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	3 BHK Independent House	Port Blair Sector 3	Port Blair / Andaman & Nicobar Islands	Independent House / 3 BHK	1134	₹21,900/month	Fully-Furnished	2	Family	Rent
49	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	1 BHK Apartment	Diglipur Main Road	Diglipur / Andaman & Nicobar Islands	Apartment / 1 BHK	418	₹34.92 L	Semi-Furnished	2	Family	Sale
50	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	3 BHK Apartment	Port Blair Sector 2	Port Blair / Andaman & Nicobar Islands	Apartment / 3 BHK	1019	₹22,000/month	Fully-Furnished	2	Bachelors	Rent
51	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	2 BHK Builder Floor	Port Blair Heights	Port Blair / Andaman & Nicobar Islands	Builder Floor / 2 BHK	905	₹56.56 L	Semi-Furnished	3	Family	Sale
52	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	4 BHK Villa	Port Blair Main Road	Port Blair / Andaman & Nicobar Islands	Villa / 4 BHK	2971	₹1.15 Cr	Semi-Furnished	4	Family	Sale
53	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	3 BHK Apartment	Port Blair North	Port Blair / Andaman & Nicobar Islands	Apartment / 3 BHK	1226	₹19,600/month	Unfurnished	2	Any	Rent
54	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	4 BHK Villa	Port Blair East	Port Blair / Andaman & Nicobar Islands	Villa / 4 BHK	2454	₹1.21 Cr	Fully-Furnished	3	Family	Sale
55	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	3 BHK Apartment	Port Blair Central	Port Blair / Andaman & Nicobar Islands	Apartment / 3 BHK	1387	₹74.47 L	Semi-Furnished	3	Family	Sale
56	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	4 BHK Builder Floor	Diglipur Heights	Diglipur / Andaman & Nicobar Islands	Builder Floor / 4 BHK	2143	₹92.56 L	Semi-Furnished	3	Bachelors	Sale
57	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	1 BHK Independent House	Diglipur South	Diglipur / Andaman & Nicobar Islands	Independent House / 1 BHK	634	₹32.68 L	Semi-Furnished	2	Any	Sale
58	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	2 BHK Apartment	Diglipur Heights	Diglipur / Andaman & Nicobar Islands	Apartment / 2 BHK	1064	₹13,100/month	Semi-Furnished	2	Family	Rent
59	Andaman & Nicobar Islands Properties (Andaman_and_Nicobar_Islands.txt)	2 BHK Apartment	Port Blair Sector 1	Port Blair / Andaman & Nicobar Islands	Apartment / 2 BHK	790	₹51.44 L	Unfurnished	1	Family	Sale
