No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Andhra Pradesh Properties (Andhra_Pradesh.txt)	1 BHK Apartment	Visakhapatnam Main Road	Visakhapatnam / Andhra Pradesh	Apartment / 1 BHK	631	₹41.92 L	Semi-Furnished	1	Bachelors	Sale
2	Andhra Pradesh Properties (Andhra_Pradesh.txt)	2 BHK Builder Floor	Vijayawada East	Vijayawada / Andhra Pradesh	Builder Floor / 2 BHK	903	₹14,700/month	Semi-Furnished	1	Bachelors	Rent
3	Andhra Pradesh Properties (Andhra_Pradesh.txt)	5 BHK Apartment	Tirupati Extension	Tirupati / Andhra Pradesh	Apartment / 5 BHK	2237	₹1.04 Cr	Unfurnished	5	Any	Sale
4	Andhra Pradesh Properties (Andhra_Pradesh.txt)	2 BHK Builder Floor	Nellore Sector 3	Nellore / Andhra Pradesh	Builder Floor / 2 BHK	582	₹41.58 L	Semi-Furnished	3	Family	Sale
5	Andhra Pradesh Properties (Andhra_Pradesh.txt)	3 BHK Apartment	Visakhapatnam Sector 3	Visakhapatnam / Andhra Pradesh	Apartment / 3 BHK	1165	₹73.17 L	Semi-Furnished	3	Family	Sale
6	Andhra Pradesh Properties (Andhra_Pradesh.txt)	3 BHK Apartment	Vijayawada Main Road	Vijayawada / Andhra Pradesh	Apartment / 3 BHK	1326	₹61.11 L	Semi-Furnished	3	Family	Sale
7	Andhra Pradesh Properties (Andhra_Pradesh.txt)	3 BHK Apartment	Guntur South	Guntur / Andhra Pradesh	Apartment / 3 BHK	1344	₹78.94 L	Fully-Furnished	3	Family	Sale
8	Andhra Pradesh Properties (Andhra_Pradesh.txt)	2 BHK Apartment	Guntur Heights	Guntur / Andhra Pradesh	Apartment / 2 BHK	948	₹60.80 L	Fully-Furnished	1	Family	Sale
9	Andhra Pradesh Properties (Andhra_Pradesh.txt)	4 BHK Apartment	Nellore Town Centre	Nellore / Andhra Pradesh	Apartment / 4 BHK	1980	₹83.55 L	Semi-Furnished	4	Any	Sale
10	Andhra Pradesh Properties (Andhra_Pradesh.txt)	3 BHK Apartment	Visakhapatnam Town Centre	Visakhapatnam / Andhra Pradesh	Apartment / 3 BHK	1389	₹23,800/month	Semi-Furnished	4	Family	Rent
11	Andhra Pradesh Properties (Andhra_Pradesh.txt)	4 BHK Builder Floor	Tirupati Town Centre	Tirupati / Andhra Pradesh	Builder Floor / 4 BHK	1725	₹1.13 Cr	Fully-Furnished	3	Family	Sale
