No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	3 BHK Independent House	Itanagar Extension	Itanagar / Arunachal Pradesh	Independent House / 3 BHK	1320	₹11,100/month	Semi-Furnished	3	Bachelors	Rent
2	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Independent House	Pasighat Residential Area	Pasighat / Arunachal Pradesh	Independent House / 2 BHK	986	₹41.16 L	Semi-Furnished	2	Bachelors	Sale
3	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	3 BHK Builder Floor	Pasighat Central	Pasighat / Arunachal Pradesh	Builder Floor / 3 BHK	1301	₹58 L	Semi-Furnished	3	Any	Sale
4	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Independent House	Itanagar North	Itanagar / Arunachal Pradesh	Independent House / 2 BHK	1012	₹40.69 L	Fully-Furnished	2	Family	Sale
5	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	1 BHK Apartment	Naharlagun Sector 2	Naharlagun / Arunachal Pradesh	Apartment / 1 BHK	558	₹6,700/month	Unfurnished	2	Family	Rent
6	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Builder Floor	Naharlagun East	Naharlagun / Arunachal Pradesh	Builder Floor / 2 BHK	685	₹28.19 L	Semi-Furnished	3	Family	Sale
7	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Independent House	Pasighat East	Pasighat / Arunachal Pradesh	Independent House / 2 BHK	953	₹10,300/month	Semi-Furnished	3	Bachelors	Rent
8	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	1 BHK Apartment	Pasighat East	Pasighat / Arunachal Pradesh	Apartment / 1 BHK	454	₹23.51 L	Fully-Furnished	1	Family	Sale
9	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	1 BHK Apartment	Naharlagun East	Naharlagun / Arunachal Pradesh	Apartment / 1 BHK	651	₹6,100/month	Fully-Furnished	1	Any	Rent
10	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Independent House	Naharlagun North	Naharlagun / Arunachal Pradesh	Independent House / 2 BHK	1004	₹33.14 L	Fully-Furnished	2	Bachelors	Sale
11	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Apartment	Itanagar Heights	Itanagar / Arunachal Pradesh	Apartment / 2 BHK	767	₹33.85 L	Semi-Furnished	2	Bachelors	Sale
12	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	1 BHK Builder Floor	Itanagar Sector 1	Itanagar / Arunachal Pradesh	Builder Floor / 1 BHK	490	₹17.83 L	Semi-Furnished	1	Bachelors	Sale
13	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	1 BHK Apartment	Naharlagun Town Centre	Naharlagun / Arunachal Pradesh	Apartment / 1 BHK	504	₹20.12 L	Semi-Furnished	1	Any	Sale
14	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	3 BHK Apartment	Itanagar West	Itanagar / Arunachal Pradesh	Apartment / 3 BHK	1333	₹51.33 L	Semi-Furnished	3	Family	Sale
15	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	4 BHK Apartment	Itanagar Colony	Itanagar / Arunachal Pradesh	Apartment / 4 BHK	1847	₹69.17 L	Unfurnished	4	Any	Sale
16	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Apartment	Itanagar North	Itanagar / Arunachal Pradesh	Apartment / 2 BHK	1023	₹31.66 L	Semi-Furnished	3	Family	Sale
17	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	1 BHK Villa	Naharlagun North	Naharlagun / Arunachal Pradesh	Villa / 1 BHK	627	₹24.54 L	Semi-Furnished	1	Any	Sale
18	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Apartment	Pasighat Sector 2	Pasighat / Arunachal Pradesh	Apartment / 2 BHK	666	₹28.48 L	Fully-Furnished	2	Family	Sale
19	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Apartment	Naharlagun Residential Area	Naharlagun / Arunachal Pradesh	Apartment / 2 BHK	745	₹35.45 L	Fully-Furnished	2	Family	Sale
20	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	3 BHK Apartment	Pasighat Residential Area	Pasighat / Arunachal Pradesh	Apartment / 3 BHK	1315	₹47.36 L	Semi-Furnished	3	Bachelors	Sale
21	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Apartment	Pasighat Colony	Pasighat / Arunachal Pradesh	Apartment / 2 BHK	921	₹41.02 L	Semi-Furnished	1	Any	Sale
22	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	1 BHK Apartment	Pasighat Main Road	Pasighat / Arunachal Pradesh	Apartment / 1 BHK	494	₹19.91 L	Semi-Furnished	1	Family	Sale
23	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	1 BHK Studio	Itanagar Main Road	Itanagar / Arunachal Pradesh	Studio / 1 BHK	366	₹5,100/month	Semi-Furnished	1	Any	Rent
24	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	4 BHK Apartment	Itanagar West	Itanagar / Arunachal Pradesh	Apartment / 4 BHK	1540	₹18,800/month	Fully-Furnished	4	Family	Rent
25	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Apartment	Itanagar Nagar	Itanagar / Arunachal Pradesh	Apartment / 2 BHK	816	₹8,600/month	Fully-Furnished	3	Family	Rent
26	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	4 BHK Apartment	Pasighat Colony	Pasighat / Arunachal Pradesh	Apartment / 4 BHK	1584	₹69.07 L	Semi-Furnished	4	Bachelors	Sale
27	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Apartment	Itanagar Sector 2	Itanagar / Arunachal Pradesh	Apartment / 2 BHK	719	₹10,400/month	Semi-Furnished	2	Bachelors	Rent
28	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Independent House	Pasighat Heights	Pasighat / Arunachal Pradesh	Independent House / 2 BHK	800	₹40.51 L	Unfurnished	2	Bachelors	Sale
29	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	3 BHK Independent House	Naharlagun South	Naharlagun / Arunachal Pradesh	Independent House / 3 BHK	1413	₹53.22 L	Semi-Furnished	3	Family	Sale
30	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Apartment	Naharlagun West	Naharlagun / Arunachal Pradesh	Apartment / 2 BHK	687	₹9,900/month	Unfurnished	2	Family	Rent
31	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	3 BHK Apartment	Itanagar Nagar	Itanagar / Arunachal Pradesh	Apartment / 3 BHK	848	₹37.35 L	Unfurnished	3	Family	Sale
32	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	3 BHK Apartment	Naharlagun Main Road	Naharlagun / Arunachal Pradesh	Apartment / 3 BHK	1201	₹15,300/month	Semi-Furnished	3	Bachelors	Rent
33	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Apartment	Itanagar Town Centre	Itanagar / Arunachal Pradesh	Apartment / 2 BHK	888	₹40.18 L	Unfurnished	3	Any	Sale
34	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	3 BHK Builder Floor	Itanagar Colony	Itanagar / Arunachal Pradesh	Builder Floor / 3 BHK	1549	₹58.69 L	Semi-Furnished	4	Family	Sale
35	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Apartment	Pasighat Sector 2	Pasighat / Arunachal Pradesh	Apartment / 2 BHK	830	₹41.01 L	Unfurnished	3	Family	Sale
36	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	3 BHK Independent House	Itanagar West	Itanagar / Arunachal Pradesh	Independent House / 3 BHK	1433	₹57.77 L	Semi-Furnished	3	Any	Sale
37	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	3 BHK Builder Floor	Pasighat Heights	Pasighat / Arunachal Pradesh	Builder Floor / 3 BHK	1451	₹54.45 L	Fully-Furnished	3	Family	Sale
38	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	3 BHK Apartment	Naharlagun Heights	Naharlagun / Arunachal Pradesh	Apartment / 3 BHK	1242	₹10,900/month	Unfurnished	2	Family	Rent
39	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Apartment	Itanagar South	Itanagar / Arunachal Pradesh	Apartment / 2 BHK	723	₹39.05 L	Fully-Furnished	2	Family	Sale
40	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Builder Floor	Naharlagun South	Naharlagun / Arunachal Pradesh	Builder Floor / 2 BHK	835	₹37.11 L	Semi-Furnished	1	Bachelors	Sale
41	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	1 BHK Independent House	Naharlagun Extension	Naharlagun / Arunachal Pradesh	Independent House / 1 BHK	713	₹23.47 L	Fully-Furnished	1	Family	Sale
42	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	1 BHK Builder Floor	Itanagar West	Itanagar / Arunachal Pradesh	Builder Floor / 1 BHK	437	₹21.34 L	Semi-Furnished	1	Family	Sale
43	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Villa	Naharlagun Sector 1	Naharlagun / Arunachal Pradesh	Villa / 2 BHK	1180	₹10,300/month	Semi-Furnished	1	Family	Rent
44	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Villa	Pasighat Central	Pasighat / Arunachal Pradesh	Villa / 2 BHK	1108	₹40.12 L	Semi-Furnished	2	Bachelors	Sale
45	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Independent House	Naharlagun West	Naharlagun / Arunachal Pradesh	Independent House / 2 BHK	787	₹35.33 L	Unfurnished	2	Any	Sale
46	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	2 BHK Apartment	Itanagar Sector 2	Itanagar / Arunachal Pradesh	Apartment / 2 BHK	799	₹30.35 L	Semi-Furnished	2	Bachelors	Sale
47	Arunachal Pradesh Properties (Arunachal_Pradesh.txt)	4 BHK Independent House	Itanagar Main Road	Itanagar / Arunachal Pradesh	Independent House / 4 BHK	2164	₹54.94 L	Semi-Furnished	3	Family	Sale
