No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Assam Properties (Assam.txt)	2 BHK Apartment	Silchar West	Silchar / Assam	Apartment / 2 BHK	608	₹45.37 L	Fully-Furnished	1	Family	Sale
2	Assam Properties (Assam.txt)	4 BHK Apartment	Dibrugarh Central	Dibrugarh / Assam	Apartment / 4 BHK	1882	₹63.87 L	Unfurnished	3	Any	Sale
3	Assam Properties (Assam.txt)	2 BHK Villa	Guwahati Colony	Guwahati / Assam	Villa / 2 BHK	1286	₹14,800/month	Semi-Furnished	2	Bachelors	Rent
4	Assam Properties (Assam.txt)	1 BHK Studio	Guwahati East	Guwahati / Assam	Studio / 1 BHK	376	₹23.86 L	Fully-Furnished	1	Bachelors	Sale
5	Assam Properties (Assam.txt)	1 BHK Apartment	Guwahati Residential Area	Guwahati / Assam	Apartment / 1 BHK	526	₹6,600/month	Semi-Furnished	2	Bachelors	Rent
6	Assam Properties (Assam.txt)	2 BHK Builder Floor	Guwahati West	Guwahati / Assam	Builder Floor / 2 BHK	900	₹39.56 L	Semi-Furnished	2	Family	Sale
7	Assam Properties (Assam.txt)	1 BHK Apartment	Guwahati North	Guwahati / Assam	Apartment / 1 BHK	415	₹28.24 L	Semi-Furnished	1	Bachelors	Sale
8	Assam Properties (Assam.txt)	1 BHK Apartment	Silchar West	Silchar / Assam	Apartment / 1 BHK	577	₹7,500/month	Semi-Furnished	1	Any	Rent
9	Assam Properties (Assam.txt)	2 BHK Apartment	Jorhat East	Jorhat / Assam	Apartment / 2 BHK	720	₹45.39 L	Fully-Furnished	1	Family	Sale
10	Assam Properties (Assam.txt)	4 BHK Independent House	Silchar West	Silchar / Assam	Independent House / 4 BHK	2618	₹24,000/month	Fully-Furnished	3	Family	Rent
11	Assam Properties (Assam.txt)	4 BHK Apartment	Dibrugarh Extension	Dibrugarh / Assam	Apartment / 4 BHK	1556	₹70.73 L	Semi-Furnished	5	Any	Sale
12	Assam Properties (Assam.txt)	5 BHK Apartment	Silchar Sector 1	Silchar / Assam	Apartment / 5 BHK	2476	₹25,000/month	Semi-Furnished	5	Family	Rent
13	Assam Properties (Assam.txt)	2 BHK Apartment	Dibrugarh Town Centre	Dibrugarh / Assam	Apartment / 2 BHK	807	₹45.29 L	Semi-Furnished	2	Bachelors	Sale
14	Assam Properties (Assam.txt)	5 BHK Apartment	Guwahati Sector 1	Guwahati / Assam	Apartment / 5 BHK	2027	₹92.26 L	Unfurnished	5	Family	Sale
15	Assam Properties (Assam.txt)	5 BHK Villa	Dibrugarh Colony	Dibrugarh / Assam	Villa / 5 BHK	3072	₹1.10 Cr	Fully-Furnished	5	Family	Sale
16	Assam Properties (Assam.txt)	1 BHK Apartment	Dibrugarh Nagar	Dibrugarh / Assam	Apartment / 1 BHK	456	₹8,000/month	Unfurnished	1	Bachelors	Rent
17	Assam Properties (Assam.txt)	2 BHK Apartment	Jorhat Main Road	Jorhat / Assam	Apartment / 2 BHK	864	₹34.44 L	Unfurnished	2	Bachelors	Sale
18	Assam Properties (Assam.txt)	3 BHK Independent House	Guwahati Main Road	Guwahati / Assam	Independent House / 3 BHK	1230	₹14,000/month	Unfurnished	3	Any	Rent
19	Assam Properties (Assam.txt)	3 BHK Independent House	Jorhat Extension	Jorhat / Assam	Independent House / 3 BHK	1682	₹14,300/month	Fully-Furnished	2	Any	Rent
20	Assam Properties (Assam.txt)	5 BHK Apartment	Silchar West	Silchar / Assam	Apartment / 5 BHK	2614	₹20,700/month	Unfurnished	5	Family	Rent
21	Assam Properties (Assam.txt)	4 BHK Apartment	Jorhat Sector 2	Jorhat / Assam	Apartment / 4 BHK	1744	₹69.74 L	Fully-Furnished	3	Bachelors	Sale
22	Assam Properties (Assam.txt)	3 BHK Builder Floor	Jorhat Sector 2	Jorhat / Assam	Builder Floor / 3 BHK	1279	₹51.98 L	Semi-Furnished	3	Family	Sale
23	Assam Properties (Assam.txt)	2 BHK Apartment	Guwahati Main Road	Guwahati / Assam	Apartment / 2 BHK	794	₹47.09 L	Unfurnished	2	Bachelors	Sale
