No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Bihar Properties (Bihar.txt)	2 BHK Apartment	Muzaffarpur Sector 1	Muzaffarpur / Bihar	Apartment / 2 BHK	993	₹35.02 L	Semi-Furnished	3	Family	Sale
2	Bihar Properties (Bihar.txt)	1 BHK Apartment	Bhagalpur Colony	Bhagalpur / Bihar	Apartment / 1 BHK	558	₹21.71 L	Unfurnished	1	Family	Sale
3	Bihar Properties (Bihar.txt)	2 BHK Apartment	Patna Colony	Patna / Bihar	Apartment / 2 BHK	847	₹34.98 L	Semi-Furnished	2	Bachelors	Sale
4	Bihar Properties (Bihar.txt)	3 BHK Builder Floor	Gaya Nagar	Gaya / Bihar	Builder Floor / 3 BHK	1376	₹18,000/month	Fully-Furnished	3	Family	Rent
5	Bihar Properties (Bihar.txt)	1 BHK Apartment	Patna East	Patna / Bihar	Apartment / 1 BHK	488	₹7,300/month	Semi-Furnished	1	Any	Rent
6	Bihar Properties (Bihar.txt)	2 BHK Apartment	Patna Residential Area	Patna / Bihar	Apartment / 2 BHK	1000	₹42.97 L	Unfurnished	2	Family	Sale
7	Bihar Properties (Bihar.txt)	3 BHK Apartment	Patna Heights	Patna / Bihar	Apartment / 3 BHK	1168	₹49 L	Semi-Furnished	3	Bachelors	Sale
8	Bihar Properties (Bihar.txt)	2 BHK Apartment	Bhagalpur Heights	Bhagalpur / Bihar	Apartment / 2 BHK	1001	₹33.09 L	Semi-Furnished	1	Family	Sale
9	Bihar Properties (Bihar.txt)	1 BHK Builder Floor	Bhagalpur Central	Bhagalpur / Bihar	Builder Floor / 1 BHK	581	₹28.13 L	Unfurnished	1	Family	Sale
10	Bihar Properties (Bihar.txt)	3 BHK Apartment	Muzaffarpur Extension	Muzaffarpur / Bihar	Apartment / 3 BHK	1303	₹65.62 L	Unfurnished	4	Any	Sale
11	Bihar Properties (Bihar.txt)	2 BHK Independent House	Bhagalpur Town Centre	Bhagalpur / Bihar	Independent House / 2 BHK	917	₹45.94 L	Semi-Furnished	2	Any	Sale
12	Bihar Properties (Bihar.txt)	3 BHK Villa	Muzaffarpur North	Muzaffarpur / Bihar	Villa / 3 BHK	1723	₹13,300/month	Semi-Furnished	3	Bachelors	Rent
13	Bihar Properties (Bihar.txt)	2 BHK Apartment	Muzaffarpur Main Road	Muzaffarpur / Bihar	Apartment / 2 BHK	915	₹11,600/month	Semi-Furnished	1	Bachelors	Rent
14	Bihar Properties (Bihar.txt)	3 BHK Independent House	Bhagalpur North	Bhagalpur / Bihar	Independent House / 3 BHK	1882	₹13,500/month	Semi-Furnished	3	Family	Rent
15	Bihar Properties (Bihar.txt)	4 BHK Apartment	Gaya South	Gaya / Bihar	Apartment / 4 BHK	1580	₹16,300/month	Unfurnished	4	Bachelors	Rent
16	Bihar Properties (Bihar.txt)	4 BHK Apartment	Bhagalpur Central	Bhagalpur / Bihar	Apartment / 4 BHK	1948	₹76.32 L	Unfurnished	3	Any	Sale
17	Bihar Properties (Bihar.txt)	3 BHK Villa	Gaya Sector 2	Gaya / Bihar	Villa / 3 BHK	1611	₹47.58 L	Semi-Furnished	3	Any	Sale
18	Bihar Properties (Bihar.txt)	1 BHK Builder Floor	Patna Main Road	Patna / Bihar	Builder Floor / 1 BHK	568	₹8,400/month	Fully-Furnished	1	Family	Rent
19	Bihar Properties (Bihar.txt)	2 BHK Builder Floor	Gaya Colony	Gaya / Bihar	Builder Floor / 2 BHK	794	₹44.88 L	Fully-Furnished	2	Bachelors	Sale
20	Bihar Properties (Bihar.txt)	3 BHK Villa	Muzaffarpur West	Muzaffarpur / Bihar	Villa / 3 BHK	1583	₹16,300/month	Unfurnished	2	Family	Rent
21	Bihar Properties (Bihar.txt)	2 BHK Villa	Bhagalpur Sector 1	Bhagalpur / Bihar	Villa / 2 BHK	1224	₹13,700/month	Semi-Furnished	1	Family	Rent
22	Bihar Properties (Bihar.txt)	2 BHK Apartment	Patna Town Centre	Patna / Bihar	Apartment / 2 BHK	895	₹37.77 L	Fully-Furnished	2	Any	Sale
23	Bihar Properties (Bihar.txt)	1 BHK Independent House	Muzaffarpur South	Muzaffarpur / Bihar	Independent House / 1 BHK	509	₹29.34 L	Unfurnished	1	Family	Sale
24	Bihar Properties (Bihar.txt)	4 BHK Apartment	Gaya Sector 3	Gaya / Bihar	Apartment / 4 BHK	1825	₹67.13 L	Unfurnished	4	Family	Sale
25	Bihar Properties (Bihar.txt)	4 BHK Builder Floor	Bhagalpur Nagar	Bhagalpur / Bihar	Builder Floor / 4 BHK	1411	₹67.82 L	Unfurnished	4	Any	Sale
26	Bihar Properties (Bihar.txt)	2 BHK Apartment	Gaya East	Gaya / Bihar	Apartment / 2 BHK	590	₹10,300/month	Unfurnished	2	Family	Rent
27	Bihar Properties (Bihar.txt)	4 BHK Independent House	Muzaffarpur Sector 2	Muzaffarpur / Bihar	Independent House / 4 BHK	2286	₹90.28 L	Unfurnished	4	Any	Sale
28	Bihar Properties (Bihar.txt)	3 BHK Villa	Bhagalpur North	Bhagalpur / Bihar	Villa / 3 BHK	1868	₹59.32 L	Fully-Furnished	4	Bachelors	Sale
29	Bihar Properties (Bihar.txt)	1 BHK Builder Floor	Muzaffarpur Main Road	Muzaffarpur / Bihar	Builder Floor / 1 BHK	615	₹28.65 L	Fully-Furnished	1	Family	Sale
30	Bihar Properties (Bihar.txt)	4 BHK Builder Floor	Gaya Sector 3	Gaya / Bihar	Builder Floor / 4 BHK	1916	₹78.63 L	Unfurnished	4	Family	Sale
31	Bihar Properties (Bihar.txt)	3 BHK Builder Floor	Muzaffarpur Residential Area	Muzaffarpur / Bihar	Builder Floor / 3 BHK	1469	₹17,200/month	Semi-Furnished	4	Family	Rent
32	Bihar Properties (Bihar.txt)	3 BHK Apartment	Muzaffarpur Central	Muzaffarpur / Bihar	Apartment / 3 BHK	1671	₹56.19 L	Fully-Furnished	3	Family	Sale
33	Bihar Properties (Bihar.txt)	2 BHK Independent House	Gaya Sector 1	Gaya / Bihar	Independent House / 2 BHK	1070	₹46.12 L	Fully-Furnished	1	Family	Sale
34	Bihar Properties (Bihar.txt)	3 BHK Apartment	Bhagalpur Town Centre	Bhagalpur / Bihar	Apartment / 3 BHK	1247	₹14,500/month	Semi-Furnished	3	Any	Rent
35	Bihar Properties (Bihar.txt)	3 BHK Builder Floor	Gaya East	Gaya / Bihar	Builder Floor / 3 BHK	1396	₹59.96 L	Semi-Furnished	3	Any	Sale
36	Bihar Properties (Bihar.txt)	1 BHK Apartment	Bhagalpur North	Bhagalpur / Bihar	Apartment / 1 BHK	464	₹7,300/month	Semi-Furnished	1	Family	Rent
37	Bihar Properties (Bihar.txt)	3 BHK Villa	Patna Sector 2	Patna / Bihar	Villa / 3 BHK	1587	₹64.31 L	Semi-Furnished	4	Bachelors	Sale
38	Bihar Properties (Bihar.txt)	3 BHK Independent House	Muzaffarpur North	Muzaffarpur / Bihar	Independent House / 3 BHK	1726	₹14,300/month	Fully-Furnished	3	Family	Rent
39	Bihar Properties (Bihar.txt)	3 BHK Apartment	Muzaffarpur Sector 2	Muzaffarpur / Bihar	Apartment / 3 BHK	779	₹58.51 L	Semi-Furnished	3	Family	Sale
40	Bihar Properties (Bihar.txt)	2 BHK Apartment	Gaya North	Gaya / Bihar	Apartment / 2 BHK	838	₹9,600/month	Semi-Furnished	3	Family	Rent
41	Bihar Properties (Bihar.txt)	4 BHK Apartment	Bhagalpur Residential Area	Bhagalpur / Bihar	Apartment / 4 BHK	1768	₹83.18 L	Semi-Furnished	4	Family	Sale
42	Bihar Properties (Bihar.txt)	3 BHK Independent House	Patna Sector 2	Patna / Bihar	Independent House / 3 BHK	1689	₹70.36 L	Fully-Furnished	2	Bachelors	Sale
43	Bihar Properties (Bihar.txt)	1 BHK Villa	Patna Main Road	Patna / Bihar	Villa / 1 BHK	682	₹31.41 L	Semi-Furnished	2	Family	Sale
44	Bihar Properties (Bihar.txt)	1 BHK Studio	Patna Town Centre	Patna / Bihar	Studio / 1 BHK	383	₹22.96 L	Unfurnished	1	Any	Sale
45	Bihar Properties (Bihar.txt)	2 BHK Independent House	Muzaffarpur Main Road	Muzaffarpur / Bihar	Independent House / 2 BHK	956	₹33.73 L	Semi-Furnished	2	Any	Sale
46	Bihar Properties (Bihar.txt)	2 BHK Apartment	Muzaffarpur Colony	Muzaffarpur / Bihar	Apartment / 2 BHK	687	₹38.75 L	Semi-Furnished	2	Bachelors	Sale
47	Bihar Properties (Bihar.txt)	1 BHK Studio	Bhagalpur Sector 1	Bhagalpur / Bihar	Studio / 1 BHK	456	₹27.35 L	Unfurnished	1	Family	Sale
48	Bihar Properties (Bihar.txt)	2 BHK Builder Floor	Gaya Sector 2	Gaya / Bihar	Builder Floor / 2 BHK	876	₹10,400/month	Semi-Furnished	3	Bachelors	Rent
49	Bihar Properties (Bihar.txt)	2 BHK Apartment	Gaya Sector 1	Gaya / Bihar	Apartment / 2 BHK	789	₹35.69 L	Semi-Furnished	3	Any	Sale
50	Bihar Properties (Bihar.txt)	4 BHK Apartment	Muzaffarpur Central	Muzaffarpur / Bihar	Apartment / 4 BHK	1682	₹21,500/month	Semi-Furnished	4	Bachelors	Rent
51	Bihar Properties (Bihar.txt)	3 BHK Builder Floor	Muzaffarpur Extension	Muzaffarpur / Bihar	Builder Floor / 3 BHK	1142	₹43.93 L	Semi-Furnished	4	Bachelors	Sale
52	Bihar Properties (Bihar.txt)	1 BHK Independent House	Patna Nagar	Patna / Bihar	Independent House / 1 BHK	572	₹21.17 L	Fully-Furnished	1	Bachelors	Sale
53	Bihar Properties (Bihar.txt)	1 BHK Independent House	Bhagalpur Sector 3	Bhagalpur / Bihar	Independent House / 1 BHK	719	₹31.67 L	Semi-Furnished	1	Any	Sale
54	Bihar Properties (Bihar.txt)	3 BHK Apartment	Bhagalpur Residential Area	Bhagalpur / Bihar	Apartment / 3 BHK	1281	₹62.99 L	Fully-Furnished	4	Bachelors	Sale
55	Bihar Properties (Bihar.txt)	2 BHK Independent House	Patna Town Centre	Patna / Bihar	Independent House / 2 BHK	1062	₹13,500/month	Semi-Furnished	2	Any	Rent
56	Bihar Properties (Bihar.txt)	3 BHK Apartment	Muzaffarpur Heights	Muzaffarpur / Bihar	Apartment / 3 BHK	1418	₹67.37 L	Semi-Furnished	4	Bachelors	Sale
57	Bihar Properties (Bihar.txt)	1 BHK Apartment	Patna Colony	Patna / Bihar	Apartment / 1 BHK	484	₹26.53 L	Unfurnished	1	Any	Sale
58	Bihar Properties (Bihar.txt)	3 BHK Independent House	Bhagalpur East	Bhagalpur / Bihar	Independent House / 3 BHK	1526	₹16,000/month	Semi-Furnished	3	Bachelors	Rent
59	Bihar Properties (Bihar.txt)	3 BHK Apartment	Patna Colony	Patna / Bihar	Apartment / 3 BHK	1519	₹13,400/month	Unfurnished	2	Family	Rent
60	Bihar Properties (Bihar.txt)	5 BHK Apartment	Patna Sector 3	Patna / Bihar	Apartment / 5 BHK	2790	₹25,900/month	Semi-Furnished	5	Family	Rent
61	Bihar Properties (Bihar.txt)	2 BHK Villa	Muzaffarpur Central	Muzaffarpur / Bihar	Villa / 2 BHK	1107	₹46.86 L	Semi-Furnished	2	Any	Sale
62	Bihar Properties (Bihar.txt)	2 BHK Apartment	Muzaffarpur Town Centre	Muzaffarpur / Bihar	Apartment / 2 BHK	1001	₹43.88 L	Unfurnished	2	Bachelors	Sale
63	Bihar Properties (Bihar.txt)	2 BHK Apartment	Gaya Heights	Gaya / Bihar	Apartment / 2 BHK	907	₹46.02 L	Semi-Furnished	2	Family	Sale
64	Bihar Properties (Bihar.txt)	2 BHK Independent House	Gaya North	Gaya / Bihar	Independent House / 2 BHK	1076	₹39.58 L	Semi-Furnished	2	Any	Sale
65	Bihar Properties (Bihar.txt)	3 BHK Apartment	Bhagalpur Residential Area	Bhagalpur / Bihar	Apartment / 3 BHK	1215	₹17,000/month	Unfurnished	2	Family	Rent
66	Bihar Properties (Bihar.txt)	3 BHK Apartment	Bhagalpur Sector 2	Bhagalpur / Bihar	Apartment / 3 BHK	1250	₹49.06 L	Semi-Furnished	2	Any	Sale
67	Bihar Properties (Bihar.txt)	3 BHK Apartment	Patna West	Patna / Bihar	Apartment / 3 BHK	1334	₹48.83 L	Unfurnished	2	Any	Sale
68	Bihar Properties (Bihar.txt)	2 BHK Apartment	Muzaffarpur Residential Area	Muzaffarpur / Bihar	Apartment / 2 BHK	805	₹43.81 L	Unfurnished	2	Family	Sale
69	Bihar Properties (Bihar.txt)	3 BHK Builder Floor	Patna Town Centre	Patna / Bihar	Builder Floor / 3 BHK	1371	₹57.52 L	Semi-Furnished	3	Any	Sale
70	Bihar Properties (Bihar.txt)	1 BHK Studio	Bhagalpur North	Bhagalpur / Bihar	Studio / 1 BHK	371	₹7,800/month	Fully-Furnished	1	Family	Rent
71	Bihar Properties (Bihar.txt)	2 BHK Villa	Bhagalpur West	Bhagalpur / Bihar	Villa / 2 BHK	1282	₹44.04 L	Semi-Furnished	2	Bachelors	Sale
72	Bihar Properties (Bihar.txt)	3 BHK Apartment	Muzaffarpur Main Road	Muzaffarpur / Bihar	Apartment / 3 BHK	1206	₹48.32 L	Semi-Furnished	3	Family	Sale
73	Bihar Properties (Bihar.txt)	3 BHK Apartment	Bhagalpur Town Centre	Bhagalpur / Bihar	Apartment / 3 BHK	1166	₹15,300/month	Semi-Furnished	3	Bachelors	Rent
74	Bihar Properties (Bihar.txt)	3 BHK Apartment	Bhagalpur Main Road	Bhagalpur / Bihar	Apartment / 3 BHK	1166	₹53.40 L	Fully-Furnished	2	Bachelors	Sale
75	Bihar Properties (Bihar.txt)	2 BHK Villa	Bhagalpur Sector 2	Bhagalpur / Bihar	Villa / 2 BHK	1158	₹45.80 L	Fully-Furnished	1	Family	Sale
76	Bihar Properties (Bihar.txt)	2 BHK Independent House	Muzaffarpur Sector 1	Muzaffarpur / Bihar	Independent House / 2 BHK	899	₹32.36 L	Semi-Furnished	2	Any	Sale
77	Bihar Properties (Bihar.txt)	3 BHK Apartment	Gaya Residential Area	Gaya / Bihar	Apartment / 3 BHK	1346	₹51.22 L	Semi-Furnished	3	Family	Sale
78	Bihar Properties (Bihar.txt)	1 BHK Apartment	Muzaffarpur North	Muzaffarpur / Bihar	Apartment / 1 BHK	467	₹27.31 L	Semi-Furnished	1	Family	Sale
79	Bihar Properties (Bihar.txt)	5 BHK Apartment	Gaya West	Gaya / Bihar	Apartment / 5 BHK	2523	₹27,900/month	Fully-Furnished	5	Family	Rent
80	Bihar Properties (Bihar.txt)	5 BHK Apartment	Muzaffarpur Main Road	Muzaffarpur / Bihar	Apartment / 5 BHK	2710	₹87.04 L	Unfurnished	5	Bachelors	Sale
81	Bihar Properties (Bihar.txt)	3 BHK Independent House	Muzaffarpur Central	Muzaffarpur / Bihar	Independent House / 3 BHK	1518	₹60.68 L	Semi-Furnished	2	Family	Sale
82	Bihar Properties (Bihar.txt)	2 BHK Apartment	Muzaffarpur Town Centre	Muzaffarpur / Bihar	Apartment / 2 BHK	896	₹46.27 L	Fully-Furnished	1	Family	Sale
83	Bihar Properties (Bihar.txt)	3 BHK Apartment	Patna Sector 1	Patna / Bihar	Apartment / 3 BHK	889	₹53.45 L	Semi-Furnished	4	Any	Sale
84	Bihar Properties (Bihar.txt)	1 BHK Apartment	Patna Nagar	Patna / Bihar	Apartment / 1 BHK	679	₹7,200/month	Fully-Furnished	1	Bachelors	Rent
85	Bihar Properties (Bihar.txt)	2 BHK Apartment	Muzaffarpur Sector 1	Muzaffarpur / Bihar	Apartment / 2 BHK	889	₹42.23 L	Unfurnished	3	Any	Sale
86	Bihar Properties (Bihar.txt)	2 BHK Apartment	Bhagalpur Sector 2	Bhagalpur / Bihar	Apartment / 2 BHK	912	₹13,100/month	Unfurnished	1	Any	Rent
87	Bihar Properties (Bihar.txt)	3 BHK Builder Floor	Bhagalpur East	Bhagalpur / Bihar	Builder Floor / 3 BHK	1157	₹57.80 L	Semi-Furnished	2	Bachelors	Sale
88	Bihar Properties (Bihar.txt)	2 BHK Apartment	Bhagalpur Extension	Bhagalpur / Bihar	Apartment / 2 BHK	984	₹12,100/month	Fully-Furnished	2	Family	Rent
89	Bihar Properties (Bihar.txt)	1 BHK Studio	Gaya Sector 2	Gaya / Bihar	Studio / 1 BHK	336	₹6,300/month	Semi-Furnished	2	Any	Rent
90	Bihar Properties (Bihar.txt)	1 BHK Apartment	Bhagalpur Main Road	Bhagalpur / Bihar	Apartment / 1 BHK	631	₹28.08 L	Semi-Furnished	1	Family	Sale
91	Bihar Properties (Bihar.txt)	3 BHK Apartment	Bhagalpur North	Bhagalpur / Bihar	Apartment / 3 BHK	1434	₹65.14 L	Fully-Furnished	4	Family	Sale
92	Bihar Properties (Bihar.txt)	4 BHK Apartment	Patna Sector 3	Patna / Bihar	Apartment / 4 BHK	1716	₹63.34 L	Unfurnished	5	Family	Sale
93	Bihar Properties (Bihar.txt)	3 BHK Villa	Muzaffarpur Extension	Muzaffarpur / Bihar	Villa / 3 BHK	1546	₹52.07 L	Semi-Furnished	2	Family	Sale
94	Bihar Properties (Bihar.txt)	4 BHK Builder Floor	Muzaffarpur Nagar	Muzaffarpur / Bihar	Builder Floor / 4 BHK	2081	₹23,200/month	Semi-Furnished	3	Bachelors	Rent
95	Bihar Properties (Bihar.txt)	2 BHK Apartment	Bhagalpur Residential Area	Bhagalpur / Bihar	Apartment / 2 BHK	801	₹45 L	Semi-Furnished	3	Bachelors	Sale
96	Bihar Properties (Bihar.txt)	2 BHK Apartment	Gaya Sector 2	Gaya / Bihar	Apartment / 2 BHK	744	₹35.15 L	Semi-Furnished	1	Family	Sale
97	Bihar Properties (Bihar.txt)	3 BHK Apartment	Bhagalpur West	Bhagalpur / Bihar	Apartment / 3 BHK	1573	₹66.49 L	Unfurnished	3	Bachelors	Sale
