No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Chandigarh Properties (Chandigarh.txt)	2 BHK Apartment	Chandigarh Nagar	Chandigarh / Chandigarh	Apartment / 2 BHK	674	₹55.62 L	Fully-Furnished	2	Family	Sale
2	Chandigarh Properties (Chandigarh.txt)	1 BHK Builder Floor	Chandigarh Main Road	Chandigarh / Chandigarh	Builder Floor / 1 BHK	482	₹39.44 L	Semi-Furnished	1	Bachelors	Sale
3	Chandigarh Properties (Chandigarh.txt)	1 BHK Villa	Chandigarh Nagar	Chandigarh / Chandigarh	Villa / 1 BHK	691	₹14,900/month	Fully-Furnished	1	Any	Rent
4	Chandigarh Properties (Chandigarh.txt)	3 BHK Apartment	Chandigarh Sector 3	Chandigarh / Chandigarh	Apartment / 3 BHK	1337	₹98.52 L	Unfurnished	3	Bachelors	Sale
5	Chandigarh Properties (Chandigarh.txt)	2 BHK Independent House	Chandigarh Sector 2	Chandigarh / Chandigarh	Independent House / 2 BHK	1167	₹64.13 L	Semi-Furnished	2	Family	Sale
6	Chandigarh Properties (Chandigarh.txt)	2 BHK Independent House	Chandigarh East	Chandigarh / Chandigarh	Independent House / 2 BHK	995	₹19,500/month	Unfurnished	2	Family	Rent
7	Chandigarh Properties (Chandigarh.txt)	3 BHK Apartment	Chandigarh Town Centre	Chandigarh / Chandigarh	Apartment / 3 BHK	1438	₹1.13 Cr	Semi-Furnished	3	Any	Sale
8	Chandigarh Properties (Chandigarh.txt)	4 BHK Apartment	Chandigarh North	Chandigarh / Chandigarh	Apartment / 4 BHK	1993	₹1.22 Cr	Semi-Furnished	4	Any	Sale
9	Chandigarh Properties (Chandigarh.txt)	4 BHK Apartment	Chandigarh Sector 2	Chandigarh / Chandigarh	Apartment / 4 BHK	1220	₹25,200/month	Unfurnished	4	Family	Rent
10	Chandigarh Properties (Chandigarh.txt)	1 BHK Apartment	Chandigarh West	Chandigarh / Chandigarh	Apartment / 1 BHK	565	₹9,900/month	Semi-Furnished	1	Any	Rent
11	Chandigarh Properties (Chandigarh.txt)	1 BHK Builder Floor	Chandigarh Sector 3	Chandigarh / Chandigarh	Builder Floor / 1 BHK	429	₹35.17 L	Semi-Furnished	1	Family	Sale
12	Chandigarh Properties (Chandigarh.txt)	2 BHK Independent House	Chandigarh Sector 2	Chandigarh / Chandigarh	Independent House / 2 BHK	1022	₹66.78 L	Semi-Furnished	3	Bachelors	Sale
13	Chandigarh Properties (Chandigarh.txt)	4 BHK Villa	Chandigarh Residential Area	Chandigarh / Chandigarh	Villa / 4 BHK	2172	₹28,500/month	Fully-Furnished	3	Family	Rent
14	Chandigarh Properties (Chandigarh.txt)	2 BHK Apartment	Chandigarh Sector 3	Chandigarh / Chandigarh	Apartment / 2 BHK	1038	₹57.23 L	Unfurnished	2	Family	Sale
15	Chandigarh Properties (Chandigarh.txt)	1 BHK Independent House	Chandigarh Sector 2	Chandigarh / Chandigarh	Independent House / 1 BHK	501	₹12,400/month	Semi-Furnished	1	Bachelors	Rent
16	Chandigarh Properties (Chandigarh.txt)	2 BHK Apartment	Chandigarh Colony	Chandigarh / Chandigarh	Apartment / 2 BHK	741	₹61.42 L	Fully-Furnished	3	Any	Sale
17	Chandigarh Properties (Chandigarh.txt)	3 BHK Apartment	Chandigarh Sector 3	Chandigarh / Chandigarh	Apartment / 3 BHK	1081	₹24,900/month	Unfurnished	2	Family	Rent
18	Chandigarh Properties (Chandigarh.txt)	3 BHK Apartment	Chandigarh Colony	Chandigarh / Chandigarh	Apartment / 3 BHK	1377	₹23,300/month	Fully-Furnished	3	Family	Rent
19	Chandigarh Properties (Chandigarh.txt)	2 BHK Builder Floor	Chandigarh Colony	Chandigarh / Chandigarh	Builder Floor / 2 BHK	906	₹76.49 L	Semi-Furnished	2	Family	Sale
20	Chandigarh Properties (Chandigarh.txt)	2 BHK Independent House	Chandigarh West	Chandigarh / Chandigarh	Independent House / 2 BHK	1048	₹22,100/month	Unfurnished	1	Bachelors	Rent
21	Chandigarh Properties (Chandigarh.txt)	3 BHK Builder Floor	Chandigarh Sector 3	Chandigarh / Chandigarh	Builder Floor / 3 BHK	1493	₹93.58 L	Semi-Furnished	3	Any	Sale
