No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Chhattisgarh Properties (Chhattisgarh.txt)	2 BHK Apartment	Bhilai Sector 1	Bhilai / Chhattisgarh	Apartment / 2 BHK	1030	₹45.22 L	Fully-Furnished	2	Bachelors	Sale
2	Chhattisgarh Properties (Chhattisgarh.txt)	2 BHK Builder Floor	Bilaspur East	Bilaspur / Chhattisgarh	Builder Floor / 2 BHK	759	₹12,900/month	Fully-Furnished	2	Family	Rent
3	Chhattisgarh Properties (Chhattisgarh.txt)	3 BHK Apartment	Korba Nagar	Korba / Chhattisgarh	Apartment / 3 BHK	1169	₹57.50 L	Unfurnished	3	Any	Sale
4	Chhattisgarh Properties (Chhattisgarh.txt)	2 BHK Apartment	Korba Sector 2	Korba / Chhattisgarh	Apartment / 2 BHK	766	₹44.32 L	Fully-Furnished	3	Family	Sale
5	Chhattisgarh Properties (Chhattisgarh.txt)	2 BHK Villa	Bilaspur Central	Bilaspur / Chhattisgarh	Villa / 2 BHK	1214	₹13,000/month	Fully-Furnished	3	Any	Rent
6	Chhattisgarh Properties (Chhattisgarh.txt)	3 BHK Independent House	Bilaspur Sector 1	Bilaspur / Chhattisgarh	Independent House / 3 BHK	1242	₹17,600/month	Unfurnished	3	Family	Rent
7	Chhattisgarh Properties (Chhattisgarh.txt)	2 BHK Builder Floor	Raipur East	Raipur / Chhattisgarh	Builder Floor / 2 BHK	1095	₹46.80 L	Fully-Furnished	2	Bachelors	Sale
8	Chhattisgarh Properties (Chhattisgarh.txt)	1 BHK Studio	Bhilai Extension	Bhilai / Chhattisgarh	Studio / 1 BHK	445	₹28.32 L	Fully-Furnished	1	Any	Sale
9	Chhattisgarh Properties (Chhattisgarh.txt)	1 BHK Studio	Korba West	Korba / Chhattisgarh	Studio / 1 BHK	399	₹6,100/month	Semi-Furnished	1	Bachelors	Rent
10	Chhattisgarh Properties (Chhattisgarh.txt)	2 BHK Apartment	Korba West	Korba / Chhattisgarh	Apartment / 2 BHK	893	₹48.75 L	Unfurnished	2	Any	Sale
11	Chhattisgarh Properties (Chhattisgarh.txt)	3 BHK Builder Floor	Bhilai Sector 3	Bhilai / Chhattisgarh	Builder Floor / 3 BHK	1208	₹14,900/month	Semi-Furnished	4	Family	Rent
12	Chhattisgarh Properties (Chhattisgarh.txt)	2 BHK Independent House	Raipur East	Raipur / Chhattisgarh	Independent House / 2 BHK	1048	₹39.23 L	Semi-Furnished	2	Family	Sale
13	Chhattisgarh Properties (Chhattisgarh.txt)	1 BHK Villa	Bilaspur Residential Area	Bilaspur / Chhattisgarh	Villa / 1 BHK	678	₹23.13 L	Semi-Furnished	1	Any	Sale
14	Chhattisgarh Properties (Chhattisgarh.txt)	1 BHK Builder Floor	Bilaspur Sector 2	Bilaspur / Chhattisgarh	Builder Floor / 1 BHK	422	₹30.26 L	Semi-Furnished	1	Family	Sale
