No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Dadra & Nagar Haveli and Daman & Diu Properties (Dadra_and_Nagar_Haveli_and_Daman_and_Diu.txt)	3 BHK Apartment	Silvassa Town Centre	Silvassa / Dadra & Nagar Haveli and Daman & Diu	Apartment / 3 BHK	1169	₹66.78 L	Unfurnished	3	Family	Sale
2	Dadra & Nagar Haveli and Daman & Diu Properties (Dadra_and_Nagar_Haveli_and_Daman_and_Diu.txt)	1 BHK Apartment	Silvassa Nagar	Silvassa / Dadra & Nagar Haveli and Daman & Diu	Apartment / 1 BHK	630	₹36.59 L	Unfurnished	1	Any	Sale
3	Dadra & Nagar Haveli and Daman & Diu Properties (Dadra_and_Nagar_Haveli_and_Daman_and_Diu.txt)	3 BHK Independent House	Daman Heights	Daman / Dadra & Nagar Haveli and Daman & Diu	Independent House / 3 BHK	1967	₹82.57 L	Semi-Furnished	2	Family	Sale
4	Dadra & Nagar Haveli and Daman & Diu Properties (Dadra_and_Nagar_Haveli_and_Daman_and_Diu.txt)	2 BHK Apartment	Silvassa Town Centre	Silvassa / Dadra & Nagar Haveli and Daman & Diu	Apartment / 2 BHK	736	₹14,200/month	Semi-Furnished	1	Family	Rent
5	Dadra & Nagar Haveli and Daman & Diu Properties (Dadra_and_Nagar_Haveli_and_Daman_and_Diu.txt)	2 BHK Builder Floor	Silvassa North	Silvassa / Dadra & Nagar Haveli and Daman & Diu	Builder Floor / 2 BHK	761	₹15,900/month	Semi-Furnished	2	Family	Rent
6	Dadra & Nagar Haveli and Daman & Diu Properties (Dadra_and_Nagar_Haveli_and_Daman_and_Diu.txt)	2 BHK Apartment	Silvassa West	Silvassa / Dadra & Nagar Haveli and Daman & Diu	Apartment / 2 BHK	826	₹55.88 L	Unfurnished	1	Bachelors	Sale
7	Dadra & Nagar Haveli and Daman & Diu Properties (Dadra_and_Nagar_Haveli_and_Daman_and_Diu.txt)	4 BHK Apartment	Daman Central	Daman / Dadra & Nagar Haveli and Daman & Diu	Apartment / 4 BHK	1861	₹77.70 L	Unfurnished	5	Family	Sale
8	Dadra & Nagar Haveli and Daman & Diu Properties (Dadra_and_Nagar_Haveli_and_Daman_and_Diu.txt)	3 BHK Apartment	Daman East	Daman / Dadra & Nagar Haveli and Daman & Diu	Apartment / 3 BHK	1048	₹66.21 L	Unfurnished	4	Bachelors	Sale
9	Dadra & Nagar Haveli and Daman & Diu Properties (Dadra_and_Nagar_Haveli_and_Daman_and_Diu.txt)	1 BHK Apartment	Daman Main Road	Daman / Dadra & Nagar Haveli and Daman & Diu	Apartment / 1 BHK	515	₹10,700/month	Fully-Furnished	1	Family	Rent
10	Dadra & Nagar Haveli and Daman & Diu Properties (Dadra_and_Nagar_Haveli_and_Daman_and_Diu.txt)	2 BHK Builder Floor	Silvassa East	Silvassa / Dadra & Nagar Haveli and Daman & Diu	Builder Floor / 2 BHK	845	₹13,500/month	Fully-Furnished	1	Family	Rent
