No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Delhi Properties (Delhi.txt)	5 BHK Villa	Dwarka Sector 2	Dwarka / Delhi	Villa / 5 BHK	3306	₹1.85 Cr	Semi-Furnished	5	Family	Sale
2	Delhi Properties (Delhi.txt)	2 BHK Builder Floor	Dwarka West	Dwarka / Delhi	Builder Floor / 2 BHK	869	₹96.66 L	Semi-Furnished	1	Bachelors	Sale
3	Delhi Properties (Delhi.txt)	4 BHK Independent House	New Delhi West	New Delhi / Delhi	Independent House / 4 BHK	1463	₹43,500/month	Unfurnished	4	Family	Rent
4	Delhi Properties (Delhi.txt)	2 BHK Builder Floor	Rohini Heights	Rohini / Delhi	Builder Floor / 2 BHK	711	₹21,700/month	Unfurnished	1	Family	Rent
5	Delhi Properties (Delhi.txt)	4 BHK Apartment	Rohini North	Rohini / Delhi	Apartment / 4 BHK	1729	₹1.44 Cr	Unfurnished	3	Any	Sale
6	Delhi Properties (Delhi.txt)	4 BHK Builder Floor	Rohini Sector 3	Rohini / Delhi	Builder Floor / 4 BHK	1990	₹51,000/month	Fully-Furnished	3	Family	Rent
7	Delhi Properties (Delhi.txt)	2 BHK Apartment	Saket West	Saket / Delhi	Apartment / 2 BHK	677	₹76.64 L	Semi-Furnished	3	Bachelors	Sale
8	Delhi Properties (Delhi.txt)	3 BHK Apartment	Rohini South	Rohini / Delhi	Apartment / 3 BHK	1353	₹1.07 Cr	Fully-Furnished	3	Bachelors	Sale
9	Delhi Properties (Delhi.txt)	2 BHK Independent House	Dwarka Colony	Dwarka / Delhi	Independent House / 2 BHK	1246	₹27,100/month	Semi-Furnished	1	Bachelors	Rent
10	Delhi Properties (Delhi.txt)	3 BHK Apartment	Dwarka Town Centre	Dwarka / Delhi	Apartment / 3 BHK	1307	₹35,400/month	Semi-Furnished	4	Bachelors	Rent
11	Delhi Properties (Delhi.txt)	3 BHK Apartment	Dwarka Sector 2	Dwarka / Delhi	Apartment / 3 BHK	987	₹1.12 Cr	Fully-Furnished	3	Family	Sale
12	Delhi Properties (Delhi.txt)	4 BHK Apartment	Dwarka East	Dwarka / Delhi	Apartment / 4 BHK	2293	₹1.53 Cr	Semi-Furnished	5	Bachelors	Sale
13	Delhi Properties (Delhi.txt)	3 BHK Builder Floor	Rohini East	Rohini / Delhi	Builder Floor / 3 BHK	1335	₹1.18 Cr	Unfurnished	4	Family	Sale
14	Delhi Properties (Delhi.txt)	1 BHK Apartment	Dwarka Extension	Dwarka / Delhi	Apartment / 1 BHK	384	₹42.20 L	Fully-Furnished	1	Bachelors	Sale
15	Delhi Properties (Delhi.txt)	2 BHK Villa	Rohini Residential Area	Rohini / Delhi	Villa / 2 BHK	1063	₹28,000/month	Semi-Furnished	2	Family	Rent
16	Delhi Properties (Delhi.txt)	3 BHK Apartment	New Delhi Extension	New Delhi / Delhi	Apartment / 3 BHK	1034	₹34,500/month	Semi-Furnished	3	Any	Rent
17	Delhi Properties (Delhi.txt)	5 BHK Apartment	Rohini Nagar	Rohini / Delhi	Apartment / 5 BHK	2562	₹48,400/month	Semi-Furnished	5	Bachelors	Rent
18	Delhi Properties (Delhi.txt)	2 BHK Apartment	New Delhi East	New Delhi / Delhi	Apartment / 2 BHK	641	₹70.94 L	Semi-Furnished	1	Family	Sale
19	Delhi Properties (Delhi.txt)	2 BHK Apartment	Dwarka West	Dwarka / Delhi	Apartment / 2 BHK	831	₹71.98 L	Unfurnished	3	Any	Sale
20	Delhi Properties (Delhi.txt)	5 BHK Villa	Saket Extension	Saket / Delhi	Villa / 5 BHK	3607	₹2.27 Cr	Semi-Furnished	6	Family	Sale
21	Delhi Properties (Delhi.txt)	4 BHK Apartment	Dwarka Town Centre	Dwarka / Delhi	Apartment / 4 BHK	1544	₹46,100/month	Semi-Furnished	5	Any	Rent
22	Delhi Properties (Delhi.txt)	3 BHK Builder Floor	New Delhi North	New Delhi / Delhi	Builder Floor / 3 BHK	1168	₹95.78 L	Fully-Furnished	2	Any	Sale
23	Delhi Properties (Delhi.txt)	4 BHK Independent House	Saket North	Saket / Delhi	Independent House / 4 BHK	2598	₹46,700/month	Fully-Furnished	4	Family	Rent
24	Delhi Properties (Delhi.txt)	1 BHK Studio	New Delhi South	New Delhi / Delhi	Studio / 1 BHK	374	₹15,900/month	Semi-Furnished	2	Bachelors	Rent
25	Delhi Properties (Delhi.txt)	4 BHK Villa	Saket Sector 3	Saket / Delhi	Villa / 4 BHK	2447	₹52,500/month	Semi-Furnished	4	Any	Rent
26	Delhi Properties (Delhi.txt)	2 BHK Builder Floor	Dwarka Colony	Dwarka / Delhi	Builder Floor / 2 BHK	776	₹26,100/month	Fully-Furnished	2	Family	Rent
27	Delhi Properties (Delhi.txt)	2 BHK Apartment	Rohini Residential Area	Rohini / Delhi	Apartment / 2 BHK	773	₹84.95 L	Unfurnished	2	Any	Sale
28	Delhi Properties (Delhi.txt)	3 BHK Apartment	Dwarka West	Dwarka / Delhi	Apartment / 3 BHK	1061	₹1.24 Cr	Fully-Furnished	2	Family	Sale
29	Delhi Properties (Delhi.txt)	4 BHK Independent House	New Delhi Sector 2	New Delhi / Delhi	Independent House / 4 BHK	1897	₹1.28 Cr	Fully-Furnished	4	Family	Sale
30	Delhi Properties (Delhi.txt)	4 BHK Apartment	New Delhi East	New Delhi / Delhi	Apartment / 4 BHK	1430	₹44,400/month	Semi-Furnished	3	Family	Rent
31	Delhi Properties (Delhi.txt)	4 BHK Independent House	Dwarka Extension	Dwarka / Delhi	Independent House / 4 BHK	2225	₹1.46 Cr	Semi-Furnished	3	Family	Sale
32	Delhi Properties (Delhi.txt)	1 BHK Studio	Dwarka South	Dwarka / Delhi	Studio / 1 BHK	404	₹48.31 L	Unfurnished	2	Any	Sale
33	Delhi Properties (Delhi.txt)	4 BHK Independent House	Dwarka Sector 2	Dwarka / Delhi	Independent House / 4 BHK	2223	₹1.44 Cr	Unfurnished	4	Family	Sale
34	Delhi Properties (Delhi.txt)	3 BHK Independent House	Dwarka Nagar	Dwarka / Delhi	Independent House / 3 BHK	1662	₹32,100/month	Fully-Furnished	3	Bachelors	Rent
35	Delhi Properties (Delhi.txt)	2 BHK Builder Floor	Rohini Main Road	Rohini / Delhi	Builder Floor / 2 BHK	700	₹76.70 L	Fully-Furnished	3	Family	Sale
36	Delhi Properties (Delhi.txt)	2 BHK Independent House	Rohini West	Rohini / Delhi	Independent House / 2 BHK	1006	₹1.01 Cr	Semi-Furnished	2	Any	Sale
37	Delhi Properties (Delhi.txt)	3 BHK Apartment	Saket Main Road	Saket / Delhi	Apartment / 3 BHK	1497	₹31,100/month	Fully-Furnished	3	Bachelors	Rent
38	Delhi Properties (Delhi.txt)	3 BHK Apartment	Rohini South	Rohini / Delhi	Apartment / 3 BHK	1207	₹95.20 L	Semi-Furnished	3	Family	Sale
39	Delhi Properties (Delhi.txt)	3 BHK Independent House	Saket North	Saket / Delhi	Independent House / 3 BHK	1366	₹1.17 Cr	Semi-Furnished	2	Family	Sale
40	Delhi Properties (Delhi.txt)	2 BHK Builder Floor	New Delhi Sector 1	New Delhi / Delhi	Builder Floor / 2 BHK	637	₹80.74 L	Fully-Furnished	2	Any	Sale
41	Delhi Properties (Delhi.txt)	3 BHK Builder Floor	Rohini Nagar	Rohini / Delhi	Builder Floor / 3 BHK	1512	₹28,500/month	Unfurnished	4	Family	Rent
42	Delhi Properties (Delhi.txt)	4 BHK Builder Floor	New Delhi Extension	New Delhi / Delhi	Builder Floor / 4 BHK	1688	₹41,500/month	Unfurnished	4	Family	Rent
43	Delhi Properties (Delhi.txt)	2 BHK Apartment	Saket Sector 2	Saket / Delhi	Apartment / 2 BHK	792	₹18,800/month	Semi-Furnished	2	Family	Rent
44	Delhi Properties (Delhi.txt)	3 BHK Apartment	New Delhi Colony	New Delhi / Delhi	Apartment / 3 BHK	1309	₹1.07 Cr	Semi-Furnished	4	Family	Sale
45	Delhi Properties (Delhi.txt)	1 BHK Apartment	Saket Town Centre	Saket / Delhi	Apartment / 1 BHK	582	₹55.95 L	Fully-Furnished	1	Bachelors	Sale
46	Delhi Properties (Delhi.txt)	2 BHK Apartment	Rohini North	Rohini / Delhi	Apartment / 2 BHK	698	₹24,500/month	Semi-Furnished	2	Family	Rent
47	Delhi Properties (Delhi.txt)	2 BHK Apartment	Dwarka Heights	Dwarka / Delhi	Apartment / 2 BHK	751	₹21,800/month	Semi-Furnished	1	Family	Rent
48	Delhi Properties (Delhi.txt)	3 BHK Apartment	Rohini South	Rohini / Delhi	Apartment / 3 BHK	1231	₹28,800/month	Semi-Furnished	2	Bachelors	Rent
49	Delhi Properties (Delhi.txt)	3 BHK Apartment	Saket Sector 3	Saket / Delhi	Apartment / 3 BHK	1845	₹41,300/month	Semi-Furnished	3	Family	Rent
50	Delhi Properties (Delhi.txt)	2 BHK Villa	Saket Nagar	Saket / Delhi	Villa / 2 BHK	944	₹1.01 Cr	Semi-Furnished	2	Family	Sale
51	Delhi Properties (Delhi.txt)	2 BHK Apartment	New Delhi Nagar	New Delhi / Delhi	Apartment / 2 BHK	807	₹86.24 L	Unfurnished	1	Family	Sale
52	Delhi Properties (Delhi.txt)	2 BHK Independent House	Rohini North	Rohini / Delhi	Independent House / 2 BHK	1023	₹25,700/month	Semi-Furnished	2	Family	Rent
