No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Goa Properties (Goa.txt)	3 BHK Builder Floor	Panaji Extension	Panaji / Goa	Builder Floor / 3 BHK	1550	₹1.11 Cr	Fully-Furnished	4	Family	Sale
2	Goa Properties (Goa.txt)	2 BHK Apartment	Vasco da Gama South	Vasco da Gama / Goa	Apartment / 2 BHK	729	₹17,600/month	Unfurnished	3	Family	Rent
3	Goa Properties (Goa.txt)	1 BHK Studio	Vasco da Gama Heights	Vasco da Gama / Goa	Studio / 1 BHK	427	₹42.11 L	Semi-Furnished	1	Bachelors	Sale
4	Goa Properties (Goa.txt)	4 BHK Apartment	Vasco da Gama West	Vasco da Gama / Goa	Apartment / 4 BHK	1666	₹1.22 Cr	Semi-Furnished	4	Family	Sale
5	Goa Properties (Goa.txt)	2 BHK Builder Floor	Mapusa Heights	Mapusa / Goa	Builder Floor / 2 BHK	906	₹20,900/month	Semi-Furnished	2	Any	Rent
6	Goa Properties (Goa.txt)	3 BHK Apartment	Margao Main Road	Margao / Goa	Apartment / 3 BHK	1168	₹96.61 L	Semi-Furnished	4	Bachelors	Sale
7	Goa Properties (Goa.txt)	2 BHK Apartment	Margao Residential Area	Margao / Goa	Apartment / 2 BHK	742	₹79.15 L	Unfurnished	2	Family	Sale
8	Goa Properties (Goa.txt)	3 BHK Apartment	Vasco da Gama North	Vasco da Gama / Goa	Apartment / 3 BHK	1168	₹90.88 L	Fully-Furnished	2	Bachelors	Sale
9	Goa Properties (Goa.txt)	4 BHK Apartment	Vasco da Gama Nagar	Vasco da Gama / Goa	Apartment / 4 BHK	1622	₹1.06 Cr	Semi-Furnished	4	Family	Sale
10	Goa Properties (Goa.txt)	1 BHK Apartment	Mapusa Sector 1	Mapusa / Goa	Apartment / 1 BHK	446	₹51.65 L	Semi-Furnished	1	Family	Sale
11	Goa Properties (Goa.txt)	2 BHK Apartment	Margao Extension	Margao / Goa	Apartment / 2 BHK	780	₹62.76 L	Unfurnished	1	Any	Sale
12	Goa Properties (Goa.txt)	1 BHK Apartment	Margao Sector 1	Margao / Goa	Apartment / 1 BHK	599	₹13,200/month	Fully-Furnished	1	Bachelors	Rent
13	Goa Properties (Goa.txt)	2 BHK Independent House	Mapusa Central	Mapusa / Goa	Independent House / 2 BHK	763	₹22,200/month	Semi-Furnished	2	Any	Rent
14	Goa Properties (Goa.txt)	3 BHK Builder Floor	Vasco da Gama South	Vasco da Gama / Goa	Builder Floor / 3 BHK	1195	₹28,100/month	Unfurnished	3	Bachelors	Rent
15	Goa Properties (Goa.txt)	2 BHK Independent House	Vasco da Gama Sector 2	Vasco da Gama / Goa	Independent House / 2 BHK	940	₹18,900/month	Unfurnished	1	Any	Rent
16	Goa Properties (Goa.txt)	1 BHK Apartment	Margao Residential Area	Margao / Goa	Apartment / 1 BHK	504	₹12,500/month	Fully-Furnished	1	Family	Rent
17	Goa Properties (Goa.txt)	2 BHK Builder Floor	Mapusa Sector 1	Mapusa / Goa	Builder Floor / 2 BHK	722	₹72.53 L	Semi-Furnished	2	Family	Sale
18	Goa Properties (Goa.txt)	2 BHK Independent House	Mapusa South	Mapusa / Goa	Independent House / 2 BHK	1109	₹17,200/month	Semi-Furnished	2	Bachelors	Rent
19	Goa Properties (Goa.txt)	2 BHK Builder Floor	Vasco da Gama Main Road	Vasco da Gama / Goa	Builder Floor / 2 BHK	772	₹63.97 L	Unfurnished	1	Family	Sale
20	Goa Properties (Goa.txt)	1 BHK Independent House	Mapusa Sector 3	Mapusa / Goa	Independent House / 1 BHK	481	₹12,500/month	Semi-Furnished	1	Bachelors	Rent
21	Goa Properties (Goa.txt)	3 BHK Apartment	Margao Sector 2	Margao / Goa	Apartment / 3 BHK	1634	₹1.13 Cr	Semi-Furnished	4	Family	Sale
22	Goa Properties (Goa.txt)	2 BHK Builder Floor	Margao Heights	Margao / Goa	Builder Floor / 2 BHK	968	₹67.78 L	Unfurnished	3	Family	Sale
