No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Gujarat Properties (Gujarat.txt)	3 BHK Builder Floor	Vadodara Sector 1	Vadodara / Gujarat	Builder Floor / 3 BHK	1205	₹18,500/month	Semi-Furnished	3	Any	Rent
2	Gujarat Properties (Gujarat.txt)	3 BHK Apartment	Vadodara Sector 3	Vadodara / Gujarat	Apartment / 3 BHK	1103	₹20,700/month	Semi-Furnished	3	Family	Rent
3	Gujarat Properties (Gujarat.txt)	2 BHK Apartment	Rajkot Central	Rajkot / Gujarat	Apartment / 2 BHK	949	₹56.48 L	Semi-Furnished	2	Any	Sale
4	Gujarat Properties (Gujarat.txt)	3 BHK Independent House	Surat Sector 1	Surat / Gujarat	Independent House / 3 BHK	1732	₹1.07 Cr	Fully-Furnished	3	Family	Sale
5	Gujarat Properties (Gujarat.txt)	4 BHK Builder Floor	Vadodara Town Centre	Vadodara / Gujarat	Builder Floor / 4 BHK	1711	₹1.20 Cr	Unfurnished	3	Family	Sale
6	Gujarat Properties (Gujarat.txt)	2 BHK Apartment	Rajkot Sector 1	Rajkot / Gujarat	Apartment / 2 BHK	929	₹53.38 L	Unfurnished	3	Family	Sale
7	Gujarat Properties (Gujarat.txt)	3 BHK Builder Floor	Rajkot Nagar	Rajkot / Gujarat	Builder Floor / 3 BHK	1463	₹74.08 L	Semi-Furnished	3	Family	Sale
8	Gujarat Properties (Gujarat.txt)	1 BHK Villa	Rajkot Residential Area	Rajkot / Gujarat	Villa / 1 BHK	663	₹37.55 L	Unfurnished	1	Any	Sale
9	Gujarat Properties (Gujarat.txt)	4 BHK Apartment	Ahmedabad North	Ahmedabad / Gujarat	Apartment / 4 BHK	1505	₹26,300/month	Semi-Furnished	4	Bachelors	Rent
10	Gujarat Properties (Gujarat.txt)	1 BHK Studio	Vadodara East	Vadodara / Gujarat	Studio / 1 BHK	300	₹31.54 L	Fully-Furnished	1	Bachelors	Sale
11	Gujarat Properties (Gujarat.txt)	2 BHK Independent House	Ahmedabad Town Centre	Ahmedabad / Gujarat	Independent House / 2 BHK	974	₹63.36 L	Fully-Furnished	1	Family	Sale
12	Gujarat Properties (Gujarat.txt)	3 BHK Apartment	Ahmedabad North	Ahmedabad / Gujarat	Apartment / 3 BHK	1107	₹80.02 L	Unfurnished	2	Bachelors	Sale
13	Gujarat Properties (Gujarat.txt)	2 BHK Apartment	Rajkot Colony	Rajkot / Gujarat	Apartment / 2 BHK	1053	₹15,000/month	Fully-Furnished	2	Bachelors	Rent
14	Gujarat Properties (Gujarat.txt)	2 BHK Builder Floor	Rajkot Extension	Rajkot / Gujarat	Builder Floor / 2 BHK	652	₹56.86 L	Semi-Furnished	2	Family	Sale
15	Gujarat Properties (Gujarat.txt)	1 BHK Apartment	Vadodara South	Vadodara / Gujarat	Apartment / 1 BHK	576	₹10,500/month	Fully-Furnished	1	Family	Rent
16	Gujarat Properties (Gujarat.txt)	1 BHK Independent House	Vadodara Central	Vadodara / Gujarat	Independent House / 1 BHK	813	₹35.28 L	Unfurnished	1	Bachelors	Sale
17	Gujarat Properties (Gujarat.txt)	2 BHK Apartment	Rajkot Heights	Rajkot / Gujarat	Apartment / 2 BHK	772	₹65.84 L	Semi-Furnished	3	Family	Sale
