No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Haryana Properties (Haryana.txt)	3 BHK Builder Floor	Gurugram West	Gurugram / Haryana	Builder Floor / 3 BHK	1379	₹26,400/month	Fully-Furnished	4	Family	Rent
2	Haryana Properties (Haryana.txt)	4 BHK Independent House	Panipat Sector 1	Panipat / Haryana	Independent House / 4 BHK	2072	₹1.51 Cr	Semi-Furnished	4	Family	Sale
3	Haryana Properties (Haryana.txt)	3 BHK Apartment	Gurugram Colony	Gurugram / Haryana	Apartment / 3 BHK	1412	₹1.17 Cr	Semi-Furnished	3	Family	Sale
4	Haryana Properties (Haryana.txt)	3 BHK Independent House	Panipat Sector 3	Panipat / Haryana	Independent House / 3 BHK	1491	₹95.73 L	Semi-Furnished	3	Any	Sale
5	Haryana Properties (Haryana.txt)	1 BHK Apartment	Gurugram Town Centre	Gurugram / Haryana	Apartment / 1 BHK	514	₹47.57 L	Fully-Furnished	1	Family	Sale
6	Haryana Properties (Haryana.txt)	3 BHK Apartment	Panipat West	Panipat / Haryana	Apartment / 3 BHK	1147	₹22,900/month	Semi-Furnished	3	Family	Rent
7	Haryana Properties (Haryana.txt)	2 BHK Apartment	Karnal Heights	Karnal / Haryana	Apartment / 2 BHK	1094	₹84.88 L	Semi-Furnished	3	Family	Sale
8	Haryana Properties (Haryana.txt)	2 BHK Independent House	Gurugram West	Gurugram / Haryana	Independent House / 2 BHK	1031	₹89.65 L	Semi-Furnished	2	Any	Sale
9	Haryana Properties (Haryana.txt)	3 BHK Villa	Faridabad Sector 3	Faridabad / Haryana	Villa / 3 BHK	1870	₹25,300/month	Semi-Furnished	3	Bachelors	Rent
10	Haryana Properties (Haryana.txt)	1 BHK Builder Floor	Karnal Town Centre	Karnal / Haryana	Builder Floor / 1 BHK	460	₹38.67 L	Fully-Furnished	1	Any	Sale
11	Haryana Properties (Haryana.txt)	4 BHK Villa	Faridabad Sector 1	Faridabad / Haryana	Villa / 4 BHK	2082	₹33,800/month	Unfurnished	4	Any	Rent
12	Haryana Properties (Haryana.txt)	3 BHK Apartment	Gurugram South	Gurugram / Haryana	Apartment / 3 BHK	1204	₹24,600/month	Semi-Furnished	3	Any	Rent
13	Haryana Properties (Haryana.txt)	2 BHK Builder Floor	Faridabad Main Road	Faridabad / Haryana	Builder Floor / 2 BHK	883	₹87.67 L	Semi-Furnished	2	Family	Sale
14	Haryana Properties (Haryana.txt)	2 BHK Builder Floor	Panipat Heights	Panipat / Haryana	Builder Floor / 2 BHK	737	₹23,300/month	Fully-Furnished	1	Family	Rent
15	Haryana Properties (Haryana.txt)	2 BHK Builder Floor	Gurugram Sector 1	Gurugram / Haryana	Builder Floor / 2 BHK	842	₹77.88 L	Semi-Furnished	2	Bachelors	Sale
16	Haryana Properties (Haryana.txt)	3 BHK Apartment	Gurugram Central	Gurugram / Haryana	Apartment / 3 BHK	1307	₹30,800/month	Semi-Furnished	2	Any	Rent
17	Haryana Properties (Haryana.txt)	2 BHK Apartment	Gurugram Residential Area	Gurugram / Haryana	Apartment / 2 BHK	788	₹21,300/month	Unfurnished	1	Family	Rent
18	Haryana Properties (Haryana.txt)	2 BHK Apartment	Karnal Heights	Karnal / Haryana	Apartment / 2 BHK	774	₹83.40 L	Fully-Furnished	2	Any	Sale
19	Haryana Properties (Haryana.txt)	3 BHK Apartment	Faridabad South	Faridabad / Haryana	Apartment / 3 BHK	1181	₹22,000/month	Unfurnished	4	Any	Rent
20	Haryana Properties (Haryana.txt)	1 BHK Studio	Karnal Colony	Karnal / Haryana	Studio / 1 BHK	356	₹12,100/month	Fully-Furnished	2	Any	Rent
21	Haryana Properties (Haryana.txt)	1 BHK Builder Floor	Gurugram Town Centre	Gurugram / Haryana	Builder Floor / 1 BHK	439	₹43.53 L	Unfurnished	2	Bachelors	Sale
22	Haryana Properties (Haryana.txt)	1 BHK Independent House	Panipat Main Road	Panipat / Haryana	Independent House / 1 BHK	715	₹51.92 L	Unfurnished	1	Any	Sale
23	Haryana Properties (Haryana.txt)	3 BHK Villa	Panipat Colony	Panipat / Haryana	Villa / 3 BHK	2110	₹1.33 Cr	Unfurnished	4	Family	Sale
