No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Himachal Pradesh Properties (Himachal_Pradesh.txt)	3 BHK Builder Floor	Shimla Nagar	Shimla / Himachal Pradesh	Builder Floor / 3 BHK	1155	₹79.51 L	Fully-Furnished	3	Family	Sale
2	Himachal Pradesh Properties (Himachal_Pradesh.txt)	3 BHK Apartment	Mandi Sector 3	Mandi / Himachal Pradesh	Apartment / 3 BHK	1076	₹61.75 L	Semi-Furnished	2	Any	Sale
3	Himachal Pradesh Properties (Himachal_Pradesh.txt)	2 BHK Builder Floor	Mandi Extension	Mandi / Himachal Pradesh	Builder Floor / 2 BHK	934	₹57.61 L	Unfurnished	2	Bachelors	Sale
4	Himachal Pradesh Properties (Himachal_Pradesh.txt)	1 BHK Independent House	Dharamshala South	Dharamshala / Himachal Pradesh	Independent House / 1 BHK	479	₹36.44 L	Unfurnished	1	Bachelors	Sale
5	Himachal Pradesh Properties (Himachal_Pradesh.txt)	3 BHK Villa	Solan Main Road	Solan / Himachal Pradesh	Villa / 3 BHK	1487	₹83.69 L	Semi-Furnished	3	Family	Sale
6	Himachal Pradesh Properties (Himachal_Pradesh.txt)	3 BHK Apartment	Dharamshala Residential Area	Dharamshala / Himachal Pradesh	Apartment / 3 BHK	1428	₹67.39 L	Fully-Furnished	4	Bachelors	Sale
7	Himachal Pradesh Properties (Himachal_Pradesh.txt)	2 BHK Apartment	Shimla Central	Shimla / Himachal Pradesh	Apartment / 2 BHK	970	₹42.39 L	Fully-Furnished	2	Bachelors	Sale
8	Himachal Pradesh Properties (Himachal_Pradesh.txt)	3 BHK Apartment	Solan South	Solan / Himachal Pradesh	Apartment / 3 BHK	815	₹58.14 L	Semi-Furnished	3	Family	Sale
9	Himachal Pradesh Properties (Himachal_Pradesh.txt)	4 BHK Apartment	Mandi East	Mandi / Himachal Pradesh	Apartment / 4 BHK	1339	₹26,300/month	Fully-Furnished	4	Bachelors	Rent
10	Himachal Pradesh Properties (Himachal_Pradesh.txt)	1 BHK Builder Floor	Mandi Town Centre	Mandi / Himachal Pradesh	Builder Floor / 1 BHK	552	₹8,300/month	Fully-Furnished	1	Family	Rent
11	Himachal Pradesh Properties (Himachal_Pradesh.txt)	1 BHK Apartment	Solan South	Solan / Himachal Pradesh	Apartment / 1 BHK	409	₹7,300/month	Unfurnished	2	Family	Rent
12	Himachal Pradesh Properties (Himachal_Pradesh.txt)	3 BHK Apartment	Mandi Colony	Mandi / Himachal Pradesh	Apartment / 3 BHK	1274	₹17,000/month	Fully-Furnished	3	Family	Rent
13	Himachal Pradesh Properties (Himachal_Pradesh.txt)	3 BHK Apartment	Shimla Sector 1	Shimla / Himachal Pradesh	Apartment / 3 BHK	1195	₹18,600/month	Fully-Furnished	2	Bachelors	Rent
14	Himachal Pradesh Properties (Himachal_Pradesh.txt)	2 BHK Independent House	Dharamshala East	Dharamshala / Himachal Pradesh	Independent House / 2 BHK	1057	₹12,500/month	Semi-Furnished	2	Any	Rent
15	Himachal Pradesh Properties (Himachal_Pradesh.txt)	2 BHK Apartment	Mandi North	Mandi / Himachal Pradesh	Apartment / 2 BHK	749	₹52.95 L	Fully-Furnished	2	Family	Sale
16	Himachal Pradesh Properties (Himachal_Pradesh.txt)	3 BHK Builder Floor	Mandi Main Road	Mandi / Himachal Pradesh	Builder Floor / 3 BHK	1325	₹20,400/month	Fully-Furnished	2	Family	Rent
17	Himachal Pradesh Properties (Himachal_Pradesh.txt)	4 BHK Apartment	Solan Town Centre	Solan / Himachal Pradesh	Apartment / 4 BHK	1661	₹90.94 L	Unfurnished	4	Bachelors	Sale
18	Himachal Pradesh Properties (Himachal_Pradesh.txt)	3 BHK Apartment	Dharamshala Heights	Dharamshala / Himachal Pradesh	Apartment / 3 BHK	972	₹69.14 L	Semi-Furnished	3	Any	Sale
19	Himachal Pradesh Properties (Himachal_Pradesh.txt)	3 BHK Builder Floor	Solan North	Solan / Himachal Pradesh	Builder Floor / 3 BHK	1009	₹78.11 L	Semi-Furnished	3	Family	Sale
20	Himachal Pradesh Properties (Himachal_Pradesh.txt)	3 BHK Builder Floor	Shimla North	Shimla / Himachal Pradesh	Builder Floor / 3 BHK	783	₹65.23 L	Fully-Furnished	3	Family	Sale
21	Himachal Pradesh Properties (Himachal_Pradesh.txt)	2 BHK Apartment	Mandi Heights	Mandi / Himachal Pradesh	Apartment / 2 BHK	956	₹56.97 L	Unfurnished	2	Family	Sale
22	Himachal Pradesh Properties (Himachal_Pradesh.txt)	2 BHK Independent House	Mandi South	Mandi / Himachal Pradesh	Independent House / 2 BHK	987	₹58.40 L	Semi-Furnished	2	Any	Sale
23	Himachal Pradesh Properties (Himachal_Pradesh.txt)	5 BHK Apartment	Dharamshala West	Dharamshala / Himachal Pradesh	Apartment / 5 BHK	2455	₹1.09 Cr	Semi-Furnished	6	Family	Sale
24	Himachal Pradesh Properties (Himachal_Pradesh.txt)	2 BHK Builder Floor	Mandi East	Mandi / Himachal Pradesh	Builder Floor / 2 BHK	1090	₹61.56 L	Fully-Furnished	2	Bachelors	Sale
