No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	2 BHK Builder Floor	Jammu East	Jammu / Jammu & Kashmir	Builder Floor / 2 BHK	839	₹53.71 L	Unfurnished	3	Family	Sale
2	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	2 BHK Builder Floor	Srinagar Town Centre	Srinagar / Jammu & Kashmir	Builder Floor / 2 BHK	950	₹13,900/month	Unfurnished	2	Any	Rent
3	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	1 BHK Builder Floor	Srinagar East	Srinagar / Jammu & Kashmir	Builder Floor / 1 BHK	439	₹7,300/month	Semi-Furnished	1	Family	Rent
4	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	4 BHK Independent House	Anantnag Sector 3	Anantnag / Jammu & Kashmir	Independent House / 4 BHK	2171	₹21,300/month	Semi-Furnished	5	Bachelors	Rent
5	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	2 BHK Builder Floor	Jammu Sector 2	Jammu / Jammu & Kashmir	Builder Floor / 2 BHK	1014	₹11,500/month	Unfurnished	1	Any	Rent
6	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	2 BHK Villa	Jammu Heights	Jammu / Jammu & Kashmir	Villa / 2 BHK	1067	₹11,700/month	Fully-Furnished	2	Family	Rent
7	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	4 BHK Builder Floor	Srinagar South	Srinagar / Jammu & Kashmir	Builder Floor / 4 BHK	1614	₹92.94 L	Fully-Furnished	3	Family	Sale
8	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	1 BHK Villa	Jammu Extension	Jammu / Jammu & Kashmir	Villa / 1 BHK	681	₹10,100/month	Semi-Furnished	1	Family	Rent
9	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	2 BHK Independent House	Jammu Nagar	Jammu / Jammu & Kashmir	Independent House / 2 BHK	874	₹54.91 L	Unfurnished	1	Any	Sale
10	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	1 BHK Apartment	Srinagar Residential Area	Srinagar / Jammu & Kashmir	Apartment / 1 BHK	538	₹34.94 L	Fully-Furnished	1	Any	Sale
11	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	2 BHK Apartment	Anantnag Sector 2	Anantnag / Jammu & Kashmir	Apartment / 2 BHK	768	₹39.81 L	Fully-Furnished	2	Bachelors	Sale
12	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	2 BHK Apartment	Jammu Town Centre	Jammu / Jammu & Kashmir	Apartment / 2 BHK	699	₹10,800/month	Semi-Furnished	1	Family	Rent
13	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	4 BHK Independent House	Anantnag Town Centre	Anantnag / Jammu & Kashmir	Independent House / 4 BHK	2123	₹85.07 L	Semi-Furnished	4	Family	Sale
14	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	3 BHK Apartment	Srinagar Heights	Srinagar / Jammu & Kashmir	Apartment / 3 BHK	1417	₹56.17 L	Fully-Furnished	3	Bachelors	Sale
15	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	1 BHK Apartment	Srinagar Main Road	Srinagar / Jammu & Kashmir	Apartment / 1 BHK	478	₹26.03 L	Semi-Furnished	1	Any	Sale
16	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	2 BHK Apartment	Jammu West	Jammu / Jammu & Kashmir	Apartment / 2 BHK	890	₹50.98 L	Fully-Furnished	2	Bachelors	Sale
17	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	3 BHK Builder Floor	Anantnag Extension	Anantnag / Jammu & Kashmir	Builder Floor / 3 BHK	1046	₹57.17 L	Unfurnished	2	Bachelors	Sale
18	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	4 BHK Apartment	Srinagar Main Road	Srinagar / Jammu & Kashmir	Apartment / 4 BHK	1785	₹18,300/month	Semi-Furnished	4	Bachelors	Rent
19	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	2 BHK Builder Floor	Srinagar Residential Area	Srinagar / Jammu & Kashmir	Builder Floor / 2 BHK	788	₹52.68 L	Fully-Furnished	2	Any	Sale
20	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	4 BHK Apartment	Srinagar West	Srinagar / Jammu & Kashmir	Apartment / 4 BHK	1835	₹85.43 L	Fully-Furnished	5	Bachelors	Sale
21	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	3 BHK Builder Floor	Anantnag North	Anantnag / Jammu & Kashmir	Builder Floor / 3 BHK	1176	₹66.85 L	Semi-Furnished	3	Family	Sale
22	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	2 BHK Villa	Anantnag Nagar	Anantnag / Jammu & Kashmir	Villa / 2 BHK	978	₹42.83 L	Fully-Furnished	2	Family	Sale
23	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	2 BHK Builder Floor	Srinagar West	Srinagar / Jammu & Kashmir	Builder Floor / 2 BHK	846	₹13,700/month	Fully-Furnished	2	Family	Rent
24	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	3 BHK Apartment	Srinagar Heights	Srinagar / Jammu & Kashmir	Apartment / 3 BHK	1198	₹67.74 L	Fully-Furnished	3	Bachelors	Sale
25	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	4 BHK Independent House	Srinagar West	Srinagar / Jammu & Kashmir	Independent House / 4 BHK	1891	₹25,600/month	Unfurnished	5	Bachelors	Rent
26	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	3 BHK Apartment	Jammu Sector 3	Jammu / Jammu & Kashmir	Apartment / 3 BHK	1354	₹69.68 L	Semi-Furnished	4	Family	Sale
27	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	2 BHK Apartment	Jammu Sector 2	Jammu / Jammu & Kashmir	Apartment / 2 BHK	915	₹55.31 L	Unfurnished	3	Family	Sale
28	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	5 BHK Apartment	Srinagar Sector 3	Srinagar / Jammu & Kashmir	Apartment / 5 BHK	2426	₹28,100/month	Semi-Furnished	5	Any	Rent
29	Jammu & Kashmir Properties (Jammu_and_Kashmir.txt)	1 BHK Studio	Srinagar Town Centre	Srinagar / Jammu & Kashmir	Studio / 1 BHK	401	₹8,500/month	Fully-Furnished	1	Any	Rent
