No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Jharkhand Properties (Jharkhand.txt)	2 BHK Apartment	Ranchi Main Road	Ranchi / Jharkhand	Apartment / 2 BHK	818	₹46.45 L	Semi-Furnished	1	Family	Sale
2	Jharkhand Properties (Jharkhand.txt)	2 BHK Apartment	Jamshedpur Colony	Jamshedpur / Jharkhand	Apartment / 2 BHK	907	₹52.09 L	Unfurnished	1	Family	Sale
3	Jharkhand Properties (Jharkhand.txt)	1 BHK Apartment	Bokaro Extension	Bokaro / Jharkhand	Apartment / 1 BHK	658	₹35.62 L	Fully-Furnished	1	Any	Sale
4	Jharkhand Properties (Jharkhand.txt)	5 BHK Apartment	Ranchi West	Ranchi / Jharkhand	Apartment / 5 BHK	2692	₹1.18 Cr	Fully-Furnished	5	Any	Sale
5	Jharkhand Properties (Jharkhand.txt)	1 BHK Builder Floor	Ranchi Main Road	Ranchi / Jharkhand	Builder Floor / 1 BHK	585	₹7,400/month	Semi-Furnished	1	Bachelors	Rent
6	Jharkhand Properties (Jharkhand.txt)	2 BHK Apartment	Ranchi Colony	Ranchi / Jharkhand	Apartment / 2 BHK	599	₹11,700/month	Unfurnished	3	Any	Rent
7	Jharkhand Properties (Jharkhand.txt)	1 BHK Builder Floor	Dhanbad Heights	Dhanbad / Jharkhand	Builder Floor / 1 BHK	619	₹30.73 L	Unfurnished	1	Family	Sale
8	Jharkhand Properties (Jharkhand.txt)	2 BHK Independent House	Jamshedpur Residential Area	Jamshedpur / Jharkhand	Independent House / 2 BHK	964	₹10,400/month	Semi-Furnished	2	Any	Rent
9	Jharkhand Properties (Jharkhand.txt)	2 BHK Independent House	Dhanbad Nagar	Dhanbad / Jharkhand	Independent House / 2 BHK	1169	₹11,500/month	Fully-Furnished	2	Bachelors	Rent
10	Jharkhand Properties (Jharkhand.txt)	3 BHK Apartment	Dhanbad Sector 2	Dhanbad / Jharkhand	Apartment / 3 BHK	1095	₹51.13 L	Semi-Furnished	4	Family	Sale
11	Jharkhand Properties (Jharkhand.txt)	1 BHK Studio	Jamshedpur Nagar	Jamshedpur / Jharkhand	Studio / 1 BHK	420	₹23.89 L	Semi-Furnished	1	Family	Sale
12	Jharkhand Properties (Jharkhand.txt)	2 BHK Apartment	Ranchi East	Ranchi / Jharkhand	Apartment / 2 BHK	797	₹45.39 L	Semi-Furnished	2	Family	Sale
13	Jharkhand Properties (Jharkhand.txt)	3 BHK Apartment	Bokaro Sector 2	Bokaro / Jharkhand	Apartment / 3 BHK	1080	₹60.62 L	Semi-Furnished	4	Family	Sale
14	Jharkhand Properties (Jharkhand.txt)	2 BHK Apartment	Dhanbad Main Road	Dhanbad / Jharkhand	Apartment / 2 BHK	793	₹45.75 L	Semi-Furnished	2	Family	Sale
15	Jharkhand Properties (Jharkhand.txt)	2 BHK Apartment	Bokaro Sector 3	Bokaro / Jharkhand	Apartment / 2 BHK	969	₹39.20 L	Unfurnished	2	Family	Sale
16	Jharkhand Properties (Jharkhand.txt)	1 BHK Apartment	Dhanbad Extension	Dhanbad / Jharkhand	Apartment / 1 BHK	655	₹9,500/month	Fully-Furnished	1	Bachelors	Rent
17	Jharkhand Properties (Jharkhand.txt)	1 BHK Studio	Bokaro Town Centre	Bokaro / Jharkhand	Studio / 1 BHK	398	₹26.70 L	Semi-Furnished	1	Bachelors	Sale
18	Jharkhand Properties (Jharkhand.txt)	3 BHK Independent House	Bokaro West	Bokaro / Jharkhand	Independent House / 3 BHK	1290	₹69.18 L	Fully-Furnished	2	Family	Sale
