No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Karnataka Properties (Karnataka.txt)	2 BHK Apartment	Bengaluru Extension	Bengaluru / Karnataka	Apartment / 2 BHK	744	₹76.97 L	Semi-Furnished	2	Bachelors	Sale
2	Karnataka Properties (Karnataka.txt)	1 BHK Studio	Mysuru Sector 3	Mysuru / Karnataka	Studio / 1 BHK	300	₹36.47 L	Semi-Furnished	1	Family	Sale
3	Karnataka Properties (Karnataka.txt)	4 BHK Villa	Hubballi Sector 2	Hubballi / Karnataka	Villa / 4 BHK	2207	₹1.30 Cr	Semi-Furnished	4	Bachelors	Sale
4	Karnataka Properties (Karnataka.txt)	3 BHK Independent House	Bengaluru Extension	Bengaluru / Karnataka	Independent House / 3 BHK	1541	₹26,300/month	Semi-Furnished	3	Any	Rent
5	Karnataka Properties (Karnataka.txt)	1 BHK Studio	Bengaluru Sector 2	Bengaluru / Karnataka	Studio / 1 BHK	419	₹10,600/month	Semi-Furnished	2	Bachelors	Rent
6	Karnataka Properties (Karnataka.txt)	1 BHK Builder Floor	Mysuru West	Mysuru / Karnataka	Builder Floor / 1 BHK	576	₹56.96 L	Fully-Furnished	2	Family	Sale
7	Karnataka Properties (Karnataka.txt)	2 BHK Independent House	Mysuru Sector 1	Mysuru / Karnataka	Independent House / 2 BHK	844	₹21,500/month	Semi-Furnished	2	Family	Rent
8	Karnataka Properties (Karnataka.txt)	3 BHK Apartment	Mysuru North	Mysuru / Karnataka	Apartment / 3 BHK	1400	₹27,300/month	Semi-Furnished	3	Any	Rent
9	Karnataka Properties (Karnataka.txt)	2 BHK Apartment	Hubballi West	Hubballi / Karnataka	Apartment / 2 BHK	751	₹21,400/month	Unfurnished	1	Bachelors	Rent
10	Karnataka Properties (Karnataka.txt)	3 BHK Apartment	Mangaluru Extension	Mangaluru / Karnataka	Apartment / 3 BHK	1356	₹1.11 Cr	Unfurnished	3	Any	Sale
11	Karnataka Properties (Karnataka.txt)	2 BHK Apartment	Bengaluru Town Centre	Bengaluru / Karnataka	Apartment / 2 BHK	896	₹61.78 L	Unfurnished	2	Family	Sale
12	Karnataka Properties (Karnataka.txt)	1 BHK Studio	Hubballi Sector 2	Hubballi / Karnataka	Studio / 1 BHK	338	₹44.04 L	Semi-Furnished	1	Family	Sale
13	Karnataka Properties (Karnataka.txt)	1 BHK Apartment	Bengaluru Sector 3	Bengaluru / Karnataka	Apartment / 1 BHK	551	₹56.29 L	Unfurnished	2	Family	Sale
14	Karnataka Properties (Karnataka.txt)	2 BHK Apartment	Mangaluru Main Road	Mangaluru / Karnataka	Apartment / 2 BHK	934	₹78.38 L	Semi-Furnished	2	Any	Sale
15	Karnataka Properties (Karnataka.txt)	1 BHK Apartment	Bengaluru Residential Area	Bengaluru / Karnataka	Apartment / 1 BHK	501	₹14,000/month	Semi-Furnished	1	Family	Rent
16	Karnataka Properties (Karnataka.txt)	3 BHK Apartment	Mysuru West	Mysuru / Karnataka	Apartment / 3 BHK	933	₹23,900/month	Semi-Furnished	3	Family	Rent
17	Karnataka Properties (Karnataka.txt)	2 BHK Apartment	Mangaluru Sector 1	Mangaluru / Karnataka	Apartment / 2 BHK	613	₹15,900/month	Semi-Furnished	2	Family	Rent
18	Karnataka Properties (Karnataka.txt)	4 BHK Apartment	Mysuru Residential Area	Mysuru / Karnataka	Apartment / 4 BHK	2021	₹33,200/month	Fully-Furnished	5	Family	Rent
19	Karnataka Properties (Karnataka.txt)	2 BHK Apartment	Hubballi Main Road	Hubballi / Karnataka	Apartment / 2 BHK	858	₹64.39 L	Unfurnished	2	Bachelors	Sale
20	Karnataka Properties (Karnataka.txt)	1 BHK Independent House	Mangaluru South	Mangaluru / Karnataka	Independent House / 1 BHK	669	₹42.81 L	Semi-Furnished	2	Any	Sale
21	Karnataka Properties (Karnataka.txt)	5 BHK Apartment	Mangaluru Colony	Mangaluru / Karnataka	Apartment / 5 BHK	2097	₹1.29 Cr	Semi-Furnished	4	Bachelors	Sale
22	Karnataka Properties (Karnataka.txt)	4 BHK Apartment	Hubballi Sector 3	Hubballi / Karnataka	Apartment / 4 BHK	2051	₹30,400/month	Semi-Furnished	3	Bachelors	Rent
23	Karnataka Properties (Karnataka.txt)	1 BHK Apartment	Hubballi Nagar	Hubballi / Karnataka	Apartment / 1 BHK	554	₹13,200/month	Unfurnished	2	Bachelors	Rent
24	Karnataka Properties (Karnataka.txt)	5 BHK Apartment	Bengaluru Main Road	Bengaluru / Karnataka	Apartment / 5 BHK	2746	₹50,400/month	Semi-Furnished	5	Any	Rent
25	Karnataka Properties (Karnataka.txt)	3 BHK Builder Floor	Mangaluru Colony	Mangaluru / Karnataka	Builder Floor / 3 BHK	1184	₹27,400/month	Semi-Furnished	4	Family	Rent
26	Karnataka Properties (Karnataka.txt)	1 BHK Apartment	Mysuru Main Road	Mysuru / Karnataka	Apartment / 1 BHK	513	₹50.56 L	Semi-Furnished	1	Family	Sale
27	Karnataka Properties (Karnataka.txt)	4 BHK Apartment	Bengaluru Heights	Bengaluru / Karnataka	Apartment / 4 BHK	2061	₹35,300/month	Semi-Furnished	4	Family	Rent
28	Karnataka Properties (Karnataka.txt)	3 BHK Apartment	Hubballi Sector 1	Hubballi / Karnataka	Apartment / 3 BHK	962	₹27,900/month	Unfurnished	4	Bachelors	Rent
29	Karnataka Properties (Karnataka.txt)	3 BHK Builder Floor	Bengaluru Sector 1	Bengaluru / Karnataka	Builder Floor / 3 BHK	1022	₹26,300/month	Semi-Furnished	3	Any	Rent
30	Karnataka Properties (Karnataka.txt)	4 BHK Apartment	Mysuru West	Mysuru / Karnataka	Apartment / 4 BHK	1328	₹1.29 Cr	Semi-Furnished	4	Family	Sale
31	Karnataka Properties (Karnataka.txt)	2 BHK Builder Floor	Bengaluru Sector 3	Bengaluru / Karnataka	Builder Floor / 2 BHK	926	₹20,300/month	Unfurnished	3	Family	Rent
32	Karnataka Properties (Karnataka.txt)	1 BHK Builder Floor	Mangaluru Central	Mangaluru / Karnataka	Builder Floor / 1 BHK	557	₹43.36 L	Unfurnished	1	Bachelors	Sale
33	Karnataka Properties (Karnataka.txt)	1 BHK Apartment	Mysuru East	Mysuru / Karnataka	Apartment / 1 BHK	353	₹40.15 L	Semi-Furnished	2	Any	Sale
34	Karnataka Properties (Karnataka.txt)	1 BHK Apartment	Mangaluru West	Mangaluru / Karnataka	Apartment / 1 BHK	525	₹48.18 L	Fully-Furnished	1	Family	Sale
35	Karnataka Properties (Karnataka.txt)	2 BHK Apartment	Mangaluru Residential Area	Mangaluru / Karnataka	Apartment / 2 BHK	794	₹81.05 L	Fully-Furnished	2	Bachelors	Sale
36	Karnataka Properties (Karnataka.txt)	2 BHK Apartment	Mangaluru Sector 2	Mangaluru / Karnataka	Apartment / 2 BHK	929	₹73.92 L	Unfurnished	3	Family	Sale
37	Karnataka Properties (Karnataka.txt)	2 BHK Villa	Bengaluru Town Centre	Bengaluru / Karnataka	Villa / 2 BHK	1127	₹20,400/month	Semi-Furnished	2	Bachelors	Rent
38	Karnataka Properties (Karnataka.txt)	3 BHK Apartment	Mysuru Nagar	Mysuru / Karnataka	Apartment / 3 BHK	971	₹79.63 L	Semi-Furnished	3	Any	Sale
39	Karnataka Properties (Karnataka.txt)	1 BHK Apartment	Hubballi Colony	Hubballi / Karnataka	Apartment / 1 BHK	446	₹37.76 L	Semi-Furnished	1	Bachelors	Sale
40	Karnataka Properties (Karnataka.txt)	3 BHK Apartment	Hubballi East	Hubballi / Karnataka	Apartment / 3 BHK	1283	₹1.13 Cr	Semi-Furnished	4	Any	Sale
41	Karnataka Properties (Karnataka.txt)	2 BHK Independent House	Bengaluru Heights	Bengaluru / Karnataka	Independent House / 2 BHK	1045	₹74.64 L	Fully-Furnished	2	Family	Sale
42	Karnataka Properties (Karnataka.txt)	4 BHK Apartment	Mangaluru Sector 2	Mangaluru / Karnataka	Apartment / 4 BHK	1566	₹1.21 Cr	Fully-Furnished	5	Family	Sale
43	Karnataka Properties (Karnataka.txt)	2 BHK Apartment	Bengaluru Central	Bengaluru / Karnataka	Apartment / 2 BHK	902	₹87.46 L	Fully-Furnished	1	Any	Sale
44	Karnataka Properties (Karnataka.txt)	2 BHK Apartment	Bengaluru North	Bengaluru / Karnataka	Apartment / 2 BHK	946	₹83.99 L	Fully-Furnished	2	Family	Sale
