No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Kerala Properties (Kerala.txt)	3 BHK Apartment	Thrissur Nagar	Thrissur / Kerala	Apartment / 3 BHK	1209	₹19,400/month	Semi-Furnished	2	Family	Rent
2	Kerala Properties (Kerala.txt)	3 BHK Apartment	Thiruvananthapuram East	Thiruvananthapuram / Kerala	Apartment / 3 BHK	1251	₹91.26 L	Fully-Furnished	3	Family	Sale
3	Kerala Properties (Kerala.txt)	4 BHK Independent House	Kozhikode West	Kozhikode / Kerala	Independent House / 4 BHK	1678	₹97.83 L	Semi-Furnished	4	Any	Sale
4	Kerala Properties (Kerala.txt)	2 BHK Apartment	Kozhikode East	Kozhikode / Kerala	Apartment / 2 BHK	647	₹61.48 L	Fully-Furnished	3	Any	Sale
5	Kerala Properties (Kerala.txt)	4 BHK Apartment	Thiruvananthapuram Colony	Thiruvananthapuram / Kerala	Apartment / 4 BHK	1958	₹35,300/month	Fully-Furnished	4	Bachelors	Rent
6	Kerala Properties (Kerala.txt)	2 BHK Apartment	Thrissur Extension	Thrissur / Kerala	Apartment / 2 BHK	1030	₹66.90 L	Semi-Furnished	2	Any	Sale
7	Kerala Properties (Kerala.txt)	2 BHK Apartment	Thiruvananthapuram Sector 3	Thiruvananthapuram / Kerala	Apartment / 2 BHK	734	₹59.33 L	Semi-Furnished	2	Family	Sale
8	Kerala Properties (Kerala.txt)	2 BHK Independent House	Thrissur Sector 2	Thrissur / Kerala	Independent House / 2 BHK	883	₹19,300/month	Unfurnished	2	Family	Rent
9	Kerala Properties (Kerala.txt)	3 BHK Villa	Thiruvananthapuram Central	Thiruvananthapuram / Kerala	Villa / 3 BHK	1768	₹1.03 Cr	Semi-Furnished	4	Bachelors	Sale
10	Kerala Properties (Kerala.txt)	3 BHK Villa	Thiruvananthapuram Extension	Thiruvananthapuram / Kerala	Villa / 3 BHK	1706	₹22,600/month	Semi-Furnished	3	Any	Rent
11	Kerala Properties (Kerala.txt)	3 BHK Apartment	Thiruvananthapuram Central	Thiruvananthapuram / Kerala	Apartment / 3 BHK	1167	₹20,500/month	Semi-Furnished	3	Family	Rent
12	Kerala Properties (Kerala.txt)	4 BHK Builder Floor	Thrissur Town Centre	Thrissur / Kerala	Builder Floor / 4 BHK	1413	₹1.20 Cr	Semi-Furnished	4	Bachelors	Sale
13	Kerala Properties (Kerala.txt)	1 BHK Apartment	Thiruvananthapuram South	Thiruvananthapuram / Kerala	Apartment / 1 BHK	504	₹37.82 L	Fully-Furnished	1	Any	Sale
14	Kerala Properties (Kerala.txt)	1 BHK Studio	Kochi Nagar	Kochi / Kerala	Studio / 1 BHK	419	₹11,200/month	Unfurnished	1	Family	Rent
15	Kerala Properties (Kerala.txt)	3 BHK Apartment	Kozhikode Sector 2	Kozhikode / Kerala	Apartment / 3 BHK	1268	₹81.46 L	Semi-Furnished	4	Family	Sale
16	Kerala Properties (Kerala.txt)	3 BHK Apartment	Kozhikode East	Kozhikode / Kerala	Apartment / 3 BHK	1245	₹93.25 L	Semi-Furnished	3	Any	Sale
17	Kerala Properties (Kerala.txt)	3 BHK Apartment	Thiruvananthapuram Sector 1	Thiruvananthapuram / Kerala	Apartment / 3 BHK	993	₹90.90 L	Semi-Furnished	4	Bachelors	Sale
18	Kerala Properties (Kerala.txt)	4 BHK Apartment	Thrissur Sector 2	Thrissur / Kerala	Apartment / 4 BHK	2283	₹1.23 Cr	Semi-Furnished	4	Any	Sale
19	Kerala Properties (Kerala.txt)	1 BHK Builder Floor	Kochi South	Kochi / Kerala	Builder Floor / 1 BHK	448	₹43.50 L	Semi-Furnished	2	Any	Sale
20	Kerala Properties (Kerala.txt)	3 BHK Apartment	Thrissur Residential Area	Thrissur / Kerala	Apartment / 3 BHK	927	₹22,000/month	Fully-Furnished	3	Family	Rent
21	Kerala Properties (Kerala.txt)	2 BHK Builder Floor	Thiruvananthapuram West	Thiruvananthapuram / Kerala	Builder Floor / 2 BHK	860	₹68.27 L	Semi-Furnished	1	Family	Sale
22	Kerala Properties (Kerala.txt)	3 BHK Apartment	Thrissur East	Thrissur / Kerala	Apartment / 3 BHK	1468	₹28,200/month	Semi-Furnished	4	Bachelors	Rent
23	Kerala Properties (Kerala.txt)	3 BHK Independent House	Kozhikode Nagar	Kozhikode / Kerala	Independent House / 3 BHK	1711	₹1.02 Cr	Semi-Furnished	4	Family	Sale
24	Kerala Properties (Kerala.txt)	3 BHK Apartment	Kozhikode Nagar	Kozhikode / Kerala	Apartment / 3 BHK	1268	₹71.84 L	Semi-Furnished	3	Any	Sale
25	Kerala Properties (Kerala.txt)	2 BHK Independent House	Kochi West	Kochi / Kerala	Independent House / 2 BHK	892	₹52.26 L	Semi-Furnished	2	Bachelors	Sale
26	Kerala Properties (Kerala.txt)	4 BHK Apartment	Kochi Sector 3	Kochi / Kerala	Apartment / 4 BHK	1993	₹24,700/month	Fully-Furnished	5	Family	Rent
27	Kerala Properties (Kerala.txt)	2 BHK Independent House	Kozhikode Heights	Kozhikode / Kerala	Independent House / 2 BHK	904	₹20,000/month	Fully-Furnished	2	Family	Rent
28	Kerala Properties (Kerala.txt)	2 BHK Independent House	Kozhikode East	Kozhikode / Kerala	Independent House / 2 BHK	823	₹13,400/month	Semi-Furnished	1	Family	Rent
