No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Ladakh Properties (Ladakh.txt)	3 BHK Apartment	Leh Sector 1	Leh / Ladakh	Apartment / 3 BHK	1141	₹85.16 L	Semi-Furnished	3	Family	Sale
2	Ladakh Properties (Ladakh.txt)	4 BHK Apartment	Kargil Extension	Kargil / Ladakh	Apartment / 4 BHK	1352	₹76.62 L	Semi-Furnished	4	Family	Sale
3	Ladakh Properties (Ladakh.txt)	3 BHK Apartment	Leh Sector 3	Leh / Ladakh	Apartment / 3 BHK	1340	₹85.90 L	Fully-Furnished	3	Any	Sale
4	Ladakh Properties (Ladakh.txt)	5 BHK Apartment	Kargil East	Kargil / Ladakh	Apartment / 5 BHK	2236	₹96.28 L	Unfurnished	5	Family	Sale
5	Ladakh Properties (Ladakh.txt)	2 BHK Apartment	Leh Extension	Leh / Ladakh	Apartment / 2 BHK	864	₹45.97 L	Semi-Furnished	2	Family	Sale
6	Ladakh Properties (Ladakh.txt)	2 BHK Builder Floor	Leh Sector 2	Leh / Ladakh	Builder Floor / 2 BHK	758	₹52.34 L	Fully-Furnished	3	Family	Sale
7	Ladakh Properties (Ladakh.txt)	1 BHK Villa	Kargil Residential Area	Kargil / Ladakh	Villa / 1 BHK	648	₹8,800/month	Semi-Furnished	1	Family	Rent
8	Ladakh Properties (Ladakh.txt)	1 BHK Apartment	Leh Sector 1	Leh / Ladakh	Apartment / 1 BHK	624	₹11,700/month	Unfurnished	1	Bachelors	Rent
9	Ladakh Properties (Ladakh.txt)	3 BHK Builder Floor	Kargil Sector 2	Kargil / Ladakh	Builder Floor / 3 BHK	1376	₹61.80 L	Fully-Furnished	3	Bachelors	Sale
10	Ladakh Properties (Ladakh.txt)	1 BHK Studio	Kargil Nagar	Kargil / Ladakh	Studio / 1 BHK	417	₹30.27 L	Unfurnished	2	Family	Sale
11	Ladakh Properties (Ladakh.txt)	2 BHK Independent House	Kargil West	Kargil / Ladakh	Independent House / 2 BHK	817	₹57.58 L	Fully-Furnished	1	Bachelors	Sale
12	Ladakh Properties (Ladakh.txt)	2 BHK Apartment	Leh Main Road	Leh / Ladakh	Apartment / 2 BHK	858	₹44.52 L	Semi-Furnished	2	Family	Sale
13	Ladakh Properties (Ladakh.txt)	3 BHK Apartment	Kargil South	Kargil / Ladakh	Apartment / 3 BHK	1154	₹65.35 L	Semi-Furnished	3	Any	Sale
14	Ladakh Properties (Ladakh.txt)	2 BHK Apartment	Kargil Heights	Kargil / Ladakh	Apartment / 2 BHK	888	₹48.57 L	Semi-Furnished	3	Bachelors	Sale
15	Ladakh Properties (Ladakh.txt)	3 BHK Apartment	Kargil Nagar	Kargil / Ladakh	Apartment / 3 BHK	1245	₹20,900/month	Semi-Furnished	4	Family	Rent
16	Ladakh Properties (Ladakh.txt)	2 BHK Apartment	Kargil Colony	Kargil / Ladakh	Apartment / 2 BHK	866	₹47.42 L	Unfurnished	1	Family	Sale
17	Ladakh Properties (Ladakh.txt)	4 BHK Builder Floor	Leh South	Leh / Ladakh	Builder Floor / 4 BHK	1926	₹85.43 L	Unfurnished	4	Any	Sale
18	Ladakh Properties (Ladakh.txt)	3 BHK Apartment	Leh North	Leh / Ladakh	Apartment / 3 BHK	1407	₹82.18 L	Semi-Furnished	3	Bachelors	Sale
19	Ladakh Properties (Ladakh.txt)	2 BHK Apartment	Kargil Heights	Kargil / Ladakh	Apartment / 2 BHK	890	₹62.30 L	Semi-Furnished	2	Family	Sale
20	Ladakh Properties (Ladakh.txt)	5 BHK Apartment	Kargil Heights	Kargil / Ladakh	Apartment / 5 BHK	3106	₹36,100/month	Unfurnished	6	Family	Rent
21	Ladakh Properties (Ladakh.txt)	1 BHK Apartment	Leh Heights	Leh / Ladakh	Apartment / 1 BHK	525	₹34.75 L	Fully-Furnished	1	Bachelors	Sale
22	Ladakh Properties (Ladakh.txt)	4 BHK Apartment	Kargil South	Kargil / Ladakh	Apartment / 4 BHK	1780	₹87.48 L	Semi-Furnished	3	Bachelors	Sale
23	Ladakh Properties (Ladakh.txt)	3 BHK Apartment	Leh Nagar	Leh / Ladakh	Apartment / 3 BHK	1306	₹77.98 L	Semi-Furnished	2	Any	Sale
24	Ladakh Properties (Ladakh.txt)	1 BHK Apartment	Kargil Colony	Kargil / Ladakh	Apartment / 1 BHK	511	₹38.10 L	Fully-Furnished	1	Bachelors	Sale
25	Ladakh Properties (Ladakh.txt)	1 BHK Apartment	Kargil West	Kargil / Ladakh	Apartment / 1 BHK	583	₹38.40 L	Semi-Furnished	1	Family	Sale
26	Ladakh Properties (Ladakh.txt)	2 BHK Apartment	Kargil Heights	Kargil / Ladakh	Apartment / 2 BHK	882	₹17,000/month	Semi-Furnished	2	Any	Rent
27	Ladakh Properties (Ladakh.txt)	1 BHK Apartment	Leh Town Centre	Leh / Ladakh	Apartment / 1 BHK	623	₹36.66 L	Unfurnished	1	Bachelors	Sale
28	Ladakh Properties (Ladakh.txt)	3 BHK Apartment	Leh Colony	Leh / Ladakh	Apartment / 3 BHK	1220	₹86.50 L	Fully-Furnished	2	Any	Sale
29	Ladakh Properties (Ladakh.txt)	2 BHK Builder Floor	Leh Town Centre	Leh / Ladakh	Builder Floor / 2 BHK	786	₹58.86 L	Fully-Furnished	2	Bachelors	Sale
30	Ladakh Properties (Ladakh.txt)	3 BHK Builder Floor	Leh Central	Leh / Ladakh	Builder Floor / 3 BHK	1758	₹20,500/month	Fully-Furnished	2	Family	Rent
31	Ladakh Properties (Ladakh.txt)	3 BHK Independent House	Leh Main Road	Leh / Ladakh	Independent House / 3 BHK	1519	₹84.59 L	Unfurnished	3	Family	Sale
