No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Builder Floor	Kavaratti Central	Kavaratti / Lakshadweep	Builder Floor / 3 BHK	1219	₹54.76 L	Unfurnished	4	Family	Sale
2	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Apartment	Kavaratti Residential Area	Kavaratti / Lakshadweep	Apartment / 1 BHK	431	₹7,400/month	Fully-Furnished	1	Family	Rent
3	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Builder Floor	Agatti Sector 1	Agatti / Lakshadweep	Builder Floor / 2 BHK	737	₹40.49 L	Unfurnished	2	Bachelors	Sale
4	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Independent House	Agatti South	Agatti / Lakshadweep	Independent House / 2 BHK	883	₹49.99 L	Semi-Furnished	1	Bachelors	Sale
5	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Builder Floor	Agatti West	Agatti / Lakshadweep	Builder Floor / 2 BHK	777	₹15,100/month	Unfurnished	2	Any	Rent
6	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Builder Floor	Agatti Nagar	Agatti / Lakshadweep	Builder Floor / 3 BHK	1253	₹78.76 L	Fully-Furnished	3	Any	Sale
7	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Apartment	Kavaratti Heights	Kavaratti / Lakshadweep	Apartment / 3 BHK	1121	₹55.07 L	Semi-Furnished	4	Bachelors	Sale
8	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Apartment	Kavaratti Sector 2	Kavaratti / Lakshadweep	Apartment / 2 BHK	821	₹56.25 L	Unfurnished	2	Bachelors	Sale
9	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Independent House	Agatti East	Agatti / Lakshadweep	Independent House / 2 BHK	1197	₹13,200/month	Unfurnished	1	Any	Rent
10	Lakshadweep Properties (Lakshadweep.txt)	5 BHK Apartment	Agatti Nagar	Agatti / Lakshadweep	Apartment / 5 BHK	2321	₹29,600/month	Fully-Furnished	5	Family	Rent
11	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Apartment	Agatti East	Agatti / Lakshadweep	Apartment / 3 BHK	1339	₹56.67 L	Semi-Furnished	3	Bachelors	Sale
12	Lakshadweep Properties (Lakshadweep.txt)	5 BHK Builder Floor	Kavaratti Central	Kavaratti / Lakshadweep	Builder Floor / 5 BHK	2143	₹1.23 Cr	Semi-Furnished	5	Family	Sale
13	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Apartment	Kavaratti Town Centre	Kavaratti / Lakshadweep	Apartment / 3 BHK	1027	₹73.19 L	Fully-Furnished	3	Family	Sale
14	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Apartment	Agatti Nagar	Agatti / Lakshadweep	Apartment / 2 BHK	824	₹44.89 L	Fully-Furnished	1	Family	Sale
15	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Independent House	Kavaratti Sector 3	Kavaratti / Lakshadweep	Independent House / 2 BHK	1150	₹14,100/month	Unfurnished	2	Bachelors	Rent
16	Lakshadweep Properties (Lakshadweep.txt)	4 BHK Villa	Agatti Sector 3	Agatti / Lakshadweep	Villa / 4 BHK	2736	₹24,200/month	Semi-Furnished	4	Any	Rent
17	Lakshadweep Properties (Lakshadweep.txt)	4 BHK Independent House	Agatti North	Agatti / Lakshadweep	Independent House / 4 BHK	1822	₹73.73 L	Fully-Furnished	3	Family	Sale
18	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Builder Floor	Kavaratti North	Kavaratti / Lakshadweep	Builder Floor / 2 BHK	971	₹40.89 L	Semi-Furnished	2	Any	Sale
19	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Apartment	Agatti Sector 3	Agatti / Lakshadweep	Apartment / 1 BHK	509	₹27.62 L	Fully-Furnished	1	Family	Sale
20	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Apartment	Agatti Extension	Agatti / Lakshadweep	Apartment / 1 BHK	580	₹10,300/month	Semi-Furnished	1	Family	Rent
21	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Independent House	Kavaratti Heights	Kavaratti / Lakshadweep	Independent House / 3 BHK	1423	₹20,600/month	Fully-Furnished	3	Bachelors	Rent
22	Lakshadweep Properties (Lakshadweep.txt)	4 BHK Builder Floor	Agatti Town Centre	Agatti / Lakshadweep	Builder Floor / 4 BHK	1918	₹26,400/month	Fully-Furnished	4	Family	Rent
23	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Builder Floor	Kavaratti Colony	Kavaratti / Lakshadweep	Builder Floor / 3 BHK	1462	₹15,300/month	Semi-Furnished	4	Bachelors	Rent
24	Lakshadweep Properties (Lakshadweep.txt)	4 BHK Builder Floor	Kavaratti Central	Kavaratti / Lakshadweep	Builder Floor / 4 BHK	1353	₹80.91 L	Semi-Furnished	5	Bachelors	Sale
25	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Villa	Agatti Central	Agatti / Lakshadweep	Villa / 1 BHK	664	₹31.66 L	Unfurnished	1	Any	Sale
26	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Apartment	Kavaratti Heights	Kavaratti / Lakshadweep	Apartment / 1 BHK	482	₹28.13 L	Unfurnished	2	Family	Sale
27	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Independent House	Agatti Town Centre	Agatti / Lakshadweep	Independent House / 3 BHK	1516	₹80.11 L	Semi-Furnished	4	Any	Sale
28	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Studio	Kavaratti Main Road	Kavaratti / Lakshadweep	Studio / 1 BHK	379	₹8,500/month	Semi-Furnished	1	Bachelors	Rent
29	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Apartment	Agatti Extension	Agatti / Lakshadweep	Apartment / 1 BHK	411	₹26.85 L	Semi-Furnished	1	Bachelors	Sale
30	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Independent House	Kavaratti Sector 3	Kavaratti / Lakshadweep	Independent House / 1 BHK	633	₹36.73 L	Unfurnished	1	Bachelors	Sale
31	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Independent House	Agatti Nagar	Agatti / Lakshadweep	Independent House / 2 BHK	953	₹41.71 L	Fully-Furnished	2	Bachelors	Sale
32	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Apartment	Agatti Main Road	Agatti / Lakshadweep	Apartment / 3 BHK	957	₹50.50 L	Fully-Furnished	3	Any	Sale
33	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Apartment	Kavaratti Town Centre	Kavaratti / Lakshadweep	Apartment / 2 BHK	482	₹9,800/month	Fully-Furnished	1	Bachelors	Rent
34	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Builder Floor	Agatti Heights	Agatti / Lakshadweep	Builder Floor / 2 BHK	873	₹49.79 L	Fully-Furnished	2	Any	Sale
35	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Apartment	Kavaratti Central	Kavaratti / Lakshadweep	Apartment / 3 BHK	1180	₹71.72 L	Semi-Furnished	4	Family	Sale
36	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Builder Floor	Kavaratti Central	Kavaratti / Lakshadweep	Builder Floor / 2 BHK	897	₹15,700/month	Unfurnished	1	Bachelors	Rent
37	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Apartment	Kavaratti South	Kavaratti / Lakshadweep	Apartment / 2 BHK	972	₹42.73 L	Unfurnished	3	Bachelors	Sale
38	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Studio	Agatti South	Agatti / Lakshadweep	Studio / 1 BHK	379	₹6,800/month	Fully-Furnished	1	Family	Rent
39	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Apartment	Kavaratti Sector 1	Kavaratti / Lakshadweep	Apartment / 2 BHK	822	₹13,100/month	Semi-Furnished	2	Any	Rent
40	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Independent House	Kavaratti Nagar	Kavaratti / Lakshadweep	Independent House / 2 BHK	818	₹54.55 L	Fully-Furnished	1	Bachelors	Sale
41	Lakshadweep Properties (Lakshadweep.txt)	4 BHK Independent House	Agatti Sector 3	Agatti / Lakshadweep	Independent House / 4 BHK	1962	₹1.04 Cr	Semi-Furnished	4	Any	Sale
42	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Apartment	Kavaratti Sector 1	Kavaratti / Lakshadweep	Apartment / 3 BHK	1247	₹19,200/month	Unfurnished	2	Family	Rent
43	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Apartment	Agatti North	Agatti / Lakshadweep	Apartment / 2 BHK	949	₹11,400/month	Unfurnished	2	Bachelors	Rent
44	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Independent House	Agatti Extension	Agatti / Lakshadweep	Independent House / 2 BHK	1077	₹42.55 L	Fully-Furnished	2	Any	Sale
45	Lakshadweep Properties (Lakshadweep.txt)	5 BHK Apartment	Agatti Town Centre	Agatti / Lakshadweep	Apartment / 5 BHK	2539	₹1.18 Cr	Semi-Furnished	5	Family	Sale
46	Lakshadweep Properties (Lakshadweep.txt)	4 BHK Villa	Kavaratti Heights	Kavaratti / Lakshadweep	Villa / 4 BHK	2505	₹83.80 L	Semi-Furnished	5	Family	Sale
47	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Independent House	Agatti Town Centre	Agatti / Lakshadweep	Independent House / 3 BHK	1631	₹19,200/month	Semi-Furnished	3	Any	Rent
48	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Independent House	Agatti Nagar	Agatti / Lakshadweep	Independent House / 3 BHK	1597	₹15,600/month	Unfurnished	3	Family	Rent
49	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Independent House	Agatti Colony	Agatti / Lakshadweep	Independent House / 3 BHK	1613	₹21,700/month	Semi-Furnished	3	Bachelors	Rent
50	Lakshadweep Properties (Lakshadweep.txt)	4 BHK Apartment	Agatti East	Agatti / Lakshadweep	Apartment / 4 BHK	2391	₹80.94 L	Semi-Furnished	4	Bachelors	Sale
51	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Villa	Kavaratti East	Kavaratti / Lakshadweep	Villa / 3 BHK	1923	₹75.84 L	Fully-Furnished	3	Bachelors	Sale
52	Lakshadweep Properties (Lakshadweep.txt)	4 BHK Apartment	Kavaratti Colony	Kavaratti / Lakshadweep	Apartment / 4 BHK	1446	₹72.46 L	Semi-Furnished	4	Bachelors	Sale
53	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Independent House	Kavaratti West	Kavaratti / Lakshadweep	Independent House / 1 BHK	693	₹32.29 L	Semi-Furnished	1	Family	Sale
54	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Apartment	Agatti Colony	Agatti / Lakshadweep	Apartment / 2 BHK	810	₹13,700/month	Semi-Furnished	2	Family	Rent
55	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Independent House	Agatti Colony	Agatti / Lakshadweep	Independent House / 3 BHK	1153	₹62.76 L	Fully-Furnished	4	Bachelors	Sale
56	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Apartment	Kavaratti Main Road	Kavaratti / Lakshadweep	Apartment / 1 BHK	542	₹10,200/month	Fully-Furnished	2	Family	Rent
57	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Apartment	Agatti Main Road	Agatti / Lakshadweep	Apartment / 3 BHK	972	₹55.05 L	Fully-Furnished	4	Any	Sale
58	Lakshadweep Properties (Lakshadweep.txt)	4 BHK Apartment	Agatti Sector 1	Agatti / Lakshadweep	Apartment / 4 BHK	1838	₹84.37 L	Semi-Furnished	5	Family	Sale
59	Lakshadweep Properties (Lakshadweep.txt)	5 BHK Apartment	Agatti South	Agatti / Lakshadweep	Apartment / 5 BHK	2433	₹95.97 L	Semi-Furnished	5	Family	Sale
60	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Apartment	Kavaratti Extension	Kavaratti / Lakshadweep	Apartment / 1 BHK	583	₹31.40 L	Fully-Furnished	1	Bachelors	Sale
61	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Villa	Agatti North	Agatti / Lakshadweep	Villa / 3 BHK	1938	₹83.94 L	Unfurnished	2	Any	Sale
62	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Apartment	Agatti Residential Area	Agatti / Lakshadweep	Apartment / 2 BHK	758	₹39.32 L	Unfurnished	1	Family	Sale
63	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Apartment	Kavaratti Sector 2	Kavaratti / Lakshadweep	Apartment / 3 BHK	1229	₹73.27 L	Semi-Furnished	3	Family	Sale
64	Lakshadweep Properties (Lakshadweep.txt)	4 BHK Independent House	Agatti Central	Agatti / Lakshadweep	Independent House / 4 BHK	1820	₹21,100/month	Fully-Furnished	4	Family	Rent
65	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Independent House	Agatti West	Agatti / Lakshadweep	Independent House / 3 BHK	1509	₹63.10 L	Semi-Furnished	3	Family	Sale
66	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Apartment	Agatti Sector 1	Agatti / Lakshadweep	Apartment / 1 BHK	509	₹10,100/month	Semi-Furnished	1	Family	Rent
67	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Apartment	Kavaratti North	Kavaratti / Lakshadweep	Apartment / 3 BHK	1534	₹70.15 L	Unfurnished	4	Bachelors	Sale
68	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Apartment	Kavaratti South	Kavaratti / Lakshadweep	Apartment / 1 BHK	602	₹7,900/month	Fully-Furnished	1	Family	Rent
69	Lakshadweep Properties (Lakshadweep.txt)	4 BHK Apartment	Kavaratti Sector 2	Kavaratti / Lakshadweep	Apartment / 4 BHK	1842	₹71.83 L	Semi-Furnished	5	Bachelors	Sale
70	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Independent House	Kavaratti South	Kavaratti / Lakshadweep	Independent House / 3 BHK	1255	₹74.29 L	Unfurnished	3	Bachelors	Sale
71	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Apartment	Kavaratti Colony	Kavaratti / Lakshadweep	Apartment / 2 BHK	1012	₹12,200/month	Fully-Furnished	2	Family	Rent
72	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Independent House	Agatti North	Agatti / Lakshadweep	Independent House / 3 BHK	1406	₹62.02 L	Unfurnished	4	Family	Sale
73	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Builder Floor	Kavaratti Colony	Kavaratti / Lakshadweep	Builder Floor / 3 BHK	1213	₹18,100/month	Semi-Furnished	4	Any	Rent
74	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Apartment	Agatti Main Road	Agatti / Lakshadweep	Apartment / 2 BHK	787	₹48.88 L	Semi-Furnished	2	Any	Sale
75	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Apartment	Kavaratti Sector 3	Kavaratti / Lakshadweep	Apartment / 3 BHK	1251	₹65.16 L	Unfurnished	3	Bachelors	Sale
76	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Builder Floor	Kavaratti Heights	Kavaratti / Lakshadweep	Builder Floor / 1 BHK	458	₹31.40 L	Unfurnished	2	Family	Sale
77	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Apartment	Agatti Sector 2	Agatti / Lakshadweep	Apartment / 1 BHK	493	₹27.66 L	Fully-Furnished	1	Any	Sale
78	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Villa	Agatti Town Centre	Agatti / Lakshadweep	Villa / 3 BHK	1654	₹84.95 L	Semi-Furnished	3	Bachelors	Sale
79	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Apartment	Agatti Extension	Agatti / Lakshadweep	Apartment / 2 BHK	795	₹13,400/month	Fully-Furnished	1	Family	Rent
80	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Apartment	Agatti East	Agatti / Lakshadweep	Apartment / 2 BHK	838	₹11,000/month	Semi-Furnished	2	Family	Rent
81	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Apartment	Agatti North	Agatti / Lakshadweep	Apartment / 3 BHK	1309	₹71.49 L	Unfurnished	3	Family	Sale
82	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Apartment	Kavaratti Residential Area	Kavaratti / Lakshadweep	Apartment / 3 BHK	1232	₹54.20 L	Unfurnished	4	Any	Sale
83	Lakshadweep Properties (Lakshadweep.txt)	5 BHK Apartment	Kavaratti Nagar	Kavaratti / Lakshadweep	Apartment / 5 BHK	2290	₹1.11 Cr	Fully-Furnished	5	Family	Sale
84	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Apartment	Agatti Residential Area	Agatti / Lakshadweep	Apartment / 3 BHK	1195	₹59.14 L	Semi-Furnished	3	Any	Sale
85	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Apartment	Kavaratti West	Kavaratti / Lakshadweep	Apartment / 2 BHK	846	₹39.97 L	Semi-Furnished	3	Family	Sale
86	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Apartment	Kavaratti North	Kavaratti / Lakshadweep	Apartment / 2 BHK	704	₹46.73 L	Semi-Furnished	2	Bachelors	Sale
87	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Builder Floor	Kavaratti North	Kavaratti / Lakshadweep	Builder Floor / 2 BHK	707	₹47.53 L	Fully-Furnished	1	Bachelors	Sale
88	Lakshadweep Properties (Lakshadweep.txt)	4 BHK Apartment	Agatti East	Agatti / Lakshadweep	Apartment / 4 BHK	1644	₹77.82 L	Semi-Furnished	5	Bachelors	Sale
89	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Villa	Agatti Heights	Agatti / Lakshadweep	Villa / 3 BHK	1807	₹77.09 L	Fully-Furnished	2	Bachelors	Sale
90	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Villa	Kavaratti Sector 2	Kavaratti / Lakshadweep	Villa / 3 BHK	1868	₹69.03 L	Semi-Furnished	4	Any	Sale
91	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Builder Floor	Kavaratti Extension	Kavaratti / Lakshadweep	Builder Floor / 2 BHK	971	₹13,300/month	Fully-Furnished	2	Family	Rent
92	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Apartment	Agatti Extension	Agatti / Lakshadweep	Apartment / 1 BHK	575	₹26.22 L	Fully-Furnished	2	Any	Sale
93	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Studio	Kavaratti Nagar	Kavaratti / Lakshadweep	Studio / 1 BHK	330	₹32.33 L	Unfurnished	1	Family	Sale
94	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Independent House	Kavaratti Sector 3	Kavaratti / Lakshadweep	Independent House / 2 BHK	1013	₹14,300/month	Semi-Furnished	2	Family	Rent
95	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Independent House	Kavaratti North	Kavaratti / Lakshadweep	Independent House / 2 BHK	918	₹49.40 L	Semi-Furnished	2	Family	Sale
96	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Apartment	Agatti Nagar	Agatti / Lakshadweep	Apartment / 2 BHK	712	₹12,200/month	Fully-Furnished	3	Family	Rent
97	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Builder Floor	Kavaratti Extension	Kavaratti / Lakshadweep	Builder Floor / 1 BHK	489	₹24.81 L	Unfurnished	1	Family	Sale
98	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Studio	Kavaratti Sector 2	Kavaratti / Lakshadweep	Studio / 1 BHK	404	₹6,600/month	Fully-Furnished	1	Any	Rent
99	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Apartment	Agatti West	Agatti / Lakshadweep	Apartment / 2 BHK	822	₹13,700/month	Semi-Furnished	1	Bachelors	Rent
100	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Builder Floor	Kavaratti Sector 3	Kavaratti / Lakshadweep	Builder Floor / 3 BHK	1077	₹75.83 L	Fully-Furnished	3	Family	Sale
101	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Builder Floor	Kavaratti Nagar	Kavaratti / Lakshadweep	Builder Floor / 2 BHK	884	₹43.53 L	Unfurnished	2	Bachelors	Sale
102	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Independent House	Agatti Main Road	Agatti / Lakshadweep	Independent House / 1 BHK	687	₹8,500/month	Semi-Furnished	1	Family	Rent
103	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Apartment	Agatti Nagar	Agatti / Lakshadweep	Apartment / 3 BHK	1177	₹59.52 L	Unfurnished	3	Family	Sale
104	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Independent House	Kavaratti Extension	Kavaratti / Lakshadweep	Independent House / 2 BHK	942	₹11,100/month	Semi-Furnished	1	Family	Rent
105	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Builder Floor	Agatti South	Agatti / Lakshadweep	Builder Floor / 1 BHK	536	₹26.10 L	Fully-Furnished	1	Family	Sale
106	Lakshadweep Properties (Lakshadweep.txt)	4 BHK Builder Floor	Agatti Main Road	Agatti / Lakshadweep	Builder Floor / 4 BHK	1981	₹88.59 L	Fully-Furnished	4	Bachelors	Sale
107	Lakshadweep Properties (Lakshadweep.txt)	4 BHK Independent House	Agatti Central	Agatti / Lakshadweep	Independent House / 4 BHK	1623	₹26,400/month	Fully-Furnished	4	Bachelors	Rent
108	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Apartment	Kavaratti Sector 2	Kavaratti / Lakshadweep	Apartment / 2 BHK	878	₹50.76 L	Semi-Furnished	2	Bachelors	Sale
109	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Builder Floor	Kavaratti North	Kavaratti / Lakshadweep	Builder Floor / 2 BHK	977	₹15,600/month	Semi-Furnished	3	Any	Rent
110	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Villa	Agatti Residential Area	Agatti / Lakshadweep	Villa / 2 BHK	1325	₹14,300/month	Semi-Furnished	2	Family	Rent
111	Lakshadweep Properties (Lakshadweep.txt)	4 BHK Apartment	Kavaratti West	Kavaratti / Lakshadweep	Apartment / 4 BHK	1899	₹22,900/month	Semi-Furnished	4	Bachelors	Rent
112	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Villa	Kavaratti Nagar	Kavaratti / Lakshadweep	Villa / 3 BHK	1502	₹64.01 L	Semi-Furnished	2	Family	Sale
113	Lakshadweep Properties (Lakshadweep.txt)	5 BHK Independent House	Agatti Sector 3	Agatti / Lakshadweep	Independent House / 5 BHK	2724	₹1.33 Cr	Semi-Furnished	5	Any	Sale
114	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Villa	Agatti Colony	Agatti / Lakshadweep	Villa / 3 BHK	1656	₹20,400/month	Unfurnished	2	Any	Rent
115	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Apartment	Kavaratti Sector 1	Kavaratti / Lakshadweep	Apartment / 3 BHK	1220	₹75.91 L	Fully-Furnished	4	Any	Sale
116	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Apartment	Agatti West	Agatti / Lakshadweep	Apartment / 1 BHK	522	₹8,800/month	Unfurnished	2	Family	Rent
117	Lakshadweep Properties (Lakshadweep.txt)	3 BHK Builder Floor	Agatti Sector 2	Agatti / Lakshadweep	Builder Floor / 3 BHK	1467	₹17,600/month	Unfurnished	2	Family	Rent
118	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Independent House	Kavaratti South	Kavaratti / Lakshadweep	Independent House / 2 BHK	1069	₹51.40 L	Fully-Furnished	1	Family	Sale
119	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Builder Floor	Kavaratti Residential Area	Kavaratti / Lakshadweep	Builder Floor / 2 BHK	837	₹13,200/month	Semi-Furnished	1	Family	Rent
120	Lakshadweep Properties (Lakshadweep.txt)	2 BHK Apartment	Kavaratti Central	Kavaratti / Lakshadweep	Apartment / 2 BHK	897	₹45.36 L	Fully-Furnished	2	Bachelors	Sale
121	Lakshadweep Properties (Lakshadweep.txt)	1 BHK Builder Floor	Kavaratti North	Kavaratti / Lakshadweep	Builder Floor / 1 BHK	581	₹25.75 L	Semi-Furnished	1	Family	Sale
