No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Madhya Pradesh Properties (Madhya_Pradesh.txt)	1 BHK Villa	Gwalior Heights	Gwalior / Madhya Pradesh	Villa / 1 BHK	819	₹37.08 L	Semi-Furnished	1	Bachelors	Sale
2	Madhya Pradesh Properties (Madhya_Pradesh.txt)	3 BHK Apartment	Gwalior West	Gwalior / Madhya Pradesh	Apartment / 3 BHK	1096	₹55.98 L	Semi-Furnished	3	Bachelors	Sale
3	Madhya Pradesh Properties (Madhya_Pradesh.txt)	3 BHK Apartment	Jabalpur Sector 2	Jabalpur / Madhya Pradesh	Apartment / 3 BHK	1193	₹20,900/month	Semi-Furnished	3	Any	Rent
4	Madhya Pradesh Properties (Madhya_Pradesh.txt)	5 BHK Apartment	Indore West	Indore / Madhya Pradesh	Apartment / 5 BHK	1949	₹1.21 Cr	Semi-Furnished	6	Family	Sale
5	Madhya Pradesh Properties (Madhya_Pradesh.txt)	2 BHK Apartment	Jabalpur Heights	Jabalpur / Madhya Pradesh	Apartment / 2 BHK	769	₹51.68 L	Unfurnished	1	Any	Sale
6	Madhya Pradesh Properties (Madhya_Pradesh.txt)	4 BHK Apartment	Gwalior Sector 3	Gwalior / Madhya Pradesh	Apartment / 4 BHK	1778	₹22,700/month	Unfurnished	4	Family	Rent
7	Madhya Pradesh Properties (Madhya_Pradesh.txt)	2 BHK Apartment	Indore West	Indore / Madhya Pradesh	Apartment / 2 BHK	954	₹43.80 L	Unfurnished	3	Bachelors	Sale
8	Madhya Pradesh Properties (Madhya_Pradesh.txt)	3 BHK Villa	Gwalior Nagar	Gwalior / Madhya Pradesh	Villa / 3 BHK	1462	₹81.13 L	Fully-Furnished	2	Bachelors	Sale
9	Madhya Pradesh Properties (Madhya_Pradesh.txt)	2 BHK Builder Floor	Jabalpur Sector 1	Jabalpur / Madhya Pradesh	Builder Floor / 2 BHK	831	₹12,500/month	Unfurnished	1	Family	Rent
10	Madhya Pradesh Properties (Madhya_Pradesh.txt)	1 BHK Villa	Jabalpur Colony	Jabalpur / Madhya Pradesh	Villa / 1 BHK	762	₹39.67 L	Semi-Furnished	1	Bachelors	Sale
11	Madhya Pradesh Properties (Madhya_Pradesh.txt)	3 BHK Villa	Gwalior Nagar	Gwalior / Madhya Pradesh	Villa / 3 BHK	1852	₹80.37 L	Unfurnished	3	Family	Sale
12	Madhya Pradesh Properties (Madhya_Pradesh.txt)	3 BHK Apartment	Jabalpur Residential Area	Jabalpur / Madhya Pradesh	Apartment / 3 BHK	918	₹66.50 L	Semi-Furnished	2	Any	Sale
13	Madhya Pradesh Properties (Madhya_Pradesh.txt)	2 BHK Apartment	Gwalior Sector 2	Gwalior / Madhya Pradesh	Apartment / 2 BHK	840	₹40.19 L	Semi-Furnished	2	Family	Sale
