No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Maharashtra Properties (Maharashtra.txt)	4 BHK Independent House	Pune South	Pune / Maharashtra	Independent House / 4 BHK	2120	₹1.62 Cr	Semi-Furnished	3	Family	Sale
2	Maharashtra Properties (Maharashtra.txt)	2 BHK Apartment	Mumbai North	Mumbai / Maharashtra	Apartment / 2 BHK	990	₹23,100/month	Fully-Furnished	2	Bachelors	Rent
3	Maharashtra Properties (Maharashtra.txt)	3 BHK Builder Floor	Thane Extension	Thane / Maharashtra	Builder Floor / 3 BHK	1306	₹31,300/month	Semi-Furnished	3	Family	Rent
4	Maharashtra Properties (Maharashtra.txt)	1 BHK Apartment	Pune Sector 1	Pune / Maharashtra	Apartment / 1 BHK	454	₹42.93 L	Semi-Furnished	1	Family	Sale
5	Maharashtra Properties (Maharashtra.txt)	2 BHK Apartment	Nagpur West	Nagpur / Maharashtra	Apartment / 2 BHK	967	₹27,500/month	Fully-Furnished	1	Any	Rent
6	Maharashtra Properties (Maharashtra.txt)	2 BHK Apartment	Nashik South	Nashik / Maharashtra	Apartment / 2 BHK	992	₹24,900/month	Semi-Furnished	3	Family	Rent
7	Maharashtra Properties (Maharashtra.txt)	1 BHK Studio	Nashik East	Nashik / Maharashtra	Studio / 1 BHK	300	₹51.26 L	Semi-Furnished	2	Family	Sale
8	Maharashtra Properties (Maharashtra.txt)	2 BHK Independent House	Mumbai Sector 3	Mumbai / Maharashtra	Independent House / 2 BHK	942	₹84.37 L	Semi-Furnished	3	Any	Sale
9	Maharashtra Properties (Maharashtra.txt)	1 BHK Studio	Nagpur Colony	Nagpur / Maharashtra	Studio / 1 BHK	439	₹55.11 L	Semi-Furnished	1	Any	Sale
10	Maharashtra Properties (Maharashtra.txt)	4 BHK Apartment	Nashik Sector 3	Nashik / Maharashtra	Apartment / 4 BHK	1810	₹42,800/month	Semi-Furnished	5	Bachelors	Rent
11	Maharashtra Properties (Maharashtra.txt)	2 BHK Apartment	Nashik Colony	Nashik / Maharashtra	Apartment / 2 BHK	885	₹97.93 L	Semi-Furnished	3	Any	Sale
12	Maharashtra Properties (Maharashtra.txt)	2 BHK Apartment	Mumbai Sector 2	Mumbai / Maharashtra	Apartment / 2 BHK	712	₹76.66 L	Unfurnished	2	Family	Sale
13	Maharashtra Properties (Maharashtra.txt)	1 BHK Builder Floor	Nashik Heights	Nashik / Maharashtra	Builder Floor / 1 BHK	637	₹47.21 L	Semi-Furnished	1	Bachelors	Sale
14	Maharashtra Properties (Maharashtra.txt)	1 BHK Independent House	Nagpur Sector 3	Nagpur / Maharashtra	Independent House / 1 BHK	662	₹63.35 L	Semi-Furnished	1	Family	Sale
15	Maharashtra Properties (Maharashtra.txt)	4 BHK Apartment	Pune Sector 3	Pune / Maharashtra	Apartment / 4 BHK	1512	₹1.42 Cr	Fully-Furnished	4	Bachelors	Sale
16	Maharashtra Properties (Maharashtra.txt)	2 BHK Apartment	Nashik Colony	Nashik / Maharashtra	Apartment / 2 BHK	970	₹26,800/month	Unfurnished	2	Family	Rent
17	Maharashtra Properties (Maharashtra.txt)	4 BHK Builder Floor	Nagpur Central	Nagpur / Maharashtra	Builder Floor / 4 BHK	1444	₹1.39 Cr	Fully-Furnished	4	Family	Sale
18	Maharashtra Properties (Maharashtra.txt)	2 BHK Apartment	Nashik North	Nashik / Maharashtra	Apartment / 2 BHK	845	₹82.38 L	Fully-Furnished	2	Any	Sale
19	Maharashtra Properties (Maharashtra.txt)	3 BHK Apartment	Thane Main Road	Thane / Maharashtra	Apartment / 3 BHK	1269	₹96.18 L	Fully-Furnished	3	Family	Sale
20	Maharashtra Properties (Maharashtra.txt)	2 BHK Apartment	Mumbai Nagar	Mumbai / Maharashtra	Apartment / 2 BHK	735	₹22,800/month	Unfurnished	2	Any	Rent
21	Maharashtra Properties (Maharashtra.txt)	5 BHK Apartment	Thane Residential Area	Thane / Maharashtra	Apartment / 5 BHK	1699	₹52,100/month	Unfurnished	5	Bachelors	Rent
22	Maharashtra Properties (Maharashtra.txt)	3 BHK Apartment	Pune Sector 3	Pune / Maharashtra	Apartment / 3 BHK	1301	₹97.81 L	Semi-Furnished	3	Family	Sale
23	Maharashtra Properties (Maharashtra.txt)	1 BHK Builder Floor	Thane Colony	Thane / Maharashtra	Builder Floor / 1 BHK	565	₹62.50 L	Fully-Furnished	1	Any	Sale
24	Maharashtra Properties (Maharashtra.txt)	3 BHK Apartment	Nashik East	Nashik / Maharashtra	Apartment / 3 BHK	1456	₹1.30 Cr	Fully-Furnished	3	Family	Sale
25	Maharashtra Properties (Maharashtra.txt)	4 BHK Independent House	Nagpur South	Nagpur / Maharashtra	Independent House / 4 BHK	2279	₹36,800/month	Semi-Furnished	4	Family	Rent
26	Maharashtra Properties (Maharashtra.txt)	2 BHK Apartment	Nashik Sector 2	Nashik / Maharashtra	Apartment / 2 BHK	847	₹21,900/month	Semi-Furnished	1	Any	Rent
27	Maharashtra Properties (Maharashtra.txt)	3 BHK Apartment	Mumbai Town Centre	Mumbai / Maharashtra	Apartment / 3 BHK	1266	₹30,500/month	Fully-Furnished	2	Any	Rent
28	Maharashtra Properties (Maharashtra.txt)	1 BHK Independent House	Nashik East	Nashik / Maharashtra	Independent House / 1 BHK	558	₹59.22 L	Unfurnished	1	Family	Sale
29	Maharashtra Properties (Maharashtra.txt)	3 BHK Apartment	Mumbai North	Mumbai / Maharashtra	Apartment / 3 BHK	1164	₹35,600/month	Fully-Furnished	3	Bachelors	Rent
30	Maharashtra Properties (Maharashtra.txt)	1 BHK Studio	Nashik Residential Area	Nashik / Maharashtra	Studio / 1 BHK	376	₹50.25 L	Semi-Furnished	1	Any	Sale
31	Maharashtra Properties (Maharashtra.txt)	2 BHK Builder Floor	Thane Central	Thane / Maharashtra	Builder Floor / 2 BHK	806	₹20,700/month	Fully-Furnished	1	Any	Rent
32	Maharashtra Properties (Maharashtra.txt)	2 BHK Apartment	Nagpur North	Nagpur / Maharashtra	Apartment / 2 BHK	801	₹90.51 L	Unfurnished	2	Bachelors	Sale
33	Maharashtra Properties (Maharashtra.txt)	2 BHK Villa	Nashik Heights	Nashik / Maharashtra	Villa / 2 BHK	1170	₹83 L	Unfurnished	2	Bachelors	Sale
34	Maharashtra Properties (Maharashtra.txt)	5 BHK Apartment	Pune Nagar	Pune / Maharashtra	Apartment / 5 BHK	2767	₹48,900/month	Unfurnished	4	Family	Rent
35	Maharashtra Properties (Maharashtra.txt)	4 BHK Apartment	Thane Sector 2	Thane / Maharashtra	Apartment / 4 BHK	1825	₹1.36 Cr	Fully-Furnished	4	Family	Sale
36	Maharashtra Properties (Maharashtra.txt)	2 BHK Independent House	Mumbai East	Mumbai / Maharashtra	Independent House / 2 BHK	987	₹80.11 L	Semi-Furnished	3	Family	Sale
37	Maharashtra Properties (Maharashtra.txt)	3 BHK Builder Floor	Nashik Main Road	Nashik / Maharashtra	Builder Floor / 3 BHK	1650	₹1.15 Cr	Semi-Furnished	2	Family	Sale
38	Maharashtra Properties (Maharashtra.txt)	1 BHK Independent House	Thane Heights	Thane / Maharashtra	Independent House / 1 BHK	529	₹49.76 L	Unfurnished	1	Family	Sale
39	Maharashtra Properties (Maharashtra.txt)	2 BHK Apartment	Thane Heights	Thane / Maharashtra	Apartment / 2 BHK	772	₹96.95 L	Unfurnished	2	Any	Sale
40	Maharashtra Properties (Maharashtra.txt)	2 BHK Independent House	Thane Central	Thane / Maharashtra	Independent House / 2 BHK	980	₹25,000/month	Fully-Furnished	2	Family	Rent
