No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Manipur Properties (Manipur.txt)	3 BHK Apartment	Bishnupur Main Road	Bishnupur / Manipur	Apartment / 3 BHK	1290	₹57.36 L	Semi-Furnished	3	Any	Sale
2	Manipur Properties (Manipur.txt)	2 BHK Builder Floor	Imphal Extension	Imphal / Manipur	Builder Floor / 2 BHK	867	₹8,300/month	Semi-Furnished	3	Bachelors	Rent
3	Manipur Properties (Manipur.txt)	2 BHK Apartment	Bishnupur Main Road	Bishnupur / Manipur	Apartment / 2 BHK	1043	₹12,400/month	Fully-Furnished	2	Family	Rent
4	Manipur Properties (Manipur.txt)	2 BHK Apartment	Thoubal Sector 1	Thoubal / Manipur	Apartment / 2 BHK	759	₹40.06 L	Fully-Furnished	2	Family	Sale
5	Manipur Properties (Manipur.txt)	3 BHK Apartment	Imphal Extension	Imphal / Manipur	Apartment / 3 BHK	1185	₹12,700/month	Semi-Furnished	4	Bachelors	Rent
6	Manipur Properties (Manipur.txt)	3 BHK Apartment	Thoubal Residential Area	Thoubal / Manipur	Apartment / 3 BHK	1362	₹54.88 L	Fully-Furnished	3	Any	Sale
7	Manipur Properties (Manipur.txt)	3 BHK Apartment	Imphal Sector 2	Imphal / Manipur	Apartment / 3 BHK	1156	₹13,700/month	Unfurnished	2	Family	Rent
8	Manipur Properties (Manipur.txt)	2 BHK Apartment	Thoubal Extension	Thoubal / Manipur	Apartment / 2 BHK	814	₹9,600/month	Semi-Furnished	1	Family	Rent
9	Manipur Properties (Manipur.txt)	3 BHK Independent House	Bishnupur East	Bishnupur / Manipur	Independent House / 3 BHK	1782	₹63.04 L	Fully-Furnished	3	Family	Sale
10	Manipur Properties (Manipur.txt)	2 BHK Independent House	Thoubal Sector 1	Thoubal / Manipur	Independent House / 2 BHK	759	₹11,100/month	Fully-Furnished	1	Bachelors	Rent
11	Manipur Properties (Manipur.txt)	3 BHK Apartment	Thoubal Residential Area	Thoubal / Manipur	Apartment / 3 BHK	1630	₹14,900/month	Fully-Furnished	3	Family	Rent
12	Manipur Properties (Manipur.txt)	4 BHK Apartment	Thoubal Residential Area	Thoubal / Manipur	Apartment / 4 BHK	1954	₹56.22 L	Unfurnished	4	Bachelors	Sale
13	Manipur Properties (Manipur.txt)	3 BHK Apartment	Imphal Nagar	Imphal / Manipur	Apartment / 3 BHK	1318	₹42.36 L	Unfurnished	3	Any	Sale
14	Manipur Properties (Manipur.txt)	1 BHK Independent House	Imphal Sector 2	Imphal / Manipur	Independent House / 1 BHK	523	₹6,900/month	Semi-Furnished	1	Family	Rent
15	Manipur Properties (Manipur.txt)	3 BHK Apartment	Thoubal Main Road	Thoubal / Manipur	Apartment / 3 BHK	1319	₹16,100/month	Unfurnished	2	Any	Rent
16	Manipur Properties (Manipur.txt)	3 BHK Villa	Imphal South	Imphal / Manipur	Villa / 3 BHK	1316	₹12,200/month	Fully-Furnished	4	Any	Rent
17	Manipur Properties (Manipur.txt)	4 BHK Apartment	Bishnupur Central	Bishnupur / Manipur	Apartment / 4 BHK	1999	₹18,600/month	Unfurnished	4	Any	Rent
18	Manipur Properties (Manipur.txt)	2 BHK Independent House	Imphal Sector 2	Imphal / Manipur	Independent House / 2 BHK	989	₹12,200/month	Unfurnished	1	Bachelors	Rent
19	Manipur Properties (Manipur.txt)	4 BHK Independent House	Bishnupur Sector 1	Bishnupur / Manipur	Independent House / 4 BHK	2486	₹80.01 L	Semi-Furnished	3	Bachelors	Sale
20	Manipur Properties (Manipur.txt)	3 BHK Builder Floor	Thoubal Colony	Thoubal / Manipur	Builder Floor / 3 BHK	1050	₹46.33 L	Unfurnished	2	Any	Sale
21	Manipur Properties (Manipur.txt)	1 BHK Independent House	Bishnupur Extension	Bishnupur / Manipur	Independent House / 1 BHK	544	₹5,800/month	Semi-Furnished	1	Any	Rent
22	Manipur Properties (Manipur.txt)	3 BHK Apartment	Bishnupur West	Bishnupur / Manipur	Apartment / 3 BHK	1128	₹50.56 L	Fully-Furnished	4	Family	Sale
23	Manipur Properties (Manipur.txt)	3 BHK Villa	Bishnupur West	Bishnupur / Manipur	Villa / 3 BHK	1824	₹54.47 L	Fully-Furnished	3	Any	Sale
24	Manipur Properties (Manipur.txt)	3 BHK Apartment	Imphal East	Imphal / Manipur	Apartment / 3 BHK	1156	₹54.14 L	Semi-Furnished	2	Family	Sale
25	Manipur Properties (Manipur.txt)	3 BHK Villa	Imphal Town Centre	Imphal / Manipur	Villa / 3 BHK	2019	₹59.69 L	Semi-Furnished	2	Family	Sale
26	Manipur Properties (Manipur.txt)	2 BHK Builder Floor	Bishnupur Colony	Bishnupur / Manipur	Builder Floor / 2 BHK	706	₹11,200/month	Semi-Furnished	2	Family	Rent
27	Manipur Properties (Manipur.txt)	2 BHK Apartment	Imphal South	Imphal / Manipur	Apartment / 2 BHK	1008	₹11,200/month	Fully-Furnished	2	Family	Rent
28	Manipur Properties (Manipur.txt)	3 BHK Independent House	Imphal Central	Imphal / Manipur	Independent House / 3 BHK	1477	₹48.21 L	Unfurnished	3	Any	Sale
29	Manipur Properties (Manipur.txt)	5 BHK Apartment	Imphal East	Imphal / Manipur	Apartment / 5 BHK	2394	₹22,100/month	Fully-Furnished	5	Family	Rent
30	Manipur Properties (Manipur.txt)	4 BHK Apartment	Bishnupur Sector 1	Bishnupur / Manipur	Apartment / 4 BHK	1851	₹79.89 L	Fully-Furnished	4	Bachelors	Sale
31	Manipur Properties (Manipur.txt)	1 BHK Studio	Imphal Extension	Imphal / Manipur	Studio / 1 BHK	331	₹21.59 L	Semi-Furnished	1	Family	Sale
32	Manipur Properties (Manipur.txt)	1 BHK Builder Floor	Imphal Heights	Imphal / Manipur	Builder Floor / 1 BHK	516	₹24.71 L	Fully-Furnished	1	Family	Sale
33	Manipur Properties (Manipur.txt)	4 BHK Builder Floor	Thoubal South	Thoubal / Manipur	Builder Floor / 4 BHK	1460	₹55.56 L	Semi-Furnished	5	Family	Sale
34	Manipur Properties (Manipur.txt)	3 BHK Builder Floor	Bishnupur Sector 3	Bishnupur / Manipur	Builder Floor / 3 BHK	1078	₹54.60 L	Semi-Furnished	3	Bachelors	Sale
35	Manipur Properties (Manipur.txt)	4 BHK Independent House	Thoubal South	Thoubal / Manipur	Independent House / 4 BHK	2292	₹22,800/month	Semi-Furnished	5	Family	Rent
36	Manipur Properties (Manipur.txt)	2 BHK Independent House	Bishnupur Sector 3	Bishnupur / Manipur	Independent House / 2 BHK	899	₹40.97 L	Semi-Furnished	1	Bachelors	Sale
37	Manipur Properties (Manipur.txt)	4 BHK Independent House	Thoubal Central	Thoubal / Manipur	Independent House / 4 BHK	2007	₹68.21 L	Unfurnished	4	Any	Sale
38	Manipur Properties (Manipur.txt)	3 BHK Apartment	Bishnupur Sector 1	Bishnupur / Manipur	Apartment / 3 BHK	1457	₹45.67 L	Fully-Furnished	4	Family	Sale
39	Manipur Properties (Manipur.txt)	1 BHK Studio	Bishnupur Extension	Bishnupur / Manipur	Studio / 1 BHK	300	₹7,100/month	Semi-Furnished	1	Family	Rent
40	Manipur Properties (Manipur.txt)	1 BHK Apartment	Thoubal Residential Area	Thoubal / Manipur	Apartment / 1 BHK	489	₹5,300/month	Unfurnished	1	Bachelors	Rent
