No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Meghalaya Properties (Meghalaya.txt)	1 BHK Studio	Tura Colony	Tura / Meghalaya	Studio / 1 BHK	412	₹21.33 L	Fully-Furnished	2	Family	Sale
2	Meghalaya Properties (Meghalaya.txt)	1 BHK Studio	Tura East	Tura / Meghalaya	Studio / 1 BHK	401	₹6,800/month	Unfurnished	1	Any	Rent
3	Meghalaya Properties (Meghalaya.txt)	4 BHK Apartment	Tura Sector 2	Tura / Meghalaya	Apartment / 4 BHK	2103	₹20,100/month	Unfurnished	5	Family	Rent
4	Meghalaya Properties (Meghalaya.txt)	2 BHK Apartment	Tura Colony	Tura / Meghalaya	Apartment / 2 BHK	922	₹35.39 L	Fully-Furnished	2	Family	Sale
5	Meghalaya Properties (Meghalaya.txt)	5 BHK Independent House	Nongpoh Main Road	Nongpoh / Meghalaya	Independent House / 5 BHK	2962	₹25,300/month	Fully-Furnished	5	Any	Rent
6	Meghalaya Properties (Meghalaya.txt)	3 BHK Builder Floor	Tura Sector 2	Tura / Meghalaya	Builder Floor / 3 BHK	1269	₹17,000/month	Unfurnished	4	Any	Rent
7	Meghalaya Properties (Meghalaya.txt)	2 BHK Independent House	Nongpoh Colony	Nongpoh / Meghalaya	Independent House / 2 BHK	1126	₹41.02 L	Semi-Furnished	1	Family	Sale
8	Meghalaya Properties (Meghalaya.txt)	3 BHK Independent House	Shillong Heights	Shillong / Meghalaya	Independent House / 3 BHK	1672	₹50.19 L	Fully-Furnished	3	Any	Sale
9	Meghalaya Properties (Meghalaya.txt)	3 BHK Villa	Nongpoh Heights	Nongpoh / Meghalaya	Villa / 3 BHK	1793	₹15,900/month	Semi-Furnished	3	Any	Rent
10	Meghalaya Properties (Meghalaya.txt)	5 BHK Apartment	Shillong Central	Shillong / Meghalaya	Apartment / 5 BHK	2783	₹1.08 Cr	Fully-Furnished	5	Bachelors	Sale
11	Meghalaya Properties (Meghalaya.txt)	2 BHK Independent House	Tura Sector 1	Tura / Meghalaya	Independent House / 2 BHK	1165	₹12,700/month	Semi-Furnished	2	Any	Rent
12	Meghalaya Properties (Meghalaya.txt)	3 BHK Apartment	Nongpoh North	Nongpoh / Meghalaya	Apartment / 3 BHK	1357	₹47.30 L	Semi-Furnished	2	Family	Sale
13	Meghalaya Properties (Meghalaya.txt)	2 BHK Apartment	Tura Sector 1	Tura / Meghalaya	Apartment / 2 BHK	845	₹11,100/month	Semi-Furnished	2	Family	Rent
14	Meghalaya Properties (Meghalaya.txt)	3 BHK Apartment	Shillong Sector 2	Shillong / Meghalaya	Apartment / 3 BHK	1195	₹16,900/month	Fully-Furnished	4	Any	Rent
15	Meghalaya Properties (Meghalaya.txt)	2 BHK Independent House	Shillong Nagar	Shillong / Meghalaya	Independent House / 2 BHK	937	₹33.97 L	Semi-Furnished	1	Family	Sale
