No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Mizoram Properties (Mizoram.txt)	2 BHK Apartment	Lunglei Town Centre	Lunglei / Mizoram	Apartment / 2 BHK	618	₹34.77 L	Semi-Furnished	2	Any	Sale
2	Mizoram Properties (Mizoram.txt)	2 BHK Apartment	Aizawl North	Aizawl / Mizoram	Apartment / 2 BHK	824	₹29.77 L	Semi-Furnished	2	Family	Sale
3	Mizoram Properties (Mizoram.txt)	4 BHK Apartment	Champhai Central	Champhai / Mizoram	Apartment / 4 BHK	1323	₹17,800/month	Fully-Furnished	4	Any	Rent
4	Mizoram Properties (Mizoram.txt)	1 BHK Apartment	Aizawl East	Aizawl / Mizoram	Apartment / 1 BHK	502	₹6,700/month	Semi-Furnished	2	Family	Rent
5	Mizoram Properties (Mizoram.txt)	2 BHK Apartment	Aizawl Nagar	Aizawl / Mizoram	Apartment / 2 BHK	866	₹39.42 L	Fully-Furnished	2	Family	Sale
6	Mizoram Properties (Mizoram.txt)	2 BHK Apartment	Lunglei Nagar	Lunglei / Mizoram	Apartment / 2 BHK	1021	₹12,500/month	Fully-Furnished	1	Family	Rent
7	Mizoram Properties (Mizoram.txt)	4 BHK Independent House	Aizawl Colony	Aizawl / Mizoram	Independent House / 4 BHK	2584	₹75.66 L	Fully-Furnished	4	Family	Sale
8	Mizoram Properties (Mizoram.txt)	2 BHK Builder Floor	Champhai Nagar	Champhai / Mizoram	Builder Floor / 2 BHK	861	₹40.79 L	Fully-Furnished	3	Family	Sale
9	Mizoram Properties (Mizoram.txt)	2 BHK Apartment	Lunglei Sector 3	Lunglei / Mizoram	Apartment / 2 BHK	935	₹30.43 L	Unfurnished	2	Any	Sale
10	Mizoram Properties (Mizoram.txt)	2 BHK Independent House	Aizawl Sector 3	Aizawl / Mizoram	Independent House / 2 BHK	966	₹38.95 L	Semi-Furnished	1	Bachelors	Sale
11	Mizoram Properties (Mizoram.txt)	4 BHK Apartment	Champhai Central	Champhai / Mizoram	Apartment / 4 BHK	1800	₹20,800/month	Unfurnished	5	Bachelors	Rent
12	Mizoram Properties (Mizoram.txt)	2 BHK Apartment	Aizawl Main Road	Aizawl / Mizoram	Apartment / 2 BHK	966	₹32.78 L	Semi-Furnished	1	Bachelors	Sale
13	Mizoram Properties (Mizoram.txt)	2 BHK Apartment	Lunglei Central	Lunglei / Mizoram	Apartment / 2 BHK	923	₹31.84 L	Semi-Furnished	3	Bachelors	Sale
14	Mizoram Properties (Mizoram.txt)	3 BHK Apartment	Champhai Extension	Champhai / Mizoram	Apartment / 3 BHK	1371	₹50.54 L	Semi-Furnished	3	Any	Sale
15	Mizoram Properties (Mizoram.txt)	1 BHK Apartment	Lunglei North	Lunglei / Mizoram	Apartment / 1 BHK	502	₹24.36 L	Fully-Furnished	1	Bachelors	Sale
16	Mizoram Properties (Mizoram.txt)	2 BHK Apartment	Lunglei Nagar	Lunglei / Mizoram	Apartment / 2 BHK	740	₹11,700/month	Fully-Furnished	2	Family	Rent
17	Mizoram Properties (Mizoram.txt)	2 BHK Apartment	Aizawl Heights	Aizawl / Mizoram	Apartment / 2 BHK	848	₹43.19 L	Semi-Furnished	2	Bachelors	Sale
18	Mizoram Properties (Mizoram.txt)	2 BHK Builder Floor	Lunglei Main Road	Lunglei / Mizoram	Builder Floor / 2 BHK	821	₹11,100/month	Fully-Furnished	2	Family	Rent
