No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Nagaland Properties (Nagaland.txt)	2 BHK Builder Floor	Mokokchung Sector 2	Mokokchung / Nagaland	Builder Floor / 2 BHK	819	₹10,900/month	Fully-Furnished	2	Family	Rent
2	Nagaland Properties (Nagaland.txt)	1 BHK Apartment	Dimapur South	Dimapur / Nagaland	Apartment / 1 BHK	525	₹7,400/month	Semi-Furnished	2	Bachelors	Rent
3	Nagaland Properties (Nagaland.txt)	1 BHK Villa	Mokokchung Town Centre	Mokokchung / Nagaland	Villa / 1 BHK	637	₹22.93 L	Fully-Furnished	1	Family	Sale
4	Nagaland Properties (Nagaland.txt)	2 BHK Independent House	Mokokchung Colony	Mokokchung / Nagaland	Independent House / 2 BHK	1023	₹11,000/month	Semi-Furnished	2	Family	Rent
5	Nagaland Properties (Nagaland.txt)	3 BHK Apartment	Kohima North	Kohima / Nagaland	Apartment / 3 BHK	1479	₹15,200/month	Fully-Furnished	2	Bachelors	Rent
6	Nagaland Properties (Nagaland.txt)	4 BHK Apartment	Dimapur West	Dimapur / Nagaland	Apartment / 4 BHK	2280	₹21,800/month	Unfurnished	5	Bachelors	Rent
7	Nagaland Properties (Nagaland.txt)	2 BHK Apartment	Mokokchung Extension	Mokokchung / Nagaland	Apartment / 2 BHK	723	₹37.46 L	Fully-Furnished	1	Family	Sale
8	Nagaland Properties (Nagaland.txt)	2 BHK Apartment	Mokokchung Sector 1	Mokokchung / Nagaland	Apartment / 2 BHK	768	₹10,900/month	Semi-Furnished	3	Any	Rent
9	Nagaland Properties (Nagaland.txt)	2 BHK Independent House	Mokokchung Sector 2	Mokokchung / Nagaland	Independent House / 2 BHK	973	₹36.89 L	Unfurnished	2	Bachelors	Sale
10	Nagaland Properties (Nagaland.txt)	1 BHK Apartment	Dimapur Sector 1	Dimapur / Nagaland	Apartment / 1 BHK	540	₹7,300/month	Unfurnished	1	Family	Rent
11	Nagaland Properties (Nagaland.txt)	2 BHK Independent House	Kohima Heights	Kohima / Nagaland	Independent House / 2 BHK	1265	₹9,800/month	Semi-Furnished	2	Any	Rent
12	Nagaland Properties (Nagaland.txt)	2 BHK Builder Floor	Mokokchung Nagar	Mokokchung / Nagaland	Builder Floor / 2 BHK	894	₹12,600/month	Semi-Furnished	2	Family	Rent
13	Nagaland Properties (Nagaland.txt)	4 BHK Apartment	Dimapur Central	Dimapur / Nagaland	Apartment / 4 BHK	1511	₹17,000/month	Semi-Furnished	4	Any	Rent
14	Nagaland Properties (Nagaland.txt)	2 BHK Apartment	Kohima North	Kohima / Nagaland	Apartment / 2 BHK	857	₹37 L	Fully-Furnished	2	Family	Sale
15	Nagaland Properties (Nagaland.txt)	1 BHK Builder Floor	Mokokchung Residential Area	Mokokchung / Nagaland	Builder Floor / 1 BHK	580	₹7,200/month	Fully-Furnished	1	Bachelors	Rent
16	Nagaland Properties (Nagaland.txt)	3 BHK Builder Floor	Kohima North	Kohima / Nagaland	Builder Floor / 3 BHK	1309	₹52.59 L	Fully-Furnished	3	Family	Sale
17	Nagaland Properties (Nagaland.txt)	5 BHK Independent House	Dimapur Residential Area	Dimapur / Nagaland	Independent House / 5 BHK	3122	₹1.05 Cr	Semi-Furnished	5	Bachelors	Sale
18	Nagaland Properties (Nagaland.txt)	2 BHK Apartment	Kohima North	Kohima / Nagaland	Apartment / 2 BHK	653	₹40.85 L	Fully-Furnished	1	Family	Sale
19	Nagaland Properties (Nagaland.txt)	1 BHK Apartment	Mokokchung Sector 3	Mokokchung / Nagaland	Apartment / 1 BHK	587	₹7,400/month	Semi-Furnished	1	Any	Rent
20	Nagaland Properties (Nagaland.txt)	1 BHK Apartment	Mokokchung Residential Area	Mokokchung / Nagaland	Apartment / 1 BHK	652	₹27.89 L	Semi-Furnished	1	Bachelors	Sale
21	Nagaland Properties (Nagaland.txt)	2 BHK Independent House	Dimapur Residential Area	Dimapur / Nagaland	Independent House / 2 BHK	1124	₹48.26 L	Fully-Furnished	2	Any	Sale
22	Nagaland Properties (Nagaland.txt)	1 BHK Independent House	Mokokchung Extension	Mokokchung / Nagaland	Independent House / 1 BHK	563	₹22.34 L	Fully-Furnished	2	Family	Sale
23	Nagaland Properties (Nagaland.txt)	3 BHK Apartment	Mokokchung Main Road	Mokokchung / Nagaland	Apartment / 3 BHK	1325	₹55.22 L	Unfurnished	2	Bachelors	Sale
24	Nagaland Properties (Nagaland.txt)	2 BHK Apartment	Kohima Central	Kohima / Nagaland	Apartment / 2 BHK	626	₹29.27 L	Semi-Furnished	2	Any	Sale
25	Nagaland Properties (Nagaland.txt)	4 BHK Apartment	Kohima East	Kohima / Nagaland	Apartment / 4 BHK	1956	₹74.97 L	Semi-Furnished	4	Any	Sale
26	Nagaland Properties (Nagaland.txt)	4 BHK Apartment	Kohima Nagar	Kohima / Nagaland	Apartment / 4 BHK	1905	₹17,000/month	Semi-Furnished	4	Any	Rent
27	Nagaland Properties (Nagaland.txt)	2 BHK Independent House	Kohima West	Kohima / Nagaland	Independent House / 2 BHK	1151	₹38.82 L	Fully-Furnished	3	Bachelors	Sale
28	Nagaland Properties (Nagaland.txt)	4 BHK Independent House	Kohima Central	Kohima / Nagaland	Independent House / 4 BHK	1995	₹69.04 L	Semi-Furnished	4	Family	Sale
29	Nagaland Properties (Nagaland.txt)	2 BHK Villa	Dimapur West	Dimapur / Nagaland	Villa / 2 BHK	1230	₹48.97 L	Semi-Furnished	3	Any	Sale
30	Nagaland Properties (Nagaland.txt)	4 BHK Independent House	Kohima East	Kohima / Nagaland	Independent House / 4 BHK	2261	₹62.41 L	Semi-Furnished	4	Bachelors	Sale
31	Nagaland Properties (Nagaland.txt)	1 BHK Apartment	Kohima Residential Area	Kohima / Nagaland	Apartment / 1 BHK	555	₹28.27 L	Unfurnished	2	Bachelors	Sale
32	Nagaland Properties (Nagaland.txt)	2 BHK Independent House	Mokokchung Sector 2	Mokokchung / Nagaland	Independent House / 2 BHK	1024	₹40.36 L	Semi-Furnished	1	Family	Sale
33	Nagaland Properties (Nagaland.txt)	1 BHK Apartment	Dimapur Residential Area	Dimapur / Nagaland	Apartment / 1 BHK	497	₹6,000/month	Fully-Furnished	1	Family	Rent
34	Nagaland Properties (Nagaland.txt)	3 BHK Apartment	Dimapur Residential Area	Dimapur / Nagaland	Apartment / 3 BHK	1018	₹51.75 L	Unfurnished	2	Any	Sale
35	Nagaland Properties (Nagaland.txt)	1 BHK Apartment	Dimapur Sector 1	Dimapur / Nagaland	Apartment / 1 BHK	441	₹20.74 L	Unfurnished	1	Bachelors	Sale
36	Nagaland Properties (Nagaland.txt)	2 BHK Villa	Mokokchung North	Mokokchung / Nagaland	Villa / 2 BHK	970	₹9,700/month	Fully-Furnished	2	Bachelors	Rent
37	Nagaland Properties (Nagaland.txt)	1 BHK Studio	Kohima West	Kohima / Nagaland	Studio / 1 BHK	365	₹19.13 L	Unfurnished	1	Family	Sale
38	Nagaland Properties (Nagaland.txt)	2 BHK Builder Floor	Mokokchung Colony	Mokokchung / Nagaland	Builder Floor / 2 BHK	746	₹31.30 L	Fully-Furnished	1	Bachelors	Sale
39	Nagaland Properties (Nagaland.txt)	2 BHK Independent House	Dimapur Sector 2	Dimapur / Nagaland	Independent House / 2 BHK	1011	₹43.84 L	Semi-Furnished	2	Family	Sale
40	Nagaland Properties (Nagaland.txt)	5 BHK Builder Floor	Dimapur Nagar	Dimapur / Nagaland	Builder Floor / 5 BHK	1882	₹23,800/month	Semi-Furnished	5	Bachelors	Rent
41	Nagaland Properties (Nagaland.txt)	4 BHK Apartment	Kohima Heights	Kohima / Nagaland	Apartment / 4 BHK	1811	₹65.93 L	Fully-Furnished	4	Family	Sale
42	Nagaland Properties (Nagaland.txt)	4 BHK Apartment	Kohima Sector 3	Kohima / Nagaland	Apartment / 4 BHK	1755	₹58.97 L	Unfurnished	4	Family	Sale
43	Nagaland Properties (Nagaland.txt)	4 BHK Apartment	Dimapur Residential Area	Dimapur / Nagaland	Apartment / 4 BHK	1339	₹20,500/month	Unfurnished	4	Bachelors	Rent
44	Nagaland Properties (Nagaland.txt)	3 BHK Builder Floor	Kohima Central	Kohima / Nagaland	Builder Floor / 3 BHK	1462	₹49.83 L	Semi-Furnished	2	Any	Sale
45	Nagaland Properties (Nagaland.txt)	2 BHK Apartment	Kohima Extension	Kohima / Nagaland	Apartment / 2 BHK	681	₹30.35 L	Unfurnished	2	Family	Sale
46	Nagaland Properties (Nagaland.txt)	2 BHK Apartment	Dimapur East	Dimapur / Nagaland	Apartment / 2 BHK	981	₹10,600/month	Fully-Furnished	2	Family	Rent
47	Nagaland Properties (Nagaland.txt)	1 BHK Apartment	Kohima Sector 2	Kohima / Nagaland	Apartment / 1 BHK	600	₹6,400/month	Fully-Furnished	1	Family	Rent
48	Nagaland Properties (Nagaland.txt)	3 BHK Apartment	Kohima West	Kohima / Nagaland	Apartment / 3 BHK	1169	₹60.13 L	Semi-Furnished	4	Any	Sale
49	Nagaland Properties (Nagaland.txt)	4 BHK Builder Floor	Kohima Main Road	Kohima / Nagaland	Builder Floor / 4 BHK	1839	₹74.34 L	Unfurnished	4	Bachelors	Sale
50	Nagaland Properties (Nagaland.txt)	2 BHK Builder Floor	Kohima West	Kohima / Nagaland	Builder Floor / 2 BHK	890	₹9,900/month	Fully-Furnished	3	Any	Rent
51	Nagaland Properties (Nagaland.txt)	3 BHK Apartment	Mokokchung North	Mokokchung / Nagaland	Apartment / 3 BHK	1433	₹46.05 L	Fully-Furnished	3	Bachelors	Sale
52	Nagaland Properties (Nagaland.txt)	4 BHK Independent House	Dimapur Sector 3	Dimapur / Nagaland	Independent House / 4 BHK	2366	₹22,700/month	Fully-Furnished	5	Any	Rent
53	Nagaland Properties (Nagaland.txt)	3 BHK Apartment	Dimapur South	Dimapur / Nagaland	Apartment / 3 BHK	1242	₹14,900/month	Semi-Furnished	3	Bachelors	Rent
54	Nagaland Properties (Nagaland.txt)	3 BHK Independent House	Dimapur West	Dimapur / Nagaland	Independent House / 3 BHK	990	₹15,500/month	Fully-Furnished	2	Family	Rent
55	Nagaland Properties (Nagaland.txt)	1 BHK Apartment	Kohima Colony	Kohima / Nagaland	Apartment / 1 BHK	477	₹8,000/month	Semi-Furnished	1	Any	Rent
56	Nagaland Properties (Nagaland.txt)	2 BHK Builder Floor	Mokokchung Main Road	Mokokchung / Nagaland	Builder Floor / 2 BHK	825	₹35.35 L	Fully-Furnished	2	Family	Sale
57	Nagaland Properties (Nagaland.txt)	1 BHK Independent House	Dimapur Sector 1	Dimapur / Nagaland	Independent House / 1 BHK	665	₹25.92 L	Unfurnished	1	Any	Sale
58	Nagaland Properties (Nagaland.txt)	3 BHK Apartment	Mokokchung North	Mokokchung / Nagaland	Apartment / 3 BHK	1293	₹56.40 L	Semi-Furnished	3	Bachelors	Sale
59	Nagaland Properties (Nagaland.txt)	3 BHK Apartment	Kohima South	Kohima / Nagaland	Apartment / 3 BHK	1132	₹15,500/month	Fully-Furnished	3	Family	Rent
60	Nagaland Properties (Nagaland.txt)	1 BHK Independent House	Kohima Colony	Kohima / Nagaland	Independent House / 1 BHK	658	₹29.24 L	Semi-Furnished	2	Any	Sale
61	Nagaland Properties (Nagaland.txt)	3 BHK Villa	Kohima Sector 2	Kohima / Nagaland	Villa / 3 BHK	2335	₹57.95 L	Semi-Furnished	4	Bachelors	Sale
62	Nagaland Properties (Nagaland.txt)	4 BHK Apartment	Dimapur West	Dimapur / Nagaland	Apartment / 4 BHK	1977	₹20,000/month	Unfurnished	5	Bachelors	Rent
63	Nagaland Properties (Nagaland.txt)	2 BHK Apartment	Kohima Colony	Kohima / Nagaland	Apartment / 2 BHK	835	₹35.02 L	Semi-Furnished	2	Family	Sale
64	Nagaland Properties (Nagaland.txt)	3 BHK Apartment	Dimapur Sector 1	Dimapur / Nagaland	Apartment / 3 BHK	1181	₹48.15 L	Semi-Furnished	3	Any	Sale
65	Nagaland Properties (Nagaland.txt)	3 BHK Independent House	Kohima Extension	Kohima / Nagaland	Independent House / 3 BHK	1208	₹14,500/month	Fully-Furnished	4	Family	Rent
66	Nagaland Properties (Nagaland.txt)	2 BHK Apartment	Mokokchung Extension	Mokokchung / Nagaland	Apartment / 2 BHK	824	₹10,900/month	Fully-Furnished	1	Any	Rent
67	Nagaland Properties (Nagaland.txt)	4 BHK Villa	Kohima Nagar	Kohima / Nagaland	Villa / 4 BHK	1882	₹78.17 L	Semi-Furnished	3	Family	Sale
68	Nagaland Properties (Nagaland.txt)	3 BHK Builder Floor	Dimapur Nagar	Dimapur / Nagaland	Builder Floor / 3 BHK	1210	₹52.39 L	Semi-Furnished	2	Family	Sale
69	Nagaland Properties (Nagaland.txt)	4 BHK Independent House	Kohima North	Kohima / Nagaland	Independent House / 4 BHK	2140	₹83.38 L	Unfurnished	4	Any	Sale
70	Nagaland Properties (Nagaland.txt)	2 BHK Apartment	Mokokchung Sector 1	Mokokchung / Nagaland	Apartment / 2 BHK	820	₹39.45 L	Semi-Furnished	2	Any	Sale
71	Nagaland Properties (Nagaland.txt)	3 BHK Independent House	Mokokchung South	Mokokchung / Nagaland	Independent House / 3 BHK	1504	₹17,100/month	Fully-Furnished	2	Bachelors	Rent
72	Nagaland Properties (Nagaland.txt)	2 BHK Independent House	Mokokchung East	Mokokchung / Nagaland	Independent House / 2 BHK	981	₹35.48 L	Unfurnished	2	Any	Sale
73	Nagaland Properties (Nagaland.txt)	3 BHK Apartment	Dimapur Sector 3	Dimapur / Nagaland	Apartment / 3 BHK	944	₹15,800/month	Semi-Furnished	3	Bachelors	Rent
74	Nagaland Properties (Nagaland.txt)	3 BHK Apartment	Dimapur West	Dimapur / Nagaland	Apartment / 3 BHK	1338	₹45.54 L	Unfurnished	3	Family	Sale
75	Nagaland Properties (Nagaland.txt)	1 BHK Builder Floor	Mokokchung Nagar	Mokokchung / Nagaland	Builder Floor / 1 BHK	397	₹6,000/month	Fully-Furnished	1	Bachelors	Rent
76	Nagaland Properties (Nagaland.txt)	1 BHK Apartment	Dimapur Sector 1	Dimapur / Nagaland	Apartment / 1 BHK	343	₹23.32 L	Unfurnished	1	Family	Sale
77	Nagaland Properties (Nagaland.txt)	4 BHK Apartment	Kohima Central	Kohima / Nagaland	Apartment / 4 BHK	1680	₹63.68 L	Semi-Furnished	5	Family	Sale
78	Nagaland Properties (Nagaland.txt)	1 BHK Apartment	Dimapur Sector 3	Dimapur / Nagaland	Apartment / 1 BHK	568	₹6,800/month	Fully-Furnished	2	Any	Rent
79	Nagaland Properties (Nagaland.txt)	3 BHK Apartment	Dimapur Colony	Dimapur / Nagaland	Apartment / 3 BHK	1342	₹15,700/month	Semi-Furnished	2	Family	Rent
80	Nagaland Properties (Nagaland.txt)	1 BHK Builder Floor	Mokokchung Main Road	Mokokchung / Nagaland	Builder Floor / 1 BHK	519	₹28.69 L	Fully-Furnished	1	Bachelors	Sale
81	Nagaland Properties (Nagaland.txt)	3 BHK Apartment	Kohima Sector 1	Kohima / Nagaland	Apartment / 3 BHK	1665	₹15,600/month	Semi-Furnished	3	Family	Rent
82	Nagaland Properties (Nagaland.txt)	4 BHK Builder Floor	Kohima South	Kohima / Nagaland	Builder Floor / 4 BHK	1593	₹20,500/month	Semi-Furnished	4	Family	Rent
83	Nagaland Properties (Nagaland.txt)	2 BHK Apartment	Kohima Sector 3	Kohima / Nagaland	Apartment / 2 BHK	858	₹33.12 L	Semi-Furnished	1	Any	Sale
84	Nagaland Properties (Nagaland.txt)	2 BHK Apartment	Dimapur West	Dimapur / Nagaland	Apartment / 2 BHK	881	₹35.28 L	Semi-Furnished	2	Any	Sale
85	Nagaland Properties (Nagaland.txt)	3 BHK Independent House	Kohima Sector 1	Kohima / Nagaland	Independent House / 3 BHK	1488	₹14,500/month	Unfurnished	3	Family	Rent
86	Nagaland Properties (Nagaland.txt)	4 BHK Apartment	Kohima Sector 1	Kohima / Nagaland	Apartment / 4 BHK	1228	₹57.30 L	Semi-Furnished	4	Any	Sale
87	Nagaland Properties (Nagaland.txt)	2 BHK Apartment	Mokokchung Sector 3	Mokokchung / Nagaland	Apartment / 2 BHK	940	₹43.44 L	Fully-Furnished	2	Family	Sale
88	Nagaland Properties (Nagaland.txt)	2 BHK Builder Floor	Dimapur West	Dimapur / Nagaland	Builder Floor / 2 BHK	745	₹43.43 L	Fully-Furnished	1	Family	Sale
89	Nagaland Properties (Nagaland.txt)	1 BHK Independent House	Dimapur Main Road	Dimapur / Nagaland	Independent House / 1 BHK	565	₹25.36 L	Fully-Furnished	1	Family	Sale
