No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Odisha Properties (Odisha.txt)	2 BHK Builder Floor	Rourkela Colony	Rourkela / Odisha	Builder Floor / 2 BHK	893	₹12,600/month	Semi-Furnished	2	Family	Rent
2	Odisha Properties (Odisha.txt)	4 BHK Apartment	Bhubaneswar Sector 2	Bhubaneswar / Odisha	Apartment / 4 BHK	1396	₹92.60 L	Semi-Furnished	3	Family	Sale
3	Odisha Properties (Odisha.txt)	2 BHK Builder Floor	Bhubaneswar Nagar	Bhubaneswar / Odisha	Builder Floor / 2 BHK	1065	₹56 L	Semi-Furnished	1	Bachelors	Sale
4	Odisha Properties (Odisha.txt)	2 BHK Apartment	Bhubaneswar Town Centre	Bhubaneswar / Odisha	Apartment / 2 BHK	782	₹47.93 L	Unfurnished	2	Family	Sale
5	Odisha Properties (Odisha.txt)	3 BHK Apartment	Cuttack Residential Area	Cuttack / Odisha	Apartment / 3 BHK	1255	₹56.07 L	Semi-Furnished	3	Bachelors	Sale
6	Odisha Properties (Odisha.txt)	3 BHK Apartment	Cuttack North	Cuttack / Odisha	Apartment / 3 BHK	1063	₹51.03 L	Fully-Furnished	3	Bachelors	Sale
7	Odisha Properties (Odisha.txt)	3 BHK Apartment	Cuttack Sector 3	Cuttack / Odisha	Apartment / 3 BHK	1469	₹62.07 L	Semi-Furnished	2	Family	Sale
8	Odisha Properties (Odisha.txt)	2 BHK Apartment	Bhubaneswar Sector 1	Bhubaneswar / Odisha	Apartment / 2 BHK	790	₹53.16 L	Fully-Furnished	1	Family	Sale
9	Odisha Properties (Odisha.txt)	1 BHK Apartment	Cuttack Nagar	Cuttack / Odisha	Apartment / 1 BHK	496	₹9,300/month	Semi-Furnished	1	Family	Rent
10	Odisha Properties (Odisha.txt)	1 BHK Apartment	Rourkela East	Rourkela / Odisha	Apartment / 1 BHK	550	₹29.18 L	Semi-Furnished	1	Any	Sale
11	Odisha Properties (Odisha.txt)	2 BHK Builder Floor	Cuttack Sector 2	Cuttack / Odisha	Builder Floor / 2 BHK	995	₹42.84 L	Unfurnished	2	Bachelors	Sale
12	Odisha Properties (Odisha.txt)	2 BHK Builder Floor	Bhubaneswar North	Bhubaneswar / Odisha	Builder Floor / 2 BHK	974	₹10,600/month	Semi-Furnished	2	Family	Rent
13	Odisha Properties (Odisha.txt)	3 BHK Apartment	Puri Town Centre	Puri / Odisha	Apartment / 3 BHK	1455	₹62.65 L	Unfurnished	2	Any	Sale
14	Odisha Properties (Odisha.txt)	2 BHK Apartment	Rourkela Sector 1	Rourkela / Odisha	Apartment / 2 BHK	1003	₹11,000/month	Semi-Furnished	2	Any	Rent
15	Odisha Properties (Odisha.txt)	1 BHK Studio	Puri East	Puri / Odisha	Studio / 1 BHK	497	₹32.91 L	Fully-Furnished	1	Any	Sale
16	Odisha Properties (Odisha.txt)	3 BHK Independent House	Puri West	Puri / Odisha	Independent House / 3 BHK	1902	₹18,200/month	Fully-Furnished	2	Family	Rent
17	Odisha Properties (Odisha.txt)	2 BHK Apartment	Bhubaneswar North	Bhubaneswar / Odisha	Apartment / 2 BHK	605	₹48.14 L	Fully-Furnished	3	Bachelors	Sale
18	Odisha Properties (Odisha.txt)	5 BHK Apartment	Bhubaneswar Sector 2	Bhubaneswar / Odisha	Apartment / 5 BHK	2248	₹92.50 L	Fully-Furnished	4	Bachelors	Sale
19	Odisha Properties (Odisha.txt)	1 BHK Independent House	Puri Sector 2	Puri / Odisha	Independent House / 1 BHK	534	₹32.48 L	Unfurnished	1	Family	Sale
20	Odisha Properties (Odisha.txt)	5 BHK Independent House	Bhubaneswar Nagar	Bhubaneswar / Odisha	Independent House / 5 BHK	2746	₹1.18 Cr	Fully-Furnished	4	Bachelors	Sale
21	Odisha Properties (Odisha.txt)	3 BHK Independent House	Rourkela Main Road	Rourkela / Odisha	Independent House / 3 BHK	1339	₹20,800/month	Unfurnished	3	Bachelors	Rent
22	Odisha Properties (Odisha.txt)	2 BHK Builder Floor	Rourkela East	Rourkela / Odisha	Builder Floor / 2 BHK	892	₹13,700/month	Unfurnished	2	Bachelors	Rent
23	Odisha Properties (Odisha.txt)	1 BHK Studio	Puri Nagar	Puri / Odisha	Studio / 1 BHK	357	₹7,300/month	Fully-Furnished	1	Bachelors	Rent
24	Odisha Properties (Odisha.txt)	3 BHK Villa	Rourkela Colony	Rourkela / Odisha	Villa / 3 BHK	1578	₹72.11 L	Unfurnished	3	Family	Sale
25	Odisha Properties (Odisha.txt)	4 BHK Apartment	Puri Colony	Puri / Odisha	Apartment / 4 BHK	1397	₹22,700/month	Unfurnished	5	Any	Rent
26	Odisha Properties (Odisha.txt)	4 BHK Villa	Cuttack Town Centre	Cuttack / Odisha	Villa / 4 BHK	2887	₹22,900/month	Semi-Furnished	4	Family	Rent
27	Odisha Properties (Odisha.txt)	2 BHK Apartment	Rourkela South	Rourkela / Odisha	Apartment / 2 BHK	943	₹39.15 L	Semi-Furnished	1	Any	Sale
28	Odisha Properties (Odisha.txt)	4 BHK Independent House	Cuttack West	Cuttack / Odisha	Independent House / 4 BHK	1894	₹25,300/month	Semi-Furnished	4	Any	Rent
29	Odisha Properties (Odisha.txt)	3 BHK Apartment	Puri Sector 1	Puri / Odisha	Apartment / 3 BHK	1333	₹17,800/month	Unfurnished	2	Family	Rent
30	Odisha Properties (Odisha.txt)	2 BHK Apartment	Cuttack East	Cuttack / Odisha	Apartment / 2 BHK	916	₹48.98 L	Unfurnished	2	Family	Sale
31	Odisha Properties (Odisha.txt)	1 BHK Studio	Rourkela Central	Rourkela / Odisha	Studio / 1 BHK	393	₹23.57 L	Unfurnished	1	Family	Sale
32	Odisha Properties (Odisha.txt)	1 BHK Independent House	Cuttack Main Road	Cuttack / Odisha	Independent House / 1 BHK	577	₹8,700/month	Unfurnished	1	Family	Rent
33	Odisha Properties (Odisha.txt)	3 BHK Villa	Rourkela East	Rourkela / Odisha	Villa / 3 BHK	1863	₹16,700/month	Semi-Furnished	3	Any	Rent
34	Odisha Properties (Odisha.txt)	3 BHK Apartment	Rourkela Nagar	Rourkela / Odisha	Apartment / 3 BHK	1107	₹17,500/month	Semi-Furnished	2	Any	Rent
35	Odisha Properties (Odisha.txt)	3 BHK Apartment	Cuttack Heights	Cuttack / Odisha	Apartment / 3 BHK	1218	₹15,200/month	Fully-Furnished	3	Family	Rent
36	Odisha Properties (Odisha.txt)	2 BHK Builder Floor	Rourkela East	Rourkela / Odisha	Builder Floor / 2 BHK	885	₹10,300/month	Unfurnished	2	Family	Rent
37	Odisha Properties (Odisha.txt)	2 BHK Apartment	Puri Heights	Puri / Odisha	Apartment / 2 BHK	864	₹37.14 L	Fully-Furnished	2	Any	Sale
38	Odisha Properties (Odisha.txt)	3 BHK Apartment	Bhubaneswar North	Bhubaneswar / Odisha	Apartment / 3 BHK	1090	₹13,500/month	Semi-Furnished	2	Family	Rent
39	Odisha Properties (Odisha.txt)	1 BHK Apartment	Puri East	Puri / Odisha	Apartment / 1 BHK	455	₹8,800/month	Fully-Furnished	1	Family	Rent
40	Odisha Properties (Odisha.txt)	2 BHK Apartment	Cuttack Sector 1	Cuttack / Odisha	Apartment / 2 BHK	818	₹11,100/month	Fully-Furnished	2	Any	Rent
41	Odisha Properties (Odisha.txt)	4 BHK Apartment	Rourkela Main Road	Rourkela / Odisha	Apartment / 4 BHK	1623	₹70.67 L	Semi-Furnished	3	Any	Sale
42	Odisha Properties (Odisha.txt)	3 BHK Apartment	Puri Heights	Puri / Odisha	Apartment / 3 BHK	1191	₹19,300/month	Semi-Furnished	3	Any	Rent
43	Odisha Properties (Odisha.txt)	2 BHK Villa	Rourkela Sector 1	Rourkela / Odisha	Villa / 2 BHK	1405	₹43.94 L	Semi-Furnished	2	Family	Sale
44	Odisha Properties (Odisha.txt)	3 BHK Apartment	Cuttack Sector 3	Cuttack / Odisha	Apartment / 3 BHK	1150	₹68.46 L	Semi-Furnished	3	Bachelors	Sale
45	Odisha Properties (Odisha.txt)	1 BHK Apartment	Rourkela Sector 1	Rourkela / Odisha	Apartment / 1 BHK	446	₹33.35 L	Fully-Furnished	1	Any	Sale
46	Odisha Properties (Odisha.txt)	4 BHK Apartment	Puri Sector 3	Puri / Odisha	Apartment / 4 BHK	1895	₹88.22 L	Unfurnished	3	Any	Sale
47	Odisha Properties (Odisha.txt)	3 BHK Independent House	Cuttack Residential Area	Cuttack / Odisha	Independent House / 3 BHK	1277	₹69.77 L	Semi-Furnished	3	Any	Sale
48	Odisha Properties (Odisha.txt)	2 BHK Apartment	Rourkela Sector 2	Rourkela / Odisha	Apartment / 2 BHK	779	₹12,500/month	Semi-Furnished	3	Bachelors	Rent
49	Odisha Properties (Odisha.txt)	2 BHK Apartment	Rourkela Central	Rourkela / Odisha	Apartment / 2 BHK	769	₹14,100/month	Semi-Furnished	3	Family	Rent
50	Odisha Properties (Odisha.txt)	2 BHK Builder Floor	Rourkela Sector 1	Rourkela / Odisha	Builder Floor / 2 BHK	748	₹10,300/month	Semi-Furnished	2	Bachelors	Rent
51	Odisha Properties (Odisha.txt)	2 BHK Apartment	Rourkela Main Road	Rourkela / Odisha	Apartment / 2 BHK	1006	₹11,300/month	Semi-Furnished	2	Bachelors	Rent
52	Odisha Properties (Odisha.txt)	2 BHK Apartment	Bhubaneswar Sector 2	Bhubaneswar / Odisha	Apartment / 2 BHK	943	₹14,900/month	Fully-Furnished	2	Family	Rent
53	Odisha Properties (Odisha.txt)	1 BHK Apartment	Rourkela East	Rourkela / Odisha	Apartment / 1 BHK	563	₹29.30 L	Semi-Furnished	2	Bachelors	Sale
54	Odisha Properties (Odisha.txt)	5 BHK Apartment	Rourkela Sector 1	Rourkela / Odisha	Apartment / 5 BHK	2057	₹86.73 L	Fully-Furnished	5	Bachelors	Sale
55	Odisha Properties (Odisha.txt)	3 BHK Apartment	Cuttack Residential Area	Cuttack / Odisha	Apartment / 3 BHK	991	₹66.56 L	Fully-Furnished	3	Bachelors	Sale
56	Odisha Properties (Odisha.txt)	4 BHK Apartment	Bhubaneswar West	Bhubaneswar / Odisha	Apartment / 4 BHK	1904	₹87.36 L	Semi-Furnished	5	Family	Sale
57	Odisha Properties (Odisha.txt)	3 BHK Apartment	Bhubaneswar Heights	Bhubaneswar / Odisha	Apartment / 3 BHK	1438	₹77.75 L	Fully-Furnished	2	Family	Sale
58	Odisha Properties (Odisha.txt)	3 BHK Apartment	Rourkela East	Rourkela / Odisha	Apartment / 3 BHK	1309	₹75.33 L	Unfurnished	4	Bachelors	Sale
59	Odisha Properties (Odisha.txt)	4 BHK Apartment	Bhubaneswar Colony	Bhubaneswar / Odisha	Apartment / 4 BHK	1973	₹21,000/month	Semi-Furnished	5	Bachelors	Rent
60	Odisha Properties (Odisha.txt)	2 BHK Apartment	Rourkela Nagar	Rourkela / Odisha	Apartment / 2 BHK	819	₹46.53 L	Unfurnished	2	Family	Sale
61	Odisha Properties (Odisha.txt)	3 BHK Apartment	Rourkela Sector 1	Rourkela / Odisha	Apartment / 3 BHK	1442	₹54.11 L	Unfurnished	3	Any	Sale
62	Odisha Properties (Odisha.txt)	2 BHK Apartment	Rourkela Colony	Rourkela / Odisha	Apartment / 2 BHK	902	₹52.67 L	Semi-Furnished	2	Family	Sale
63	Odisha Properties (Odisha.txt)	4 BHK Apartment	Rourkela North	Rourkela / Odisha	Apartment / 4 BHK	2003	₹91.39 L	Fully-Furnished	4	Family	Sale
64	Odisha Properties (Odisha.txt)	3 BHK Builder Floor	Puri South	Puri / Odisha	Builder Floor / 3 BHK	947	₹15,100/month	Semi-Furnished	3	Bachelors	Rent
65	Odisha Properties (Odisha.txt)	2 BHK Independent House	Puri Extension	Puri / Odisha	Independent House / 2 BHK	1029	₹50.75 L	Semi-Furnished	3	Any	Sale
66	Odisha Properties (Odisha.txt)	4 BHK Apartment	Puri Town Centre	Puri / Odisha	Apartment / 4 BHK	1700	₹19,500/month	Fully-Furnished	4	Any	Rent
67	Odisha Properties (Odisha.txt)	3 BHK Apartment	Rourkela West	Rourkela / Odisha	Apartment / 3 BHK	914	₹13,300/month	Fully-Furnished	3	Family	Rent
68	Odisha Properties (Odisha.txt)	4 BHK Apartment	Cuttack Central	Cuttack / Odisha	Apartment / 4 BHK	1602	₹90.53 L	Unfurnished	4	Bachelors	Sale
69	Odisha Properties (Odisha.txt)	2 BHK Apartment	Rourkela Sector 2	Rourkela / Odisha	Apartment / 2 BHK	890	₹47.81 L	Semi-Furnished	2	Family	Sale
70	Odisha Properties (Odisha.txt)	2 BHK Independent House	Cuttack Nagar	Cuttack / Odisha	Independent House / 2 BHK	866	₹13,900/month	Semi-Furnished	2	Bachelors	Rent
71	Odisha Properties (Odisha.txt)	2 BHK Apartment	Bhubaneswar Residential Area	Bhubaneswar / Odisha	Apartment / 2 BHK	726	₹49.27 L	Semi-Furnished	2	Any	Sale
72	Odisha Properties (Odisha.txt)	1 BHK Apartment	Puri Colony	Puri / Odisha	Apartment / 1 BHK	606	₹35.16 L	Fully-Furnished	1	Family	Sale
73	Odisha Properties (Odisha.txt)	1 BHK Apartment	Bhubaneswar Extension	Bhubaneswar / Odisha	Apartment / 1 BHK	361	₹23.59 L	Semi-Furnished	1	Family	Sale
74	Odisha Properties (Odisha.txt)	3 BHK Apartment	Rourkela Residential Area	Rourkela / Odisha	Apartment / 3 BHK	1627	₹62.62 L	Unfurnished	3	Bachelors	Sale
75	Odisha Properties (Odisha.txt)	4 BHK Villa	Rourkela Residential Area	Rourkela / Odisha	Villa / 4 BHK	2552	₹77.01 L	Fully-Furnished	4	Bachelors	Sale
76	Odisha Properties (Odisha.txt)	4 BHK Independent House	Cuttack Extension	Cuttack / Odisha	Independent House / 4 BHK	1915	₹21,000/month	Semi-Furnished	4	Bachelors	Rent
77	Odisha Properties (Odisha.txt)	2 BHK Apartment	Rourkela Colony	Rourkela / Odisha	Apartment / 2 BHK	836	₹37.50 L	Unfurnished	2	Family	Sale
