No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Puducherry Properties (Puducherry.txt)	2 BHK Apartment	Karaikal Sector 1	Karaikal / Puducherry	Apartment / 2 BHK	797	₹46.07 L	Fully-Furnished	2	Family	Sale
2	Puducherry Properties (Puducherry.txt)	2 BHK Apartment	Puducherry Colony	Puducherry / Puducherry	Apartment / 2 BHK	969	₹11,700/month	Semi-Furnished	2	Bachelors	Rent
3	Puducherry Properties (Puducherry.txt)	2 BHK Apartment	Oulgaret Sector 1	Oulgaret / Puducherry	Apartment / 2 BHK	914	₹15,700/month	Semi-Furnished	1	Any	Rent
4	Puducherry Properties (Puducherry.txt)	2 BHK Apartment	Karaikal Central	Karaikal / Puducherry	Apartment / 2 BHK	838	₹44.07 L	Semi-Furnished	2	Family	Sale
5	Puducherry Properties (Puducherry.txt)	3 BHK Apartment	Oulgaret Sector 2	Oulgaret / Puducherry	Apartment / 3 BHK	1200	₹15,300/month	Fully-Furnished	4	Family	Rent
6	Puducherry Properties (Puducherry.txt)	2 BHK Independent House	Karaikal Main Road	Karaikal / Puducherry	Independent House / 2 BHK	837	₹53.12 L	Unfurnished	1	Family	Sale
7	Puducherry Properties (Puducherry.txt)	2 BHK Apartment	Yanam North	Yanam / Puducherry	Apartment / 2 BHK	840	₹16,000/month	Semi-Furnished	2	Family	Rent
8	Puducherry Properties (Puducherry.txt)	1 BHK Apartment	Oulgaret Town Centre	Oulgaret / Puducherry	Apartment / 1 BHK	453	₹25.54 L	Semi-Furnished	1	Any	Sale
9	Puducherry Properties (Puducherry.txt)	5 BHK Apartment	Yanam Sector 2	Yanam / Puducherry	Apartment / 5 BHK	1804	₹27,600/month	Semi-Furnished	6	Family	Rent
10	Puducherry Properties (Puducherry.txt)	1 BHK Builder Floor	Yanam Sector 3	Yanam / Puducherry	Builder Floor / 1 BHK	630	₹11,000/month	Fully-Furnished	2	Family	Rent
11	Puducherry Properties (Puducherry.txt)	1 BHK Builder Floor	Oulgaret Colony	Oulgaret / Puducherry	Builder Floor / 1 BHK	517	₹8,400/month	Unfurnished	1	Bachelors	Rent
12	Puducherry Properties (Puducherry.txt)	2 BHK Villa	Oulgaret Town Centre	Oulgaret / Puducherry	Villa / 2 BHK	707	₹55.50 L	Semi-Furnished	1	Family	Sale
13	Puducherry Properties (Puducherry.txt)	2 BHK Apartment	Puducherry North	Puducherry / Puducherry	Apartment / 2 BHK	856	₹40.96 L	Fully-Furnished	2	Family	Sale
14	Puducherry Properties (Puducherry.txt)	3 BHK Villa	Oulgaret West	Oulgaret / Puducherry	Villa / 3 BHK	1748	₹82.93 L	Unfurnished	3	Bachelors	Sale
