No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Punjab Properties (Punjab.txt)	2 BHK Builder Floor	Jalandhar Sector 2	Jalandhar / Punjab	Builder Floor / 2 BHK	890	₹55.42 L	Fully-Furnished	3	Any	Sale
2	Punjab Properties (Punjab.txt)	1 BHK Independent House	Jalandhar Sector 3	Jalandhar / Punjab	Independent House / 1 BHK	517	₹37.20 L	Unfurnished	1	Family	Sale
3	Punjab Properties (Punjab.txt)	2 BHK Builder Floor	Amritsar Sector 3	Amritsar / Punjab	Builder Floor / 2 BHK	747	₹54.55 L	Fully-Furnished	3	Any	Sale
4	Punjab Properties (Punjab.txt)	2 BHK Apartment	Amritsar Main Road	Amritsar / Punjab	Apartment / 2 BHK	665	₹56.51 L	Semi-Furnished	2	Any	Sale
5	Punjab Properties (Punjab.txt)	2 BHK Apartment	Amritsar Sector 1	Amritsar / Punjab	Apartment / 2 BHK	879	₹43.89 L	Unfurnished	1	Family	Sale
6	Punjab Properties (Punjab.txt)	3 BHK Apartment	Jalandhar Sector 1	Jalandhar / Punjab	Apartment / 3 BHK	1016	₹74.61 L	Unfurnished	3	Bachelors	Sale
7	Punjab Properties (Punjab.txt)	4 BHK Apartment	Ludhiana Sector 3	Ludhiana / Punjab	Apartment / 4 BHK	1503	₹27,200/month	Semi-Furnished	4	Any	Rent
8	Punjab Properties (Punjab.txt)	3 BHK Builder Floor	Ludhiana Central	Ludhiana / Punjab	Builder Floor / 3 BHK	1131	₹69.13 L	Semi-Furnished	3	Family	Sale
9	Punjab Properties (Punjab.txt)	3 BHK Builder Floor	Amritsar Residential Area	Amritsar / Punjab	Builder Floor / 3 BHK	1188	₹73.44 L	Fully-Furnished	3	Bachelors	Sale
10	Punjab Properties (Punjab.txt)	1 BHK Studio	Amritsar North	Amritsar / Punjab	Studio / 1 BHK	339	₹35.96 L	Unfurnished	1	Family	Sale
11	Punjab Properties (Punjab.txt)	2 BHK Independent House	Ludhiana Heights	Ludhiana / Punjab	Independent House / 2 BHK	874	₹14,800/month	Semi-Furnished	2	Family	Rent
12	Punjab Properties (Punjab.txt)	4 BHK Apartment	Amritsar Colony	Amritsar / Punjab	Apartment / 4 BHK	1930	₹1.03 Cr	Unfurnished	5	Bachelors	Sale
13	Punjab Properties (Punjab.txt)	1 BHK Builder Floor	Patiala West	Patiala / Punjab	Builder Floor / 1 BHK	462	₹26.19 L	Fully-Furnished	1	Family	Sale
14	Punjab Properties (Punjab.txt)	1 BHK Apartment	Jalandhar Nagar	Jalandhar / Punjab	Apartment / 1 BHK	563	₹10,800/month	Unfurnished	1	Any	Rent
15	Punjab Properties (Punjab.txt)	3 BHK Builder Floor	Amritsar North	Amritsar / Punjab	Builder Floor / 3 BHK	1396	₹63.22 L	Semi-Furnished	3	Family	Sale
16	Punjab Properties (Punjab.txt)	3 BHK Independent House	Patiala Extension	Patiala / Punjab	Independent House / 3 BHK	1406	₹85.22 L	Unfurnished	4	Family	Sale
17	Punjab Properties (Punjab.txt)	1 BHK Studio	Ludhiana Extension	Ludhiana / Punjab	Studio / 1 BHK	417	₹29.84 L	Fully-Furnished	1	Bachelors	Sale
18	Punjab Properties (Punjab.txt)	2 BHK Apartment	Jalandhar Nagar	Jalandhar / Punjab	Apartment / 2 BHK	642	₹44.26 L	Fully-Furnished	1	Bachelors	Sale
19	Punjab Properties (Punjab.txt)	3 BHK Apartment	Patiala Residential Area	Patiala / Punjab	Apartment / 3 BHK	1242	₹77.14 L	Unfurnished	3	Bachelors	Sale
20	Punjab Properties (Punjab.txt)	3 BHK Apartment	Amritsar East	Amritsar / Punjab	Apartment / 3 BHK	1460	₹63.82 L	Semi-Furnished	4	Family	Sale
21	Punjab Properties (Punjab.txt)	1 BHK Apartment	Jalandhar Central	Jalandhar / Punjab	Apartment / 1 BHK	337	₹34.78 L	Unfurnished	2	Family	Sale
22	Punjab Properties (Punjab.txt)	4 BHK Apartment	Amritsar West	Amritsar / Punjab	Apartment / 4 BHK	1750	₹81.30 L	Unfurnished	4	Any	Sale
23	Punjab Properties (Punjab.txt)	3 BHK Villa	Amritsar Colony	Amritsar / Punjab	Villa / 3 BHK	1602	₹74.27 L	Semi-Furnished	2	Family	Sale
24	Punjab Properties (Punjab.txt)	4 BHK Apartment	Ludhiana Nagar	Ludhiana / Punjab	Apartment / 4 BHK	2426	₹24,200/month	Semi-Furnished	3	Bachelors	Rent
25	Punjab Properties (Punjab.txt)	4 BHK Apartment	Patiala Town Centre	Patiala / Punjab	Apartment / 4 BHK	1874	₹1.13 Cr	Fully-Furnished	4	Bachelors	Sale
26	Punjab Properties (Punjab.txt)	3 BHK Villa	Jalandhar Heights	Jalandhar / Punjab	Villa / 3 BHK	1456	₹77.56 L	Fully-Furnished	3	Family	Sale
27	Punjab Properties (Punjab.txt)	2 BHK Apartment	Jalandhar South	Jalandhar / Punjab	Apartment / 2 BHK	949	₹17,500/month	Semi-Furnished	3	Family	Rent
28	Punjab Properties (Punjab.txt)	4 BHK Apartment	Amritsar Nagar	Amritsar / Punjab	Apartment / 4 BHK	1618	₹23,900/month	Semi-Furnished	3	Family	Rent
29	Punjab Properties (Punjab.txt)	2 BHK Apartment	Patiala Residential Area	Patiala / Punjab	Apartment / 2 BHK	724	₹15,200/month	Fully-Furnished	3	Bachelors	Rent
30	Punjab Properties (Punjab.txt)	4 BHK Apartment	Patiala Residential Area	Patiala / Punjab	Apartment / 4 BHK	1863	₹1.02 Cr	Semi-Furnished	5	Family	Sale
31	Punjab Properties (Punjab.txt)	3 BHK Apartment	Amritsar Heights	Amritsar / Punjab	Apartment / 3 BHK	1167	₹20,600/month	Unfurnished	3	Any	Rent
32	Punjab Properties (Punjab.txt)	2 BHK Apartment	Jalandhar South	Jalandhar / Punjab	Apartment / 2 BHK	784	₹52.58 L	Semi-Furnished	1	Bachelors	Sale
33	Punjab Properties (Punjab.txt)	3 BHK Apartment	Ludhiana Sector 2	Ludhiana / Punjab	Apartment / 3 BHK	1309	₹73.22 L	Fully-Furnished	3	Any	Sale
34	Punjab Properties (Punjab.txt)	2 BHK Apartment	Ludhiana Heights	Ludhiana / Punjab	Apartment / 2 BHK	937	₹53.61 L	Fully-Furnished	1	Family	Sale
35	Punjab Properties (Punjab.txt)	2 BHK Apartment	Amritsar Residential Area	Amritsar / Punjab	Apartment / 2 BHK	980	₹47.72 L	Unfurnished	2	Bachelors	Sale
36	Punjab Properties (Punjab.txt)	2 BHK Villa	Ludhiana North	Ludhiana / Punjab	Villa / 2 BHK	1089	₹16,400/month	Semi-Furnished	2	Family	Rent
37	Punjab Properties (Punjab.txt)	3 BHK Builder Floor	Ludhiana Sector 2	Ludhiana / Punjab	Builder Floor / 3 BHK	1356	₹70.13 L	Semi-Furnished	3	Any	Sale
38	Punjab Properties (Punjab.txt)	1 BHK Apartment	Patiala South	Patiala / Punjab	Apartment / 1 BHK	434	₹9,300/month	Semi-Furnished	1	Family	Rent
39	Punjab Properties (Punjab.txt)	3 BHK Apartment	Amritsar West	Amritsar / Punjab	Apartment / 3 BHK	1480	₹81.90 L	Semi-Furnished	3	Bachelors	Sale
40	Punjab Properties (Punjab.txt)	1 BHK Apartment	Patiala Sector 3	Patiala / Punjab	Apartment / 1 BHK	441	₹38.39 L	Unfurnished	1	Any	Sale
41	Punjab Properties (Punjab.txt)	1 BHK Builder Floor	Jalandhar Heights	Jalandhar / Punjab	Builder Floor / 1 BHK	554	₹34.02 L	Unfurnished	2	Family	Sale
42	Punjab Properties (Punjab.txt)	3 BHK Independent House	Amritsar Town Centre	Amritsar / Punjab	Independent House / 3 BHK	1461	₹24,400/month	Semi-Furnished	4	Any	Rent
43	Punjab Properties (Punjab.txt)	3 BHK Apartment	Patiala South	Patiala / Punjab	Apartment / 3 BHK	1261	₹16,700/month	Fully-Furnished	4	Family	Rent
44	Punjab Properties (Punjab.txt)	3 BHK Apartment	Amritsar Heights	Amritsar / Punjab	Apartment / 3 BHK	1605	₹20,300/month	Fully-Furnished	4	Family	Rent
