No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Rajasthan Properties (Rajasthan.txt)	2 BHK Builder Floor	Jodhpur Central	Jodhpur / Rajasthan	Builder Floor / 2 BHK	930	₹50.58 L	Semi-Furnished	3	Bachelors	Sale
2	Rajasthan Properties (Rajasthan.txt)	1 BHK Builder Floor	Jodhpur West	Jodhpur / Rajasthan	Builder Floor / 1 BHK	536	₹31.28 L	Semi-Furnished	1	Any	Sale
3	Rajasthan Properties (Rajasthan.txt)	2 BHK Apartment	Udaipur Nagar	Udaipur / Rajasthan	Apartment / 2 BHK	916	₹49.69 L	Semi-Furnished	2	Bachelors	Sale
4	Rajasthan Properties (Rajasthan.txt)	2 BHK Apartment	Jodhpur Nagar	Jodhpur / Rajasthan	Apartment / 2 BHK	791	₹15,700/month	Semi-Furnished	3	Bachelors	Rent
5	Rajasthan Properties (Rajasthan.txt)	3 BHK Builder Floor	Udaipur South	Udaipur / Rajasthan	Builder Floor / 3 BHK	1114	₹64.79 L	Unfurnished	4	Family	Sale
6	Rajasthan Properties (Rajasthan.txt)	2 BHK Independent House	Jodhpur Sector 2	Jodhpur / Rajasthan	Independent House / 2 BHK	998	₹13,900/month	Semi-Furnished	2	Family	Rent
7	Rajasthan Properties (Rajasthan.txt)	2 BHK Apartment	Udaipur Sector 1	Udaipur / Rajasthan	Apartment / 2 BHK	807	₹54.76 L	Fully-Furnished	2	Bachelors	Sale
8	Rajasthan Properties (Rajasthan.txt)	2 BHK Builder Floor	Jodhpur Extension	Jodhpur / Rajasthan	Builder Floor / 2 BHK	992	₹14,200/month	Semi-Furnished	2	Family	Rent
9	Rajasthan Properties (Rajasthan.txt)	2 BHK Apartment	Udaipur Nagar	Udaipur / Rajasthan	Apartment / 2 BHK	719	₹50.32 L	Fully-Furnished	1	Any	Sale
10	Rajasthan Properties (Rajasthan.txt)	3 BHK Builder Floor	Kota Colony	Kota / Rajasthan	Builder Floor / 3 BHK	1200	₹72.23 L	Unfurnished	3	Family	Sale
11	Rajasthan Properties (Rajasthan.txt)	1 BHK Studio	Jaipur Sector 1	Jaipur / Rajasthan	Studio / 1 BHK	356	₹27.61 L	Semi-Furnished	1	Family	Sale
12	Rajasthan Properties (Rajasthan.txt)	2 BHK Apartment	Jodhpur Sector 3	Jodhpur / Rajasthan	Apartment / 2 BHK	777	₹12,300/month	Fully-Furnished	2	Bachelors	Rent
13	Rajasthan Properties (Rajasthan.txt)	4 BHK Villa	Kota South	Kota / Rajasthan	Villa / 4 BHK	1837	₹74.35 L	Unfurnished	4	Family	Sale
14	Rajasthan Properties (Rajasthan.txt)	3 BHK Apartment	Jaipur Residential Area	Jaipur / Rajasthan	Apartment / 3 BHK	1000	₹75.42 L	Fully-Furnished	3	Family	Sale
15	Rajasthan Properties (Rajasthan.txt)	3 BHK Builder Floor	Kota Residential Area	Kota / Rajasthan	Builder Floor / 3 BHK	1469	₹75.87 L	Semi-Furnished	3	Family	Sale
16	Rajasthan Properties (Rajasthan.txt)	3 BHK Builder Floor	Kota East	Kota / Rajasthan	Builder Floor / 3 BHK	1266	₹16,400/month	Semi-Furnished	4	Any	Rent
17	Rajasthan Properties (Rajasthan.txt)	2 BHK Apartment	Udaipur South	Udaipur / Rajasthan	Apartment / 2 BHK	832	₹14,800/month	Semi-Furnished	2	Any	Rent
18	Rajasthan Properties (Rajasthan.txt)	4 BHK Independent House	Jodhpur North	Jodhpur / Rajasthan	Independent House / 4 BHK	1983	₹20,800/month	Semi-Furnished	3	Bachelors	Rent
19	Rajasthan Properties (Rajasthan.txt)	1 BHK Builder Floor	Kota Extension	Kota / Rajasthan	Builder Floor / 1 BHK	514	₹36.19 L	Unfurnished	1	Any	Sale
20	Rajasthan Properties (Rajasthan.txt)	4 BHK Independent House	Jodhpur Town Centre	Jodhpur / Rajasthan	Independent House / 4 BHK	1819	₹96.31 L	Fully-Furnished	3	Family	Sale
21	Rajasthan Properties (Rajasthan.txt)	2 BHK Builder Floor	Udaipur North	Udaipur / Rajasthan	Builder Floor / 2 BHK	984	₹14,400/month	Semi-Furnished	2	Family	Rent
22	Rajasthan Properties (Rajasthan.txt)	2 BHK Apartment	Udaipur Town Centre	Udaipur / Rajasthan	Apartment / 2 BHK	737	₹55.64 L	Unfurnished	2	Family	Sale
23	Rajasthan Properties (Rajasthan.txt)	4 BHK Apartment	Jaipur West	Jaipur / Rajasthan	Apartment / 4 BHK	2220	₹99.90 L	Unfurnished	4	Family	Sale
24	Rajasthan Properties (Rajasthan.txt)	2 BHK Villa	Udaipur Extension	Udaipur / Rajasthan	Villa / 2 BHK	1081	₹13,000/month	Semi-Furnished	2	Any	Rent
25	Rajasthan Properties (Rajasthan.txt)	4 BHK Builder Floor	Kota Sector 3	Kota / Rajasthan	Builder Floor / 4 BHK	1800	₹74.78 L	Semi-Furnished	4	Family	Sale
26	Rajasthan Properties (Rajasthan.txt)	2 BHK Apartment	Udaipur Main Road	Udaipur / Rajasthan	Apartment / 2 BHK	777	₹56.99 L	Fully-Furnished	1	Family	Sale
27	Rajasthan Properties (Rajasthan.txt)	4 BHK Builder Floor	Jaipur Sector 3	Jaipur / Rajasthan	Builder Floor / 4 BHK	2201	₹94.64 L	Semi-Furnished	4	Any	Sale
28	Rajasthan Properties (Rajasthan.txt)	3 BHK Apartment	Jodhpur Colony	Jodhpur / Rajasthan	Apartment / 3 BHK	1027	₹71.21 L	Semi-Furnished	3	Family	Sale
29	Rajasthan Properties (Rajasthan.txt)	2 BHK Independent House	Kota Town Centre	Kota / Rajasthan	Independent House / 2 BHK	1200	₹56.44 L	Fully-Furnished	2	Family	Sale
30	Rajasthan Properties (Rajasthan.txt)	3 BHK Apartment	Kota Sector 3	Kota / Rajasthan	Apartment / 3 BHK	1466	₹16,400/month	Semi-Furnished	3	Family	Rent
31	Rajasthan Properties (Rajasthan.txt)	2 BHK Apartment	Kota West	Kota / Rajasthan	Apartment / 2 BHK	1017	₹11,800/month	Fully-Furnished	3	Any	Rent
32	Rajasthan Properties (Rajasthan.txt)	2 BHK Builder Floor	Jaipur Central	Jaipur / Rajasthan	Builder Floor / 2 BHK	918	₹16,100/month	Fully-Furnished	2	Any	Rent
33	Rajasthan Properties (Rajasthan.txt)	2 BHK Apartment	Jaipur South	Jaipur / Rajasthan	Apartment / 2 BHK	953	₹60.92 L	Semi-Furnished	3	Family	Sale
34	Rajasthan Properties (Rajasthan.txt)	3 BHK Builder Floor	Jodhpur Heights	Jodhpur / Rajasthan	Builder Floor / 3 BHK	1087	₹16,600/month	Semi-Furnished	3	Any	Rent
35	Rajasthan Properties (Rajasthan.txt)	1 BHK Apartment	Kota Sector 2	Kota / Rajasthan	Apartment / 1 BHK	579	₹9,300/month	Semi-Furnished	1	Bachelors	Rent
36	Rajasthan Properties (Rajasthan.txt)	3 BHK Independent House	Jaipur South	Jaipur / Rajasthan	Independent House / 3 BHK	1181	₹19,800/month	Semi-Furnished	3	Family	Rent
37	Rajasthan Properties (Rajasthan.txt)	2 BHK Apartment	Jaipur East	Jaipur / Rajasthan	Apartment / 2 BHK	858	₹15,700/month	Fully-Furnished	2	Family	Rent
38	Rajasthan Properties (Rajasthan.txt)	3 BHK Apartment	Jodhpur Town Centre	Jodhpur / Rajasthan	Apartment / 3 BHK	1512	₹83.63 L	Semi-Furnished	3	Bachelors	Sale
39	Rajasthan Properties (Rajasthan.txt)	4 BHK Apartment	Kota Sector 2	Kota / Rajasthan	Apartment / 4 BHK	1478	₹79.76 L	Fully-Furnished	4	Bachelors	Sale
40	Rajasthan Properties (Rajasthan.txt)	5 BHK Apartment	Kota Main Road	Kota / Rajasthan	Apartment / 5 BHK	2123	₹1.02 Cr	Semi-Furnished	4	Family	Sale
41	Rajasthan Properties (Rajasthan.txt)	1 BHK Independent House	Jaipur Central	Jaipur / Rajasthan	Independent House / 1 BHK	451	₹31.28 L	Semi-Furnished	1	Any	Sale
42	Rajasthan Properties (Rajasthan.txt)	2 BHK Independent House	Udaipur West	Udaipur / Rajasthan	Independent House / 2 BHK	1009	₹51.83 L	Fully-Furnished	2	Bachelors	Sale
