No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Sikkim Properties (Sikkim.txt)	2 BHK Independent House	Gangtok West	Gangtok / Sikkim	Independent House / 2 BHK	1037	₹50.57 L	Semi-Furnished	2	Family	Sale
2	Sikkim Properties (Sikkim.txt)	1 BHK Builder Floor	Gangtok South	Gangtok / Sikkim	Builder Floor / 1 BHK	442	₹32.08 L	Fully-Furnished	1	Any	Sale
3	Sikkim Properties (Sikkim.txt)	3 BHK Apartment	Namchi North	Namchi / Sikkim	Apartment / 3 BHK	1337	₹15,200/month	Semi-Furnished	3	Family	Rent
4	Sikkim Properties (Sikkim.txt)	2 BHK Apartment	Namchi North	Namchi / Sikkim	Apartment / 2 BHK	1059	₹57.70 L	Fully-Furnished	3	Bachelors	Sale
5	Sikkim Properties (Sikkim.txt)	2 BHK Apartment	Gyalshing Heights	Gyalshing / Sikkim	Apartment / 2 BHK	822	₹44.64 L	Fully-Furnished	3	Family	Sale
6	Sikkim Properties (Sikkim.txt)	5 BHK Villa	Gangtok West	Gangtok / Sikkim	Villa / 5 BHK	3361	₹36,700/month	Fully-Furnished	5	Bachelors	Rent
7	Sikkim Properties (Sikkim.txt)	1 BHK Studio	Gyalshing South	Gyalshing / Sikkim	Studio / 1 BHK	330	₹30.96 L	Semi-Furnished	1	Bachelors	Sale
8	Sikkim Properties (Sikkim.txt)	3 BHK Independent House	Gangtok South	Gangtok / Sikkim	Independent House / 3 BHK	1164	₹51.77 L	Unfurnished	3	Bachelors	Sale
9	Sikkim Properties (Sikkim.txt)	2 BHK Apartment	Namchi Nagar	Namchi / Sikkim	Apartment / 2 BHK	691	₹48.80 L	Semi-Furnished	3	Bachelors	Sale
10	Sikkim Properties (Sikkim.txt)	2 BHK Apartment	Gangtok Main Road	Gangtok / Sikkim	Apartment / 2 BHK	899	₹11,100/month	Fully-Furnished	1	Any	Rent
11	Sikkim Properties (Sikkim.txt)	4 BHK Builder Floor	Namchi Extension	Namchi / Sikkim	Builder Floor / 4 BHK	1656	₹25,300/month	Semi-Furnished	3	Bachelors	Rent
12	Sikkim Properties (Sikkim.txt)	2 BHK Apartment	Gangtok Sector 2	Gangtok / Sikkim	Apartment / 2 BHK	777	₹40.02 L	Unfurnished	3	Any	Sale
13	Sikkim Properties (Sikkim.txt)	3 BHK Independent House	Gangtok West	Gangtok / Sikkim	Independent House / 3 BHK	1771	₹79.11 L	Semi-Furnished	3	Family	Sale
14	Sikkim Properties (Sikkim.txt)	3 BHK Builder Floor	Gangtok Central	Gangtok / Sikkim	Builder Floor / 3 BHK	1238	₹55.57 L	Semi-Furnished	2	Family	Sale
15	Sikkim Properties (Sikkim.txt)	2 BHK Independent House	Namchi Heights	Namchi / Sikkim	Independent House / 2 BHK	994	₹41.69 L	Semi-Furnished	2	Bachelors	Sale
16	Sikkim Properties (Sikkim.txt)	3 BHK Builder Floor	Gangtok Sector 2	Gangtok / Sikkim	Builder Floor / 3 BHK	1036	₹14,600/month	Fully-Furnished	4	Any	Rent
17	Sikkim Properties (Sikkim.txt)	3 BHK Independent House	Namchi East	Namchi / Sikkim	Independent House / 3 BHK	1265	₹14,000/month	Semi-Furnished	3	Any	Rent
18	Sikkim Properties (Sikkim.txt)	2 BHK Apartment	Gangtok West	Gangtok / Sikkim	Apartment / 2 BHK	836	₹15,000/month	Fully-Furnished	3	Family	Rent
19	Sikkim Properties (Sikkim.txt)	4 BHK Villa	Gyalshing Extension	Gyalshing / Sikkim	Villa / 4 BHK	1359	₹73.44 L	Fully-Furnished	4	Family	Sale
