No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Tamil Nadu Properties (Tamil_Nadu.txt)	5 BHK Independent House	Tiruchirappalli Sector 1	Tiruchirappalli / Tamil Nadu	Independent House / 5 BHK	2912	₹1.47 Cr	Semi-Furnished	5	Bachelors	Sale
2	Tamil Nadu Properties (Tamil_Nadu.txt)	2 BHK Independent House	Madurai West	Madurai / Tamil Nadu	Independent House / 2 BHK	1197	₹69.86 L	Fully-Furnished	2	Bachelors	Sale
3	Tamil Nadu Properties (Tamil_Nadu.txt)	2 BHK Builder Floor	Tiruchirappalli Town Centre	Tiruchirappalli / Tamil Nadu	Builder Floor / 2 BHK	1017	₹18,500/month	Unfurnished	2	Family	Rent
4	Tamil Nadu Properties (Tamil_Nadu.txt)	2 BHK Apartment	Salem Sector 2	Salem / Tamil Nadu	Apartment / 2 BHK	699	₹59.07 L	Fully-Furnished	2	Bachelors	Sale
5	Tamil Nadu Properties (Tamil_Nadu.txt)	4 BHK Builder Floor	Coimbatore Colony	Coimbatore / Tamil Nadu	Builder Floor / 4 BHK	1536	₹1.25 Cr	Fully-Furnished	3	Family	Sale
6	Tamil Nadu Properties (Tamil_Nadu.txt)	3 BHK Villa	Coimbatore West	Coimbatore / Tamil Nadu	Villa / 3 BHK	1540	₹24,500/month	Fully-Furnished	3	Bachelors	Rent
7	Tamil Nadu Properties (Tamil_Nadu.txt)	1 BHK Studio	Salem Sector 1	Salem / Tamil Nadu	Studio / 1 BHK	395	₹11,900/month	Semi-Furnished	1	Family	Rent
8	Tamil Nadu Properties (Tamil_Nadu.txt)	3 BHK Apartment	Madurai North	Madurai / Tamil Nadu	Apartment / 3 BHK	1434	₹80.62 L	Fully-Furnished	3	Any	Sale
9	Tamil Nadu Properties (Tamil_Nadu.txt)	4 BHK Apartment	Coimbatore Sector 2	Coimbatore / Tamil Nadu	Apartment / 4 BHK	1536	₹1.02 Cr	Semi-Furnished	4	Bachelors	Sale
10	Tamil Nadu Properties (Tamil_Nadu.txt)	2 BHK Villa	Madurai West	Madurai / Tamil Nadu	Villa / 2 BHK	1132	₹16,500/month	Semi-Furnished	2	Bachelors	Rent
11	Tamil Nadu Properties (Tamil_Nadu.txt)	1 BHK Apartment	Salem West	Salem / Tamil Nadu	Apartment / 1 BHK	640	₹42.55 L	Semi-Furnished	2	Family	Sale
12	Tamil Nadu Properties (Tamil_Nadu.txt)	4 BHK Apartment	Coimbatore North	Coimbatore / Tamil Nadu	Apartment / 4 BHK	1138	₹1.13 Cr	Semi-Furnished	3	Family	Sale
13	Tamil Nadu Properties (Tamil_Nadu.txt)	1 BHK Independent House	Madurai Sector 1	Madurai / Tamil Nadu	Independent House / 1 BHK	634	₹36.37 L	Semi-Furnished	1	Family	Sale
14	Tamil Nadu Properties (Tamil_Nadu.txt)	3 BHK Independent House	Salem Residential Area	Salem / Tamil Nadu	Independent House / 3 BHK	1251	₹24,600/month	Fully-Furnished	3	Family	Rent
15	Tamil Nadu Properties (Tamil_Nadu.txt)	1 BHK Apartment	Tiruchirappalli West	Tiruchirappalli / Tamil Nadu	Apartment / 1 BHK	544	₹38.46 L	Unfurnished	1	Any	Sale
16	Tamil Nadu Properties (Tamil_Nadu.txt)	1 BHK Independent House	Chennai Residential Area	Chennai / Tamil Nadu	Independent House / 1 BHK	618	₹11,400/month	Semi-Furnished	1	Any	Rent
17	Tamil Nadu Properties (Tamil_Nadu.txt)	5 BHK Independent House	Chennai East	Chennai / Tamil Nadu	Independent House / 5 BHK	3003	₹47,900/month	Semi-Furnished	4	Family	Rent
18	Tamil Nadu Properties (Tamil_Nadu.txt)	3 BHK Apartment	Tiruchirappalli Nagar	Tiruchirappalli / Tamil Nadu	Apartment / 3 BHK	1126	₹99.55 L	Fully-Furnished	3	Bachelors	Sale
19	Tamil Nadu Properties (Tamil_Nadu.txt)	2 BHK Builder Floor	Chennai Main Road	Chennai / Tamil Nadu	Builder Floor / 2 BHK	778	₹56.15 L	Semi-Furnished	1	Family	Sale
