No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Telangana Properties (Telangana.txt)	2 BHK Independent House	Karimnagar Nagar	Karimnagar / Telangana	Independent House / 2 BHK	1096	₹16,300/month	Unfurnished	2	Bachelors	Rent
2	Telangana Properties (Telangana.txt)	2 BHK Apartment	Nizamabad Sector 3	Nizamabad / Telangana	Apartment / 2 BHK	943	₹60.59 L	Semi-Furnished	2	Bachelors	Sale
3	Telangana Properties (Telangana.txt)	3 BHK Apartment	Hyderabad Residential Area	Hyderabad / Telangana	Apartment / 3 BHK	1307	₹1.07 Cr	Fully-Furnished	3	Bachelors	Sale
4	Telangana Properties (Telangana.txt)	2 BHK Apartment	Hyderabad North	Hyderabad / Telangana	Apartment / 2 BHK	839	₹19,600/month	Semi-Furnished	3	Any	Rent
5	Telangana Properties (Telangana.txt)	1 BHK Independent House	Khammam Sector 3	Khammam / Telangana	Independent House / 1 BHK	685	₹51.41 L	Unfurnished	1	Any	Sale
6	Telangana Properties (Telangana.txt)	4 BHK Apartment	Khammam Heights	Khammam / Telangana	Apartment / 4 BHK	2088	₹27,800/month	Semi-Furnished	4	Family	Rent
7	Telangana Properties (Telangana.txt)	5 BHK Apartment	Hyderabad Nagar	Hyderabad / Telangana	Apartment / 5 BHK	2711	₹44,400/month	Semi-Furnished	5	Family	Rent
8	Telangana Properties (Telangana.txt)	2 BHK Apartment	Nizamabad Extension	Nizamabad / Telangana	Apartment / 2 BHK	702	₹66.79 L	Semi-Furnished	2	Family	Sale
9	Telangana Properties (Telangana.txt)	3 BHK Builder Floor	Nizamabad Sector 1	Nizamabad / Telangana	Builder Floor / 3 BHK	1382	₹91 L	Fully-Furnished	2	Family	Sale
10	Telangana Properties (Telangana.txt)	2 BHK Independent House	Karimnagar Sector 3	Karimnagar / Telangana	Independent House / 2 BHK	961	₹16,100/month	Semi-Furnished	2	Family	Rent
11	Telangana Properties (Telangana.txt)	3 BHK Builder Floor	Nizamabad Extension	Nizamabad / Telangana	Builder Floor / 3 BHK	1146	₹25,500/month	Unfurnished	3	Any	Rent
12	Telangana Properties (Telangana.txt)	3 BHK Independent House	Warangal Sector 1	Warangal / Telangana	Independent House / 3 BHK	1024	₹75.49 L	Semi-Furnished	4	Any	Sale
13	Telangana Properties (Telangana.txt)	2 BHK Builder Floor	Nizamabad North	Nizamabad / Telangana	Builder Floor / 2 BHK	805	₹60.04 L	Semi-Furnished	2	Family	Sale
14	Telangana Properties (Telangana.txt)	5 BHK Apartment	Karimnagar Sector 3	Karimnagar / Telangana	Apartment / 5 BHK	2685	₹39,800/month	Fully-Furnished	5	Bachelors	Rent
15	Telangana Properties (Telangana.txt)	2 BHK Independent House	Khammam South	Khammam / Telangana	Independent House / 2 BHK	1267	₹84.69 L	Fully-Furnished	2	Family	Sale
16	Telangana Properties (Telangana.txt)	1 BHK Studio	Nizamabad Sector 3	Nizamabad / Telangana	Studio / 1 BHK	335	₹10,700/month	Fully-Furnished	1	Bachelors	Rent
17	Telangana Properties (Telangana.txt)	1 BHK Studio	Karimnagar West	Karimnagar / Telangana	Studio / 1 BHK	327	₹31.86 L	Semi-Furnished	1	Family	Sale
18	Telangana Properties (Telangana.txt)	3 BHK Apartment	Nizamabad South	Nizamabad / Telangana	Apartment / 3 BHK	1212	₹79.97 L	Semi-Furnished	2	Family	Sale
19	Telangana Properties (Telangana.txt)	2 BHK Apartment	Khammam North	Khammam / Telangana	Apartment / 2 BHK	1027	₹17,500/month	Unfurnished	2	Family	Rent
20	Telangana Properties (Telangana.txt)	1 BHK Apartment	Hyderabad Town Centre	Hyderabad / Telangana	Apartment / 1 BHK	514	₹35.06 L	Fully-Furnished	1	Bachelors	Sale
21	Telangana Properties (Telangana.txt)	2 BHK Apartment	Hyderabad Residential Area	Hyderabad / Telangana	Apartment / 2 BHK	784	₹75.37 L	Semi-Furnished	2	Bachelors	Sale
22	Telangana Properties (Telangana.txt)	2 BHK Builder Floor	Khammam Extension	Khammam / Telangana	Builder Floor / 2 BHK	810	₹19,500/month	Unfurnished	3	Family	Rent
23	Telangana Properties (Telangana.txt)	5 BHK Apartment	Nizamabad North	Nizamabad / Telangana	Apartment / 5 BHK	2412	₹1.69 Cr	Unfurnished	4	Any	Sale
24	Telangana Properties (Telangana.txt)	4 BHK Villa	Nizamabad Main Road	Nizamabad / Telangana	Villa / 4 BHK	2370	₹30,000/month	Fully-Furnished	4	Family	Rent
25	Telangana Properties (Telangana.txt)	2 BHK Builder Floor	Nizamabad South	Nizamabad / Telangana	Builder Floor / 2 BHK	677	₹69.44 L	Fully-Furnished	2	Bachelors	Sale
