No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Tripura Properties (Tripura.txt)	4 BHK Independent House	Dharmanagar South	Dharmanagar / Tripura	Independent House / 4 BHK	2051	₹64.14 L	Fully-Furnished	4	Any	Sale
2	Tripura Properties (Tripura.txt)	4 BHK Apartment	Dharmanagar Sector 1	Dharmanagar / Tripura	Apartment / 4 BHK	1312	₹53.57 L	Unfurnished	5	Any	Sale
3	Tripura Properties (Tripura.txt)	2 BHK Independent House	Udaipur South	Udaipur / Tripura	Independent House / 2 BHK	974	₹42.60 L	Fully-Furnished	2	Family	Sale
4	Tripura Properties (Tripura.txt)	2 BHK Apartment	Udaipur South	Udaipur / Tripura	Apartment / 2 BHK	780	₹34.66 L	Semi-Furnished	3	Family	Sale
5	Tripura Properties (Tripura.txt)	3 BHK Apartment	Udaipur West	Udaipur / Tripura	Apartment / 3 BHK	941	₹12,600/month	Unfurnished	3	Family	Rent
6	Tripura Properties (Tripura.txt)	3 BHK Apartment	Dharmanagar Heights	Dharmanagar / Tripura	Apartment / 3 BHK	1239	₹15,300/month	Semi-Furnished	3	Family	Rent
7	Tripura Properties (Tripura.txt)	3 BHK Independent House	Agartala Central	Agartala / Tripura	Independent House / 3 BHK	1902	₹17,000/month	Semi-Furnished	2	Any	Rent
8	Tripura Properties (Tripura.txt)	2 BHK Builder Floor	Udaipur South	Udaipur / Tripura	Builder Floor / 2 BHK	797	₹8,900/month	Fully-Furnished	2	Any	Rent
9	Tripura Properties (Tripura.txt)	5 BHK Apartment	Udaipur Residential Area	Udaipur / Tripura	Apartment / 5 BHK	2325	₹89.45 L	Fully-Furnished	5	Bachelors	Sale
10	Tripura Properties (Tripura.txt)	1 BHK Independent House	Agartala Sector 3	Agartala / Tripura	Independent House / 1 BHK	631	₹20.70 L	Unfurnished	1	Family	Sale
11	Tripura Properties (Tripura.txt)	3 BHK Apartment	Udaipur North	Udaipur / Tripura	Apartment / 3 BHK	1030	₹49.08 L	Semi-Furnished	3	Any	Sale
12	Tripura Properties (Tripura.txt)	4 BHK Apartment	Agartala Sector 3	Agartala / Tripura	Apartment / 4 BHK	2026	₹66.44 L	Unfurnished	4	Family	Sale
13	Tripura Properties (Tripura.txt)	1 BHK Studio	Agartala Main Road	Agartala / Tripura	Studio / 1 BHK	406	₹21.71 L	Fully-Furnished	1	Family	Sale
14	Tripura Properties (Tripura.txt)	2 BHK Villa	Udaipur Central	Udaipur / Tripura	Villa / 2 BHK	1293	₹32.22 L	Unfurnished	2	Any	Sale
15	Tripura Properties (Tripura.txt)	2 BHK Builder Floor	Agartala Central	Agartala / Tripura	Builder Floor / 2 BHK	905	₹33.57 L	Unfurnished	2	Any	Sale
16	Tripura Properties (Tripura.txt)	3 BHK Apartment	Agartala Sector 3	Agartala / Tripura	Apartment / 3 BHK	1194	₹10,600/month	Unfurnished	3	Any	Rent
17	Tripura Properties (Tripura.txt)	2 BHK Independent House	Udaipur Main Road	Udaipur / Tripura	Independent House / 2 BHK	969	₹8,600/month	Semi-Furnished	1	Family	Rent
18	Tripura Properties (Tripura.txt)	1 BHK Builder Floor	Udaipur Residential Area	Udaipur / Tripura	Builder Floor / 1 BHK	443	₹25.75 L	Semi-Furnished	1	Bachelors	Sale
19	Tripura Properties (Tripura.txt)	3 BHK Apartment	Agartala Nagar	Agartala / Tripura	Apartment / 3 BHK	1149	₹12,400/month	Unfurnished	3	Any	Rent
20	Tripura Properties (Tripura.txt)	4 BHK Apartment	Dharmanagar Extension	Dharmanagar / Tripura	Apartment / 4 BHK	1853	₹67.19 L	Semi-Furnished	4	Family	Sale
21	Tripura Properties (Tripura.txt)	3 BHK Apartment	Agartala Town Centre	Agartala / Tripura	Apartment / 3 BHK	705	₹9,900/month	Semi-Furnished	3	Any	Rent
22	Tripura Properties (Tripura.txt)	2 BHK Apartment	Udaipur Sector 1	Udaipur / Tripura	Apartment / 2 BHK	859	₹7,900/month	Unfurnished	3	Bachelors	Rent
23	Tripura Properties (Tripura.txt)	2 BHK Independent House	Dharmanagar Sector 3	Dharmanagar / Tripura	Independent House / 2 BHK	1009	₹42.78 L	Semi-Furnished	1	Bachelors	Sale
24	Tripura Properties (Tripura.txt)	2 BHK Villa	Dharmanagar West	Dharmanagar / Tripura	Villa / 2 BHK	1282	₹31.87 L	Fully-Furnished	2	Any	Sale
25	Tripura Properties (Tripura.txt)	1 BHK Apartment	Udaipur Sector 2	Udaipur / Tripura	Apartment / 1 BHK	570	₹25.97 L	Unfurnished	1	Any	Sale
26	Tripura Properties (Tripura.txt)	2 BHK Builder Floor	Udaipur South	Udaipur / Tripura	Builder Floor / 2 BHK	825	₹9,500/month	Semi-Furnished	3	Any	Rent
27	Tripura Properties (Tripura.txt)	2 BHK Independent House	Dharmanagar Residential Area	Dharmanagar / Tripura	Independent House / 2 BHK	1166	₹12,100/month	Fully-Furnished	2	Family	Rent
28	Tripura Properties (Tripura.txt)	1 BHK Apartment	Udaipur Town Centre	Udaipur / Tripura	Apartment / 1 BHK	456	₹5,200/month	Semi-Furnished	1	Family	Rent
29	Tripura Properties (Tripura.txt)	1 BHK Builder Floor	Udaipur South	Udaipur / Tripura	Builder Floor / 1 BHK	589	₹27.51 L	Semi-Furnished	1	Bachelors	Sale
30	Tripura Properties (Tripura.txt)	2 BHK Apartment	Udaipur Heights	Udaipur / Tripura	Apartment / 2 BHK	774	₹9,800/month	Fully-Furnished	1	Family	Rent
31	Tripura Properties (Tripura.txt)	3 BHK Apartment	Dharmanagar Sector 1	Dharmanagar / Tripura	Apartment / 3 BHK	1351	₹42.48 L	Fully-Furnished	3	Bachelors	Sale
32	Tripura Properties (Tripura.txt)	3 BHK Apartment	Agartala Colony	Agartala / Tripura	Apartment / 3 BHK	1350	₹15,100/month	Unfurnished	4	Any	Rent
33	Tripura Properties (Tripura.txt)	5 BHK Apartment	Udaipur Heights	Udaipur / Tripura	Apartment / 5 BHK	2961	₹77.81 L	Unfurnished	4	Family	Sale
34	Tripura Properties (Tripura.txt)	3 BHK Apartment	Agartala South	Agartala / Tripura	Apartment / 3 BHK	1582	₹15,300/month	Unfurnished	2	Bachelors	Rent
35	Tripura Properties (Tripura.txt)	3 BHK Apartment	Dharmanagar Heights	Dharmanagar / Tripura	Apartment / 3 BHK	1563	₹59.36 L	Unfurnished	3	Family	Sale
36	Tripura Properties (Tripura.txt)	1 BHK Apartment	Agartala Nagar	Agartala / Tripura	Apartment / 1 BHK	562	₹6,500/month	Unfurnished	1	Family	Rent
37	Tripura Properties (Tripura.txt)	2 BHK Apartment	Udaipur West	Udaipur / Tripura	Apartment / 2 BHK	1006	₹10,600/month	Semi-Furnished	2	Family	Rent
38	Tripura Properties (Tripura.txt)	3 BHK Independent House	Udaipur Main Road	Udaipur / Tripura	Independent House / 3 BHK	1307	₹11,500/month	Semi-Furnished	3	Family	Rent
39	Tripura Properties (Tripura.txt)	4 BHK Apartment	Agartala Sector 1	Agartala / Tripura	Apartment / 4 BHK	1528	₹59 L	Unfurnished	4	Family	Sale
40	Tripura Properties (Tripura.txt)	1 BHK Studio	Dharmanagar North	Dharmanagar / Tripura	Studio / 1 BHK	383	₹4,900/month	Fully-Furnished	1	Family	Rent
41	Tripura Properties (Tripura.txt)	2 BHK Apartment	Udaipur Sector 2	Udaipur / Tripura	Apartment / 2 BHK	944	₹34.80 L	Semi-Furnished	2	Family	Sale
42	Tripura Properties (Tripura.txt)	4 BHK Apartment	Agartala Central	Agartala / Tripura	Apartment / 4 BHK	1521	₹15,000/month	Fully-Furnished	4	Any	Rent
43	Tripura Properties (Tripura.txt)	1 BHK Apartment	Agartala Sector 2	Agartala / Tripura	Apartment / 1 BHK	505	₹7,100/month	Unfurnished	1	Family	Rent
44	Tripura Properties (Tripura.txt)	2 BHK Apartment	Udaipur South	Udaipur / Tripura	Apartment / 2 BHK	851	₹40.70 L	Fully-Furnished	2	Bachelors	Sale
45	Tripura Properties (Tripura.txt)	4 BHK Independent House	Udaipur Extension	Udaipur / Tripura	Independent House / 4 BHK	1978	₹53.97 L	Semi-Furnished	4	Family	Sale
46	Tripura Properties (Tripura.txt)	3 BHK Apartment	Udaipur Sector 1	Udaipur / Tripura	Apartment / 3 BHK	1349	₹42.76 L	Unfurnished	2	Any	Sale
47	Tripura Properties (Tripura.txt)	4 BHK Apartment	Dharmanagar West	Dharmanagar / Tripura	Apartment / 4 BHK	1731	₹54 L	Semi-Furnished	3	Any	Sale
48	Tripura Properties (Tripura.txt)	2 BHK Apartment	Agartala South	Agartala / Tripura	Apartment / 2 BHK	765	₹29.25 L	Semi-Furnished	2	Family	Sale
49	Tripura Properties (Tripura.txt)	4 BHK Apartment	Agartala Residential Area	Agartala / Tripura	Apartment / 4 BHK	1813	₹15,600/month	Semi-Furnished	5	Bachelors	Rent
50	Tripura Properties (Tripura.txt)	2 BHK Builder Floor	Agartala South	Agartala / Tripura	Builder Floor / 2 BHK	978	₹8,100/month	Semi-Furnished	2	Any	Rent
51	Tripura Properties (Tripura.txt)	4 BHK Apartment	Agartala Extension	Agartala / Tripura	Apartment / 4 BHK	1464	₹17,400/month	Semi-Furnished	4	Family	Rent
52	Tripura Properties (Tripura.txt)	1 BHK Apartment	Udaipur Town Centre	Udaipur / Tripura	Apartment / 1 BHK	437	₹6,100/month	Fully-Furnished	2	Any	Rent
53	Tripura Properties (Tripura.txt)	1 BHK Builder Floor	Udaipur Extension	Udaipur / Tripura	Builder Floor / 1 BHK	440	₹5,400/month	Semi-Furnished	1	Any	Rent
54	Tripura Properties (Tripura.txt)	1 BHK Independent House	Agartala Extension	Agartala / Tripura	Independent House / 1 BHK	545	₹24.41 L	Fully-Furnished	1	Family	Sale
55	Tripura Properties (Tripura.txt)	3 BHK Independent House	Agartala Colony	Agartala / Tripura	Independent House / 3 BHK	1796	₹16,600/month	Semi-Furnished	4	Family	Rent
56	Tripura Properties (Tripura.txt)	2 BHK Builder Floor	Dharmanagar Residential Area	Dharmanagar / Tripura	Builder Floor / 2 BHK	874	₹9,800/month	Fully-Furnished	3	Any	Rent
57	Tripura Properties (Tripura.txt)	3 BHK Villa	Agartala Nagar	Agartala / Tripura	Villa / 3 BHK	1533	₹11,300/month	Unfurnished	4	Any	Rent
58	Tripura Properties (Tripura.txt)	3 BHK Builder Floor	Dharmanagar West	Dharmanagar / Tripura	Builder Floor / 3 BHK	1353	₹11,100/month	Semi-Furnished	3	Bachelors	Rent
59	Tripura Properties (Tripura.txt)	1 BHK Villa	Dharmanagar Extension	Dharmanagar / Tripura	Villa / 1 BHK	558	₹21.03 L	Semi-Furnished	1	Family	Sale
60	Tripura Properties (Tripura.txt)	4 BHK Apartment	Dharmanagar East	Dharmanagar / Tripura	Apartment / 4 BHK	1887	₹61.80 L	Fully-Furnished	5	Family	Sale
61	Tripura Properties (Tripura.txt)	1 BHK Builder Floor	Agartala East	Agartala / Tripura	Builder Floor / 1 BHK	527	₹6,400/month	Semi-Furnished	1	Family	Rent
62	Tripura Properties (Tripura.txt)	3 BHK Villa	Agartala North	Agartala / Tripura	Villa / 3 BHK	1917	₹14,700/month	Fully-Furnished	4	Family	Rent
63	Tripura Properties (Tripura.txt)	2 BHK Villa	Agartala Main Road	Agartala / Tripura	Villa / 2 BHK	1266	₹33.92 L	Unfurnished	3	Family	Sale
64	Tripura Properties (Tripura.txt)	1 BHK Independent House	Agartala Nagar	Agartala / Tripura	Independent House / 1 BHK	573	₹25.50 L	Semi-Furnished	2	Bachelors	Sale
65	Tripura Properties (Tripura.txt)	4 BHK Independent House	Dharmanagar Heights	Dharmanagar / Tripura	Independent House / 4 BHK	2066	₹17,400/month	Fully-Furnished	4	Bachelors	Rent
66	Tripura Properties (Tripura.txt)	3 BHK Independent House	Agartala Residential Area	Agartala / Tripura	Independent House / 3 BHK	1319	₹41.31 L	Semi-Furnished	2	Any	Sale
67	Tripura Properties (Tripura.txt)	3 BHK Independent House	Agartala Sector 1	Agartala / Tripura	Independent House / 3 BHK	1705	₹14,300/month	Semi-Furnished	2	Family	Rent
68	Tripura Properties (Tripura.txt)	1 BHK Apartment	Udaipur Central	Udaipur / Tripura	Apartment / 1 BHK	347	₹22.51 L	Fully-Furnished	1	Family	Sale
69	Tripura Properties (Tripura.txt)	4 BHK Apartment	Dharmanagar Heights	Dharmanagar / Tripura	Apartment / 4 BHK	1778	₹60.29 L	Semi-Furnished	5	Bachelors	Sale
70	Tripura Properties (Tripura.txt)	3 BHK Apartment	Agartala Nagar	Agartala / Tripura	Apartment / 3 BHK	1398	₹49.70 L	Semi-Furnished	2	Bachelors	Sale
71	Tripura Properties (Tripura.txt)	3 BHK Builder Floor	Udaipur Colony	Udaipur / Tripura	Builder Floor / 3 BHK	1191	₹15,500/month	Fully-Furnished	3	Bachelors	Rent
72	Tripura Properties (Tripura.txt)	2 BHK Apartment	Dharmanagar Central	Dharmanagar / Tripura	Apartment / 2 BHK	869	₹29.47 L	Fully-Furnished	3	Any	Sale
73	Tripura Properties (Tripura.txt)	4 BHK Apartment	Udaipur South	Udaipur / Tripura	Apartment / 4 BHK	1274	₹69.32 L	Semi-Furnished	4	Any	Sale
74	Tripura Properties (Tripura.txt)	1 BHK Independent House	Udaipur Town Centre	Udaipur / Tripura	Independent House / 1 BHK	675	₹25.83 L	Semi-Furnished	1	Family	Sale
75	Tripura Properties (Tripura.txt)	3 BHK Apartment	Dharmanagar Town Centre	Dharmanagar / Tripura	Apartment / 3 BHK	1110	₹55.53 L	Semi-Furnished	3	Bachelors	Sale
76	Tripura Properties (Tripura.txt)	2 BHK Apartment	Agartala Nagar	Agartala / Tripura	Apartment / 2 BHK	738	₹39.64 L	Unfurnished	2	Any	Sale
77	Tripura Properties (Tripura.txt)	2 BHK Villa	Dharmanagar Town Centre	Dharmanagar / Tripura	Villa / 2 BHK	1218	₹11,700/month	Semi-Furnished	1	Bachelors	Rent
78	Tripura Properties (Tripura.txt)	1 BHK Apartment	Dharmanagar Sector 1	Dharmanagar / Tripura	Apartment / 1 BHK	454	₹24.71 L	Unfurnished	1	Any	Sale
79	Tripura Properties (Tripura.txt)	1 BHK Studio	Dharmanagar North	Dharmanagar / Tripura	Studio / 1 BHK	385	₹17.11 L	Semi-Furnished	1	Any	Sale
80	Tripura Properties (Tripura.txt)	3 BHK Independent House	Agartala South	Agartala / Tripura	Independent House / 3 BHK	1330	₹49.34 L	Unfurnished	3	Family	Sale
81	Tripura Properties (Tripura.txt)	1 BHK Apartment	Agartala East	Agartala / Tripura	Apartment / 1 BHK	412	₹18.09 L	Unfurnished	1	Family	Sale
82	Tripura Properties (Tripura.txt)	3 BHK Apartment	Dharmanagar South	Dharmanagar / Tripura	Apartment / 3 BHK	1021	₹14,100/month	Fully-Furnished	3	Family	Rent
83	Tripura Properties (Tripura.txt)	3 BHK Apartment	Dharmanagar Main Road	Dharmanagar / Tripura	Apartment / 3 BHK	1046	₹14,800/month	Unfurnished	3	Family	Rent
84	Tripura Properties (Tripura.txt)	3 BHK Apartment	Agartala Sector 2	Agartala / Tripura	Apartment / 3 BHK	942	₹42.10 L	Semi-Furnished	3	Bachelors	Sale
85	Tripura Properties (Tripura.txt)	4 BHK Apartment	Udaipur South	Udaipur / Tripura	Apartment / 4 BHK	1247	₹58.72 L	Fully-Furnished	4	Family	Sale
86	Tripura Properties (Tripura.txt)	3 BHK Builder Floor	Agartala Main Road	Agartala / Tripura	Builder Floor / 3 BHK	1288	₹14,900/month	Fully-Furnished	3	Family	Rent
87	Tripura Properties (Tripura.txt)	1 BHK Studio	Agartala Central	Agartala / Tripura	Studio / 1 BHK	437	₹6,100/month	Fully-Furnished	1	Bachelors	Rent
88	Tripura Properties (Tripura.txt)	4 BHK Apartment	Agartala South	Agartala / Tripura	Apartment / 4 BHK	2274	₹65.95 L	Semi-Furnished	4	Family	Sale
89	Tripura Properties (Tripura.txt)	2 BHK Apartment	Agartala Heights	Agartala / Tripura	Apartment / 2 BHK	810	₹29.85 L	Unfurnished	2	Family	Sale
90	Tripura Properties (Tripura.txt)	3 BHK Apartment	Udaipur North	Udaipur / Tripura	Apartment / 3 BHK	1433	₹42.44 L	Fully-Furnished	3	Any	Sale
91	Tripura Properties (Tripura.txt)	2 BHK Builder Floor	Agartala Main Road	Agartala / Tripura	Builder Floor / 2 BHK	680	₹28.52 L	Semi-Furnished	1	Family	Sale
92	Tripura Properties (Tripura.txt)	3 BHK Independent House	Agartala Heights	Agartala / Tripura	Independent House / 3 BHK	1635	₹11,500/month	Unfurnished	2	Any	Rent
93	Tripura Properties (Tripura.txt)	4 BHK Apartment	Dharmanagar Colony	Dharmanagar / Tripura	Apartment / 4 BHK	1659	₹52.81 L	Semi-Furnished	4	Family	Sale
94	Tripura Properties (Tripura.txt)	1 BHK Studio	Udaipur Nagar	Udaipur / Tripura	Studio / 1 BHK	466	₹24.88 L	Unfurnished	1	Family	Sale
95	Tripura Properties (Tripura.txt)	1 BHK Independent House	Agartala Extension	Agartala / Tripura	Independent House / 1 BHK	573	₹21.31 L	Unfurnished	1	Family	Sale
96	Tripura Properties (Tripura.txt)	4 BHK Apartment	Dharmanagar Central	Dharmanagar / Tripura	Apartment / 4 BHK	1819	₹63.11 L	Semi-Furnished	3	Any	Sale
97	Tripura Properties (Tripura.txt)	2 BHK Apartment	Udaipur Town Centre	Udaipur / Tripura	Apartment / 2 BHK	736	₹8,900/month	Semi-Furnished	2	Family	Rent
98	Tripura Properties (Tripura.txt)	1 BHK Studio	Dharmanagar Town Centre	Dharmanagar / Tripura	Studio / 1 BHK	380	₹5,000/month	Semi-Furnished	1	Any	Rent
99	Tripura Properties (Tripura.txt)	4 BHK Apartment	Dharmanagar Sector 2	Dharmanagar / Tripura	Apartment / 4 BHK	2131	₹17,900/month	Unfurnished	5	Any	Rent
100	Tripura Properties (Tripura.txt)	2 BHK Independent House	Dharmanagar Central	Dharmanagar / Tripura	Independent House / 2 BHK	1229	₹9,800/month	Semi-Furnished	3	Family	Rent
101	Tripura Properties (Tripura.txt)	4 BHK Apartment	Udaipur East	Udaipur / Tripura	Apartment / 4 BHK	2016	₹57.54 L	Semi-Furnished	4	Bachelors	Sale
102	Tripura Properties (Tripura.txt)	2 BHK Independent House	Agartala West	Agartala / Tripura	Independent House / 2 BHK	1354	₹40.17 L	Fully-Furnished	1	Bachelors	Sale
103	Tripura Properties (Tripura.txt)	1 BHK Apartment	Udaipur Central	Udaipur / Tripura	Apartment / 1 BHK	656	₹26.83 L	Semi-Furnished	1	Any	Sale
104	Tripura Properties (Tripura.txt)	3 BHK Independent House	Dharmanagar Sector 2	Dharmanagar / Tripura	Independent House / 3 BHK	1271	₹44.95 L	Fully-Furnished	3	Bachelors	Sale
105	Tripura Properties (Tripura.txt)	1 BHK Builder Floor	Agartala Nagar	Agartala / Tripura	Builder Floor / 1 BHK	556	₹7,000/month	Semi-Furnished	1	Family	Rent
106	Tripura Properties (Tripura.txt)	2 BHK Apartment	Udaipur Main Road	Udaipur / Tripura	Apartment / 2 BHK	805	₹35.18 L	Semi-Furnished	3	Family	Sale
107	Tripura Properties (Tripura.txt)	3 BHK Builder Floor	Udaipur Main Road	Udaipur / Tripura	Builder Floor / 3 BHK	890	₹37.46 L	Semi-Furnished	4	Any	Sale
108	Tripura Properties (Tripura.txt)	2 BHK Apartment	Udaipur South	Udaipur / Tripura	Apartment / 2 BHK	942	₹41.19 L	Unfurnished	3	Any	Sale
109	Tripura Properties (Tripura.txt)	3 BHK Apartment	Dharmanagar Sector 2	Dharmanagar / Tripura	Apartment / 3 BHK	1450	₹41.01 L	Fully-Furnished	3	Family	Sale
110	Tripura Properties (Tripura.txt)	4 BHK Apartment	Dharmanagar Heights	Dharmanagar / Tripura	Apartment / 4 BHK	1015	₹63.92 L	Semi-Furnished	4	Family	Sale
111	Tripura Properties (Tripura.txt)	4 BHK Apartment	Dharmanagar South	Dharmanagar / Tripura	Apartment / 4 BHK	1459	₹62.41 L	Fully-Furnished	4	Family	Sale
112	Tripura Properties (Tripura.txt)	3 BHK Builder Floor	Agartala Nagar	Agartala / Tripura	Builder Floor / 3 BHK	1533	₹60.07 L	Semi-Furnished	4	Family	Sale
113	Tripura Properties (Tripura.txt)	4 BHK Builder Floor	Udaipur East	Udaipur / Tripura	Builder Floor / 4 BHK	2018	₹15,900/month	Semi-Furnished	4	Bachelors	Rent
114	Tripura Properties (Tripura.txt)	4 BHK Builder Floor	Dharmanagar Colony	Dharmanagar / Tripura	Builder Floor / 4 BHK	1722	₹13,700/month	Unfurnished	3	Bachelors	Rent
