No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Uttar Pradesh Properties (Uttar_Pradesh.txt)	3 BHK Apartment	Lucknow Sector 2	Lucknow / Uttar Pradesh	Apartment / 3 BHK	1147	₹80.32 L	Fully-Furnished	3	Family	Sale
2	Uttar Pradesh Properties (Uttar_Pradesh.txt)	2 BHK Apartment	Ghaziabad Sector 3	Ghaziabad / Uttar Pradesh	Apartment / 2 BHK	855	₹18,000/month	Semi-Furnished	1	Bachelors	Rent
3	Uttar Pradesh Properties (Uttar_Pradesh.txt)	4 BHK Apartment	Varanasi East	Varanasi / Uttar Pradesh	Apartment / 4 BHK	1798	₹1.05 Cr	Semi-Furnished	4	Bachelors	Sale
4	Uttar Pradesh Properties (Uttar_Pradesh.txt)	3 BHK Apartment	Varanasi East	Varanasi / Uttar Pradesh	Apartment / 3 BHK	1359	₹86.53 L	Semi-Furnished	3	Family	Sale
5	Uttar Pradesh Properties (Uttar_Pradesh.txt)	2 BHK Independent House	Kanpur Residential Area	Kanpur / Uttar Pradesh	Independent House / 2 BHK	922	₹67.79 L	Semi-Furnished	2	Any	Sale
6	Uttar Pradesh Properties (Uttar_Pradesh.txt)	3 BHK Apartment	Kanpur Residential Area	Kanpur / Uttar Pradesh	Apartment / 3 BHK	1487	₹21,900/month	Fully-Furnished	3	Family	Rent
7	Uttar Pradesh Properties (Uttar_Pradesh.txt)	2 BHK Apartment	Ghaziabad Central	Ghaziabad / Uttar Pradesh	Apartment / 2 BHK	1145	₹16,000/month	Semi-Furnished	1	Family	Rent
8	Uttar Pradesh Properties (Uttar_Pradesh.txt)	4 BHK Builder Floor	Kanpur Main Road	Kanpur / Uttar Pradesh	Builder Floor / 4 BHK	1602	₹95.56 L	Semi-Furnished	4	Bachelors	Sale
9	Uttar Pradesh Properties (Uttar_Pradesh.txt)	3 BHK Apartment	Lucknow West	Lucknow / Uttar Pradesh	Apartment / 3 BHK	1285	₹83.93 L	Unfurnished	3	Family	Sale
10	Uttar Pradesh Properties (Uttar_Pradesh.txt)	4 BHK Apartment	Ghaziabad South	Ghaziabad / Uttar Pradesh	Apartment / 4 BHK	1905	₹31,200/month	Semi-Furnished	4	Any	Rent
