No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	Uttarakhand Properties (Uttarakhand.txt)	5 BHK Apartment	Haldwani Nagar	Haldwani / Uttarakhand	Apartment / 5 BHK	2309	₹27,800/month	Semi-Furnished	5	Any	Rent
2	Uttarakhand Properties (Uttarakhand.txt)	3 BHK Builder Floor	Haldwani Main Road	Haldwani / Uttarakhand	Builder Floor / 3 BHK	1328	₹85.10 L	Fully-Furnished	3	Family	Sale
3	Uttarakhand Properties (Uttarakhand.txt)	3 BHK Independent House	Rishikesh Town Centre	Rishikesh / Uttarakhand	Independent House / 3 BHK	1219	₹16,800/month	Semi-Furnished	3	Family	Rent
4	Uttarakhand Properties (Uttarakhand.txt)	3 BHK Builder Floor	Haridwar Sector 3	Haridwar / Uttarakhand	Builder Floor / 3 BHK	1203	₹70.87 L	Unfurnished	3	Family	Sale
5	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Apartment	Rishikesh Sector 2	Rishikesh / Uttarakhand	Apartment / 2 BHK	775	₹51.86 L	Semi-Furnished	3	Family	Sale
6	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Apartment	Dehradun Sector 3	Dehradun / Uttarakhand	Apartment / 2 BHK	896	₹17,300/month	Unfurnished	2	Any	Rent
7	Uttarakhand Properties (Uttarakhand.txt)	1 BHK Builder Floor	Haldwani Sector 2	Haldwani / Uttarakhand	Builder Floor / 1 BHK	440	₹28.34 L	Unfurnished	1	Family	Sale
8	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Independent House	Rishikesh Sector 1	Rishikesh / Uttarakhand	Independent House / 2 BHK	1065	₹58.12 L	Semi-Furnished	1	Family	Sale
9	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Builder Floor	Rishikesh Sector 3	Rishikesh / Uttarakhand	Builder Floor / 2 BHK	645	₹40.44 L	Unfurnished	3	Any	Sale
10	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Apartment	Dehradun South	Dehradun / Uttarakhand	Apartment / 2 BHK	689	₹15,700/month	Semi-Furnished	3	Family	Rent
11	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Apartment	Rishikesh West	Rishikesh / Uttarakhand	Apartment / 2 BHK	886	₹61.65 L	Fully-Furnished	2	Any	Sale
12	Uttarakhand Properties (Uttarakhand.txt)	1 BHK Independent House	Haridwar Sector 3	Haridwar / Uttarakhand	Independent House / 1 BHK	707	₹11,200/month	Fully-Furnished	1	Any	Rent
13	Uttarakhand Properties (Uttarakhand.txt)	1 BHK Studio	Dehradun Heights	Dehradun / Uttarakhand	Studio / 1 BHK	337	₹33.44 L	Fully-Furnished	1	Family	Sale
14	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Apartment	Dehradun Main Road	Dehradun / Uttarakhand	Apartment / 2 BHK	1041	₹16,100/month	Fully-Furnished	3	Family	Rent
15	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Apartment	Haldwani Central	Haldwani / Uttarakhand	Apartment / 2 BHK	620	₹40.74 L	Semi-Furnished	3	Bachelors	Sale
16	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Apartment	Haridwar Town Centre	Haridwar / Uttarakhand	Apartment / 2 BHK	1052	₹49.58 L	Semi-Furnished	2	Family	Sale
17	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Builder Floor	Haldwani Residential Area	Haldwani / Uttarakhand	Builder Floor / 2 BHK	856	₹58.16 L	Unfurnished	2	Any	Sale
18	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Builder Floor	Rishikesh Central	Rishikesh / Uttarakhand	Builder Floor / 2 BHK	885	₹54.11 L	Fully-Furnished	3	Family	Sale
19	Uttarakhand Properties (Uttarakhand.txt)	3 BHK Villa	Haridwar Town Centre	Haridwar / Uttarakhand	Villa / 3 BHK	1201	₹75.50 L	Semi-Furnished	2	Family	Sale
20	Uttarakhand Properties (Uttarakhand.txt)	3 BHK Builder Floor	Dehradun North	Dehradun / Uttarakhand	Builder Floor / 3 BHK	1239	₹71.08 L	Semi-Furnished	4	Family	Sale
21	Uttarakhand Properties (Uttarakhand.txt)	3 BHK Apartment	Dehradun South	Dehradun / Uttarakhand	Apartment / 3 BHK	1229	₹19,300/month	Semi-Furnished	3	Family	Rent
22	Uttarakhand Properties (Uttarakhand.txt)	3 BHK Builder Floor	Haldwani West	Haldwani / Uttarakhand	Builder Floor / 3 BHK	1534	₹70.13 L	Semi-Furnished	4	Any	Sale
23	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Builder Floor	Haridwar West	Haridwar / Uttarakhand	Builder Floor / 2 BHK	633	₹40.39 L	Unfurnished	3	Bachelors	Sale
24	Uttarakhand Properties (Uttarakhand.txt)	4 BHK Apartment	Haldwani Sector 2	Haldwani / Uttarakhand	Apartment / 4 BHK	1547	₹21,700/month	Semi-Furnished	5	Family	Rent
25	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Villa	Haldwani Main Road	Haldwani / Uttarakhand	Villa / 2 BHK	1049	₹64.09 L	Fully-Furnished	2	Any	Sale
26	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Villa	Dehradun Sector 1	Dehradun / Uttarakhand	Villa / 2 BHK	1094	₹13,600/month	Fully-Furnished	3	Family	Rent
27	Uttarakhand Properties (Uttarakhand.txt)	5 BHK Builder Floor	Rishikesh Nagar	Rishikesh / Uttarakhand	Builder Floor / 5 BHK	2492	₹1.20 Cr	Fully-Furnished	5	Family	Sale
28	Uttarakhand Properties (Uttarakhand.txt)	3 BHK Villa	Rishikesh Residential Area	Rishikesh / Uttarakhand	Villa / 3 BHK	1930	₹96.61 L	Semi-Furnished	3	Family	Sale
29	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Apartment	Rishikesh Town Centre	Rishikesh / Uttarakhand	Apartment / 2 BHK	775	₹58.23 L	Fully-Furnished	2	Bachelors	Sale
30	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Apartment	Rishikesh Colony	Rishikesh / Uttarakhand	Apartment / 2 BHK	973	₹59.79 L	Semi-Furnished	2	Bachelors	Sale
31	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Apartment	Dehradun South	Dehradun / Uttarakhand	Apartment / 2 BHK	926	₹53.96 L	Fully-Furnished	3	Bachelors	Sale
32	Uttarakhand Properties (Uttarakhand.txt)	4 BHK Independent House	Haldwani North	Haldwani / Uttarakhand	Independent House / 4 BHK	2187	₹97.92 L	Unfurnished	4	Any	Sale
33	Uttarakhand Properties (Uttarakhand.txt)	1 BHK Apartment	Haridwar Nagar	Haridwar / Uttarakhand	Apartment / 1 BHK	512	₹33.97 L	Semi-Furnished	2	Bachelors	Sale
34	Uttarakhand Properties (Uttarakhand.txt)	3 BHK Apartment	Haldwani Central	Haldwani / Uttarakhand	Apartment / 3 BHK	1375	₹71.75 L	Fully-Furnished	2	Any	Sale
35	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Builder Floor	Rishikesh Main Road	Rishikesh / Uttarakhand	Builder Floor / 2 BHK	742	₹55.14 L	Unfurnished	3	Any	Sale
36	Uttarakhand Properties (Uttarakhand.txt)	4 BHK Builder Floor	Haridwar Extension	Haridwar / Uttarakhand	Builder Floor / 4 BHK	1306	₹83.65 L	Fully-Furnished	3	Family	Sale
37	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Independent House	Dehradun Sector 2	Dehradun / Uttarakhand	Independent House / 2 BHK	1152	₹53 L	Fully-Furnished	1	Any	Sale
38	Uttarakhand Properties (Uttarakhand.txt)	4 BHK Villa	Dehradun North	Dehradun / Uttarakhand	Villa / 4 BHK	2611	₹86.92 L	Semi-Furnished	3	Family	Sale
39	Uttarakhand Properties (Uttarakhand.txt)	5 BHK Apartment	Haridwar East	Haridwar / Uttarakhand	Apartment / 5 BHK	2448	₹28,500/month	Semi-Furnished	6	Bachelors	Rent
40	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Apartment	Haldwani Extension	Haldwani / Uttarakhand	Apartment / 2 BHK	657	₹15,100/month	Fully-Furnished	2	Bachelors	Rent
41	Uttarakhand Properties (Uttarakhand.txt)	4 BHK Apartment	Dehradun West	Dehradun / Uttarakhand	Apartment / 4 BHK	1377	₹27,000/month	Unfurnished	3	Family	Rent
42	Uttarakhand Properties (Uttarakhand.txt)	3 BHK Builder Floor	Haridwar Nagar	Haridwar / Uttarakhand	Builder Floor / 3 BHK	1103	₹61.66 L	Semi-Furnished	4	Family	Sale
43	Uttarakhand Properties (Uttarakhand.txt)	5 BHK Apartment	Dehradun Central	Dehradun / Uttarakhand	Apartment / 5 BHK	2347	₹27,100/month	Unfurnished	5	Bachelors	Rent
44	Uttarakhand Properties (Uttarakhand.txt)	1 BHK Studio	Haldwani Heights	Haldwani / Uttarakhand	Studio / 1 BHK	316	₹29.72 L	Semi-Furnished	1	Family	Sale
45	Uttarakhand Properties (Uttarakhand.txt)	1 BHK Independent House	Haridwar Heights	Haridwar / Uttarakhand	Independent House / 1 BHK	652	₹32.25 L	Unfurnished	2	Family	Sale
46	Uttarakhand Properties (Uttarakhand.txt)	4 BHK Apartment	Haldwani Residential Area	Haldwani / Uttarakhand	Apartment / 4 BHK	2017	₹93.24 L	Semi-Furnished	4	Family	Sale
47	Uttarakhand Properties (Uttarakhand.txt)	2 BHK Independent House	Haridwar Nagar	Haridwar / Uttarakhand	Independent House / 2 BHK	1004	₹15,800/month	Unfurnished	2	Bachelors	Rent
