No.	Source	Property	Location	City / State	Type / Config	Area	Price / Rent	Furnishing	Bathrooms	Tennants	Listing Type
1	West Bengal Properties (West_Bengal.txt)	1 BHK Independent House	Howrah South	Howrah / West Bengal	Independent House / 1 BHK	507	₹9,000/month	Semi-Furnished	1	Family	Rent
2	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Kolkata North	Kolkata / West Bengal	Apartment / 2 BHK	787	₹17,300/month	Fully-Furnished	3	Family	Rent
3	West Bengal Properties (West_Bengal.txt)	1 BHK Apartment	Durgapur North	Durgapur / West Bengal	Apartment / 1 BHK	544	₹35.35 L	Unfurnished	1	Bachelors	Sale
4	West Bengal Properties (West_Bengal.txt)	3 BHK Independent House	Howrah South	Howrah / West Bengal	Independent House / 3 BHK	1359	₹20,200/month	Fully-Furnished	2	Family	Rent
5	West Bengal Properties (West_Bengal.txt)	1 BHK Apartment	Siliguri Main Road	Siliguri / West Bengal	Apartment / 1 BHK	456	₹35.81 L	Unfurnished	1	Any	Sale
6	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Siliguri Sector 1	Siliguri / West Bengal	Apartment / 2 BHK	1054	₹13,800/month	Unfurnished	2	Bachelors	Rent
7	West Bengal Properties (West_Bengal.txt)	3 BHK Apartment	Kolkata Sector 1	Kolkata / West Bengal	Apartment / 3 BHK	1389	₹85.52 L	Fully-Furnished	3	Family	Sale
8	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Howrah Sector 3	Howrah / West Bengal	Apartment / 2 BHK	935	₹50.60 L	Semi-Furnished	2	Family	Sale
9	West Bengal Properties (West_Bengal.txt)	2 BHK Independent House	Durgapur Sector 3	Durgapur / West Bengal	Independent House / 2 BHK	1049	₹13,100/month	Unfurnished	1	Family	Rent
10	West Bengal Properties (West_Bengal.txt)	2 BHK Villa	Howrah Main Road	Howrah / West Bengal	Villa / 2 BHK	1017	₹15,600/month	Fully-Furnished	1	Any	Rent
11	West Bengal Properties (West_Bengal.txt)	1 BHK Studio	Howrah Town Centre	Howrah / West Bengal	Studio / 1 BHK	506	₹10,400/month	Fully-Furnished	2	Family	Rent
12	West Bengal Properties (West_Bengal.txt)	3 BHK Apartment	Kolkata Extension	Kolkata / West Bengal	Apartment / 3 BHK	1308	₹88.11 L	Unfurnished	3	Any	Sale
13	West Bengal Properties (West_Bengal.txt)	2 BHK Independent House	Howrah Nagar	Howrah / West Bengal	Independent House / 2 BHK	738	₹12,400/month	Semi-Furnished	2	Bachelors	Rent
14	West Bengal Properties (West_Bengal.txt)	2 BHK Independent House	Kolkata West	Kolkata / West Bengal	Independent House / 2 BHK	1082	₹48.45 L	Semi-Furnished	2	Family	Sale
15	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Howrah East	Howrah / West Bengal	Apartment / 2 BHK	774	₹45.16 L	Semi-Furnished	2	Family	Sale
16	West Bengal Properties (West_Bengal.txt)	2 BHK Builder Floor	Siliguri East	Siliguri / West Bengal	Builder Floor / 2 BHK	853	₹52.09 L	Unfurnished	2	Bachelors	Sale
17	West Bengal Properties (West_Bengal.txt)	4 BHK Builder Floor	Durgapur Residential Area	Durgapur / West Bengal	Builder Floor / 4 BHK	1289	₹25,600/month	Semi-Furnished	4	Bachelors	Rent
18	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Siliguri South	Siliguri / West Bengal	Apartment / 2 BHK	798	₹13,500/month	Unfurnished	2	Family	Rent
19	West Bengal Properties (West_Bengal.txt)	2 BHK Independent House	Kolkata Extension	Kolkata / West Bengal	Independent House / 2 BHK	920	₹13,500/month	Fully-Furnished	2	Any	Rent
20	West Bengal Properties (West_Bengal.txt)	3 BHK Apartment	Howrah Main Road	Howrah / West Bengal	Apartment / 3 BHK	1073	₹20,100/month	Fully-Furnished	4	Family	Rent
21	West Bengal Properties (West_Bengal.txt)	1 BHK Studio	Howrah East	Howrah / West Bengal	Studio / 1 BHK	334	₹30.24 L	Semi-Furnished	1	Any	Sale
22	West Bengal Properties (West_Bengal.txt)	2 BHK Independent House	Kolkata North	Kolkata / West Bengal	Independent House / 2 BHK	764	₹14,100/month	Semi-Furnished	2	Bachelors	Rent
23	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Kolkata South	Kolkata / West Bengal	Apartment / 2 BHK	700	₹57.68 L	Semi-Furnished	1	Bachelors	Sale
24	West Bengal Properties (West_Bengal.txt)	3 BHK Apartment	Durgapur Main Road	Durgapur / West Bengal	Apartment / 3 BHK	729	₹19,400/month	Unfurnished	2	Family	Rent
25	West Bengal Properties (West_Bengal.txt)	1 BHK Studio	Howrah West	Howrah / West Bengal	Studio / 1 BHK	356	₹10,600/month	Fully-Furnished	1	Family	Rent
26	West Bengal Properties (West_Bengal.txt)	3 BHK Builder Floor	Kolkata East	Kolkata / West Bengal	Builder Floor / 3 BHK	1292	₹86.35 L	Semi-Furnished	3	Family	Sale
27	West Bengal Properties (West_Bengal.txt)	3 BHK Apartment	Kolkata Sector 3	Kolkata / West Bengal	Apartment / 3 BHK	1195	₹75.22 L	Unfurnished	3	Any	Sale
28	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Siliguri East	Siliguri / West Bengal	Apartment / 2 BHK	856	₹15,100/month	Fully-Furnished	1	Any	Rent
29	West Bengal Properties (West_Bengal.txt)	5 BHK Apartment	Durgapur South	Durgapur / West Bengal	Apartment / 5 BHK	2416	₹1.49 Cr	Unfurnished	5	Bachelors	Sale
30	West Bengal Properties (West_Bengal.txt)	1 BHK Builder Floor	Kolkata Residential Area	Kolkata / West Bengal	Builder Floor / 1 BHK	404	₹38.35 L	Fully-Furnished	2	Bachelors	Sale
31	West Bengal Properties (West_Bengal.txt)	3 BHK Independent House	Howrah Nagar	Howrah / West Bengal	Independent House / 3 BHK	1526	₹20,300/month	Unfurnished	3	Family	Rent
32	West Bengal Properties (West_Bengal.txt)	2 BHK Independent House	Siliguri Residential Area	Siliguri / West Bengal	Independent House / 2 BHK	918	₹16,100/month	Unfurnished	1	Bachelors	Rent
33	West Bengal Properties (West_Bengal.txt)	4 BHK Villa	Durgapur South	Durgapur / West Bengal	Villa / 4 BHK	2741	₹29,200/month	Semi-Furnished	4	Family	Rent
34	West Bengal Properties (West_Bengal.txt)	1 BHK Apartment	Howrah Sector 1	Howrah / West Bengal	Apartment / 1 BHK	403	₹33.56 L	Semi-Furnished	1	Any	Sale
35	West Bengal Properties (West_Bengal.txt)	3 BHK Villa	Howrah Extension	Howrah / West Bengal	Villa / 3 BHK	1401	₹81.05 L	Fully-Furnished	3	Family	Sale
36	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Howrah Residential Area	Howrah / West Bengal	Apartment / 2 BHK	827	₹61.02 L	Semi-Furnished	2	Any	Sale
37	West Bengal Properties (West_Bengal.txt)	3 BHK Builder Floor	Kolkata Town Centre	Kolkata / West Bengal	Builder Floor / 3 BHK	1500	₹23,000/month	Semi-Furnished	4	Family	Rent
38	West Bengal Properties (West_Bengal.txt)	1 BHK Apartment	Howrah Main Road	Howrah / West Bengal	Apartment / 1 BHK	704	₹34.52 L	Unfurnished	2	Any	Sale
39	West Bengal Properties (West_Bengal.txt)	3 BHK Apartment	Durgapur Extension	Durgapur / West Bengal	Apartment / 3 BHK	1509	₹76.93 L	Unfurnished	4	Family	Sale
40	West Bengal Properties (West_Bengal.txt)	4 BHK Builder Floor	Howrah Sector 3	Howrah / West Bengal	Builder Floor / 4 BHK	2391	₹91.22 L	Semi-Furnished	3	Bachelors	Sale
41	West Bengal Properties (West_Bengal.txt)	1 BHK Builder Floor	Durgapur Nagar	Durgapur / West Bengal	Builder Floor / 1 BHK	539	₹38.92 L	Fully-Furnished	2	Bachelors	Sale
42	West Bengal Properties (West_Bengal.txt)	4 BHK Apartment	Siliguri Sector 1	Siliguri / West Bengal	Apartment / 4 BHK	2113	₹98.76 L	Semi-Furnished	4	Any	Sale
43	West Bengal Properties (West_Bengal.txt)	3 BHK Builder Floor	Durgapur Main Road	Durgapur / West Bengal	Builder Floor / 3 BHK	1312	₹84.66 L	Semi-Furnished	2	Bachelors	Sale
44	West Bengal Properties (West_Bengal.txt)	3 BHK Builder Floor	Durgapur Sector 2	Durgapur / West Bengal	Builder Floor / 3 BHK	1303	₹22,200/month	Unfurnished	3	Any	Rent
45	West Bengal Properties (West_Bengal.txt)	4 BHK Independent House	Durgapur Nagar	Durgapur / West Bengal	Independent House / 4 BHK	2487	₹1.31 Cr	Unfurnished	4	Any	Sale
46	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Kolkata Sector 1	Kolkata / West Bengal	Apartment / 2 BHK	908	₹18,000/month	Fully-Furnished	2	Bachelors	Rent
47	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Howrah Heights	Howrah / West Bengal	Apartment / 2 BHK	970	₹50.17 L	Fully-Furnished	3	Family	Sale
48	West Bengal Properties (West_Bengal.txt)	1 BHK Independent House	Siliguri North	Siliguri / West Bengal	Independent House / 1 BHK	521	₹11,000/month	Semi-Furnished	1	Bachelors	Rent
49	West Bengal Properties (West_Bengal.txt)	2 BHK Independent House	Howrah Sector 1	Howrah / West Bengal	Independent House / 2 BHK	791	₹15,400/month	Semi-Furnished	3	Any	Rent
50	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Durgapur Residential Area	Durgapur / West Bengal	Apartment / 2 BHK	651	₹11,700/month	Fully-Furnished	3	Family	Rent
51	West Bengal Properties (West_Bengal.txt)	3 BHK Independent House	Howrah North	Howrah / West Bengal	Independent House / 3 BHK	1390	₹18,200/month	Unfurnished	3	Any	Rent
52	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Kolkata Main Road	Kolkata / West Bengal	Apartment / 2 BHK	1109	₹65.78 L	Fully-Furnished	2	Bachelors	Sale
53	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Durgapur East	Durgapur / West Bengal	Apartment / 2 BHK	708	₹47.75 L	Fully-Furnished	2	Any	Sale
54	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Durgapur Nagar	Durgapur / West Bengal	Apartment / 2 BHK	936	₹50.76 L	Unfurnished	1	Any	Sale
55	West Bengal Properties (West_Bengal.txt)	2 BHK Builder Floor	Howrah Sector 1	Howrah / West Bengal	Builder Floor / 2 BHK	835	₹15,600/month	Semi-Furnished	2	Family	Rent
56	West Bengal Properties (West_Bengal.txt)	2 BHK Independent House	Durgapur North	Durgapur / West Bengal	Independent House / 2 BHK	1442	₹70.65 L	Semi-Furnished	2	Any	Sale
57	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Kolkata Main Road	Kolkata / West Bengal	Apartment / 2 BHK	947	₹60.01 L	Fully-Furnished	2	Family	Sale
58	West Bengal Properties (West_Bengal.txt)	1 BHK Apartment	Siliguri Colony	Siliguri / West Bengal	Apartment / 1 BHK	519	₹30.12 L	Unfurnished	1	Family	Sale
59	West Bengal Properties (West_Bengal.txt)	5 BHK Apartment	Durgapur East	Durgapur / West Bengal	Apartment / 5 BHK	2703	₹40,200/month	Semi-Furnished	5	Family	Rent
60	West Bengal Properties (West_Bengal.txt)	2 BHK Villa	Howrah West	Howrah / West Bengal	Villa / 2 BHK	1032	₹49.50 L	Semi-Furnished	3	Any	Sale
61	West Bengal Properties (West_Bengal.txt)	1 BHK Apartment	Kolkata North	Kolkata / West Bengal	Apartment / 1 BHK	416	₹10,600/month	Fully-Furnished	1	Family	Rent
62	West Bengal Properties (West_Bengal.txt)	4 BHK Apartment	Siliguri Sector 2	Siliguri / West Bengal	Apartment / 4 BHK	1730	₹22,400/month	Semi-Furnished	4	Any	Rent
63	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Siliguri West	Siliguri / West Bengal	Apartment / 2 BHK	992	₹54.43 L	Fully-Furnished	3	Family	Sale
64	West Bengal Properties (West_Bengal.txt)	3 BHK Villa	Siliguri Heights	Siliguri / West Bengal	Villa / 3 BHK	1738	₹68.48 L	Semi-Furnished	3	Family	Sale
65	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Kolkata North	Kolkata / West Bengal	Apartment / 2 BHK	989	₹66.94 L	Fully-Furnished	3	Family	Sale
66	West Bengal Properties (West_Bengal.txt)	4 BHK Apartment	Siliguri Nagar	Siliguri / West Bengal	Apartment / 4 BHK	1673	₹94.32 L	Fully-Furnished	4	Any	Sale
67	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Siliguri South	Siliguri / West Bengal	Apartment / 2 BHK	874	₹16,800/month	Semi-Furnished	3	Any	Rent
68	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Kolkata Sector 2	Kolkata / West Bengal	Apartment / 2 BHK	638	₹11,700/month	Semi-Furnished	2	Bachelors	Rent
69	West Bengal Properties (West_Bengal.txt)	3 BHK Independent House	Durgapur North	Durgapur / West Bengal	Independent House / 3 BHK	1568	₹67.42 L	Semi-Furnished	3	Family	Sale
70	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Siliguri South	Siliguri / West Bengal	Apartment / 2 BHK	708	₹12,400/month	Semi-Furnished	2	Bachelors	Rent
71	West Bengal Properties (West_Bengal.txt)	5 BHK Apartment	Durgapur Extension	Durgapur / West Bengal	Apartment / 5 BHK	2405	₹38,400/month	Unfurnished	5	Family	Rent
72	West Bengal Properties (West_Bengal.txt)	1 BHK Studio	Kolkata East	Kolkata / West Bengal	Studio / 1 BHK	356	₹39.06 L	Unfurnished	1	Family	Sale
73	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Howrah Central	Howrah / West Bengal	Apartment / 2 BHK	986	₹48.76 L	Unfurnished	3	Family	Sale
74	West Bengal Properties (West_Bengal.txt)	1 BHK Independent House	Howrah Sector 2	Howrah / West Bengal	Independent House / 1 BHK	887	₹43.26 L	Semi-Furnished	1	Family	Sale
75	West Bengal Properties (West_Bengal.txt)	3 BHK Apartment	Siliguri Central	Siliguri / West Bengal	Apartment / 3 BHK	1213	₹70.48 L	Semi-Furnished	4	Family	Sale
76	West Bengal Properties (West_Bengal.txt)	3 BHK Apartment	Kolkata Town Centre	Kolkata / West Bengal	Apartment / 3 BHK	1269	₹71.18 L	Semi-Furnished	3	Any	Sale
77	West Bengal Properties (West_Bengal.txt)	3 BHK Apartment	Durgapur Colony	Durgapur / West Bengal	Apartment / 3 BHK	1226	₹22,900/month	Semi-Furnished	4	Family	Rent
78	West Bengal Properties (West_Bengal.txt)	3 BHK Apartment	Howrah Nagar	Howrah / West Bengal	Apartment / 3 BHK	1279	₹19,200/month	Semi-Furnished	3	Any	Rent
79	West Bengal Properties (West_Bengal.txt)	2 BHK Builder Floor	Durgapur South	Durgapur / West Bengal	Builder Floor / 2 BHK	952	₹48.81 L	Semi-Furnished	1	Family	Sale
80	West Bengal Properties (West_Bengal.txt)	4 BHK Apartment	Durgapur Heights	Durgapur / West Bengal	Apartment / 4 BHK	1854	₹1.10 Cr	Semi-Furnished	5	Bachelors	Sale
81	West Bengal Properties (West_Bengal.txt)	3 BHK Apartment	Siliguri West	Siliguri / West Bengal	Apartment / 3 BHK	1199	₹63.13 L	Semi-Furnished	3	Bachelors	Sale
82	West Bengal Properties (West_Bengal.txt)	3 BHK Builder Floor	Kolkata Sector 1	Kolkata / West Bengal	Builder Floor / 3 BHK	1200	₹70.29 L	Fully-Furnished	3	Any	Sale
83	West Bengal Properties (West_Bengal.txt)	4 BHK Apartment	Siliguri South	Siliguri / West Bengal	Apartment / 4 BHK	1469	₹30,300/month	Semi-Furnished	4	Any	Rent
84	West Bengal Properties (West_Bengal.txt)	2 BHK Villa	Durgapur Colony	Durgapur / West Bengal	Villa / 2 BHK	1376	₹65.44 L	Semi-Furnished	3	Bachelors	Sale
85	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Howrah Nagar	Howrah / West Bengal	Apartment / 2 BHK	783	₹54.08 L	Fully-Furnished	1	Any	Sale
86	West Bengal Properties (West_Bengal.txt)	4 BHK Apartment	Kolkata South	Kolkata / West Bengal	Apartment / 4 BHK	1637	₹28,500/month	Unfurnished	4	Bachelors	Rent
87	West Bengal Properties (West_Bengal.txt)	3 BHK Independent House	Durgapur Heights	Durgapur / West Bengal	Independent House / 3 BHK	1430	₹24,100/month	Semi-Furnished	3	Family	Rent
88	West Bengal Properties (West_Bengal.txt)	1 BHK Apartment	Kolkata North	Kolkata / West Bengal	Apartment / 1 BHK	431	₹9,300/month	Semi-Furnished	1	Bachelors	Rent
89	West Bengal Properties (West_Bengal.txt)	3 BHK Apartment	Siliguri North	Siliguri / West Bengal	Apartment / 3 BHK	1310	₹79.61 L	Fully-Furnished	3	Family	Sale
90	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Durgapur South	Durgapur / West Bengal	Apartment / 2 BHK	955	₹13,200/month	Unfurnished	3	Bachelors	Rent
91	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Durgapur North	Durgapur / West Bengal	Apartment / 2 BHK	1076	₹54.20 L	Semi-Furnished	2	Family	Sale
92	West Bengal Properties (West_Bengal.txt)	1 BHK Apartment	Siliguri North	Siliguri / West Bengal	Apartment / 1 BHK	473	₹38.55 L	Fully-Furnished	1	Family	Sale
93	West Bengal Properties (West_Bengal.txt)	4 BHK Apartment	Siliguri Residential Area	Siliguri / West Bengal	Apartment / 4 BHK	1677	₹1.16 Cr	Fully-Furnished	5	Bachelors	Sale
94	West Bengal Properties (West_Bengal.txt)	1 BHK Studio	Siliguri Sector 2	Siliguri / West Bengal	Studio / 1 BHK	397	₹37.58 L	Fully-Furnished	1	Bachelors	Sale
95	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Durgapur Residential Area	Durgapur / West Bengal	Apartment / 2 BHK	969	₹53.12 L	Semi-Furnished	3	Bachelors	Sale
96	West Bengal Properties (West_Bengal.txt)	3 BHK Apartment	Durgapur Sector 3	Durgapur / West Bengal	Apartment / 3 BHK	1232	₹79.64 L	Unfurnished	3	Bachelors	Sale
97	West Bengal Properties (West_Bengal.txt)	5 BHK Apartment	Siliguri Sector 2	Siliguri / West Bengal	Apartment / 5 BHK	2792	₹31,100/month	Semi-Furnished	5	Bachelors	Rent
98	West Bengal Properties (West_Bengal.txt)	3 BHK Villa	Siliguri Town Centre	Siliguri / West Bengal	Villa / 3 BHK	1997	₹95.84 L	Fully-Furnished	3	Bachelors	Sale
99	West Bengal Properties (West_Bengal.txt)	3 BHK Apartment	Siliguri Heights	Siliguri / West Bengal	Apartment / 3 BHK	1081	₹23,700/month	Fully-Furnished	3	Bachelors	Rent
100	West Bengal Properties (West_Bengal.txt)	2 BHK Apartment	Siliguri Extension	Siliguri / West Bengal	Apartment / 2 BHK	1049	₹62.34 L	Fully-Furnished	2	Bachelors	Sale
101	West Bengal Properties (West_Bengal.txt)	3 BHK Apartment	Howrah Main Road	Howrah / West Bengal	Apartment / 3 BHK	1234	₹22,500/month	Fully-Furnished	3	Family	Rent
